COUNTY,K_count_1990,K_count_1991,K_count_1992,K_count_1993,K_count_1994,K_count_1995,K_count_1996,K_count_1997,K_count_1998,K_count_1999,K_count_2000,K_count_2001,K_count_2002,K_count_2003,K_count_2004,K_count_2005,K_count_2006,K_count_2007,K_count_2008,K_count_2009,K_count_2010,K_count_2011,K_count_2012,K_count_2013,K_count_2014,K_count_2015,K_count_2016,K_count_2017,K_count_2018,K_count_2019,K_med1990,K_med1991,K_med1992,K_med1993,K_med1994,K_med1995,K_med1996,K_med1997,K_med1998,K_med1999,K_med2000,K_med2001,K_med2002,K_med2003,K_med2004,K_med2005,K_med2006,K_med2007,K_med2008,K_med2009,K_med2010,K_med2011,K_med2012,K_med2013,K_med2014,K_med2015,K_med2016,K_med2017,K_med2018,K_med2019,P_count_1990,P_count_1991,P_count_1992,P_count_1993,P_count_1994,P_count_1995,P_count_1996,P_count_1997,P_count_1998,P_count_1999,P_count_2000,P_count_2001,P_count_2002,P_count_2003,P_count_2004,P_count_2005,P_count_2006,P_count_2007,P_count_2008,P_count_2009,P_count_2010,P_count_2011,P_count_2012,P_count_2013,P_count_2014,P_count_2015,P_count_2016,P_count_2017,P_count_2018,P_count_2019,P_med1990,P_med1991,P_med1992,P_med1993,P_med1994,P_med1995,P_med1996,P_med1997,P_med1998,P_med1999,P_med2000,P_med2001,P_med2002,P_med2003,P_med2004,P_med2005,P_med2006,P_med2007,P_med2008,P_med2009,P_med2010,P_med2011,P_med2012,P_med2013,P_med2014,P_med2015,P_med2016,P_med2017,P_med2018,P_med2019,0
ADAIR,0,0,1,0,1,1,1,1,2,4,1,2,2,4,1,2,2,1,3,9,0,0,5,0,2,0,0,2,1,4,0,0,194,0,153,178,129,214,148,321,424,302,756,354,152,416,160,406,206,189,0,0,200,0,268,0,0,232,97,163,0,0,1,0,1,1,1,1,2,4,1,2,2,4,1,2,2,1,3,9,0,0,5,0,2,0,0,2,1,4,0,0,89,0,93,26,58,94,24,78,101,88,190,156,36,230,73,41,52,126,0,0,22,0,148,0,0,52,152,206,0
ALLEN,3,1,0,0,1,0,0,0,2,2,2,11,1,6,9,14,12,15,5,10,10,11,4,20,6,6,3,1,3,3,501,132,0,0,153,0,0,0,266,250,389,176,214,190,184,206,316,153,267,238,272,203,282,207,275,215,91,141,400,240,3,1,0,0,1,0,0,0,2,2,2,11,1,6,9,14,12,15,5,10,10,11,4,20,6,6,3,1,3,3,201,201,0,0,62,0,0,0,74,88,105,25,31,38,66,111,70,111,47,61,89,66,76,108,108,58,47,205,137,51,0
ANDERSON,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,1,1,2,1,5,4,2,2,1,1,0,4,3,1,5,0,0,0,0,0,0,0,282,0,0,0,0,0,0,402,302,149,235,270,220,184,214,200,288,242,0,282,175,156,265,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,1,1,2,1,5,4,2,2,1,1,0,4,3,1,5,0,0,0,0,0,0,0,75,0,0,0,0,0,0,88,17,77,173,122,114,128,83,76,25,32,0,169,46,158,101,0
BALLARD,1,0,0,1,2,1,0,0,1,2,19,4,8,17,12,3,7,2,5,1,1,1,1,1,0,1,0,0,0,0,294,0,0,151,274,463,0,0,318,274,171,432,197,179,210,233,150,186,162,690,230,190,116,158,0,150,0,0,0,0,1,0,0,1,2,1,0,0,1,2,19,4,8,17,12,3,7,2,5,1,1,1,1,1,0,1,0,0,0,0,65,0,0,57,54,201,0,0,81,84,97,134,65,80,46,97,47,38,43,293,34,47,73,44,0,111,0,0,0,0,0
BARREN,3,2,3,12,2,5,4,0,1,0,4,2,1,2,2,0,11,2,4,2,4,3,2,0,10,8,0,3,5,1,338,501,501,402,288,172,358,0,302,0,230,288,78,156,292,0,203,239,251,478,316,167,204,0,214,190,0,183,209,92,3,2,3,12,2,5,4,0,1,0,4,2,1,2,2,0,11,2,4,2,4,3,2,0,10,8,0,3,5,1,161,152,201,134,118,85,43,0,21,0,55,46,11,84,53,0,85,32,24,598,64,33,36,0,54,56,0,55,47,12,0
BATH,0,0,0,0,0,0,0,1,1,0,1,0,2,0,1,2,2,5,1,1,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,141,359,0,114,0,207,0,249,130,274,343,61,319,227,207,182,353,0,659,288,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,1,2,2,5,1,1,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,22,354,0,17,0,38,0,85,30,74,26,122,196,77,70,72,10,0,292,50,0,0,0,0
BELL,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,148,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,28,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOONE,9,2,0,1,3,6,2,0,0,5,8,2,0,2,16,6,9,8,10,1,16,12,6,2,5,7,3,10,36,0,258,403,0,175,129,118,214,0,0,332,282,274,0,111,188,310,200,242,308,256,274,176,210,285,147,163,204,196,238,0,9,2,0,1,3,6,2,0,0,5,8,2,0,2,16,6,9,8,10,1,16,12,6,2,5,7,3,10,36,0,96,100,0,89,17,38,84,0,0,18,32,148,0,41,47,60,48,50,93,44,40,83,122,208,95,22,36,31,44,0,0
BOURBON,10,10,12,1,7,18,0,0,0,1,1,1,1,0,0,0,0,7,0,0,3,1,5,2,1,0,3,0,4,0,240,386,412,244,457,276,0,0,0,288,416,291,427,0,0,0,0,318,0,0,223,661,168,286,121,0,345,0,291,0,10,10,12,1,7,18,0,0,0,1,1,1,1,0,0,0,0,7,0,0,3,1,5,2,1,0,3,0,4,0,68,366,220,50,173,176,0,0,0,49,74,110,492,0,0,0,0,25,0,0,355,115,239,48,314,0,308,0,256,0,0
BOYD,0,0,1,0,6,0,0,0,0,0,1,1,0,0,0,2,1,0,2,7,2,2,3,1,2,0,6,6,0,0,0,0,262,0,203,0,0,0,0,0,125,144,0,0,0,200,187,0,376,299,268,336,265,298,230,0,196,218,0,0,0,0,1,0,6,0,0,0,0,0,1,1,0,0,0,2,1,0,2,7,2,2,3,1,2,0,6,6,0,0,0,0,26,0,21,0,0,0,0,0,23,8,0,0,0,50,16,0,20,30,64,40,107,36,47,0,86,48,0,0,0
