COUNTY,count_1990_H,count_1990_L,count_1990_M,count_1990_VL,count_1991_H,count_1991_L,count_1991_M,count_1991_VL,count_1992_H,count_1992_L,count_1992_M,count_1992_VL,count_1993_H,count_1993_L,count_1993_M,count_1993_VL,count_1994_H,count_1994_L,count_1994_M,count_1994_VL,count_1995_H,count_1995_L,count_1995_M,count_1995_VL,count_1996_H,count_1996_L,count_1996_M,count_1996_VL,count_1997_H,count_1997_L,count_1997_M,count_1997_VL,count_1998_H,count_1998_L,count_1998_M,count_1998_VL,count_1999_H,count_1999_L,count_1999_M,count_1999_VL,count_2000_H,count_2000_L,count_2000_M,count_2000_VL,count_2001_H,count_2001_L,count_2001_M,count_2001_VL,count_2002_H,count_2002_L,count_2002_M,count_2002_VL,count_2003_H,count_2003_L,count_2003_M,count_2003_VL,count_2004_H,count_2004_L,count_2004_M,count_2004_VL,count_2005_H,count_2005_L,count_2005_M,count_2005_VL,count_2006_H,count_2006_L,count_2006_M,count_2006_VL,count_2007_H,count_2007_L,count_2007_M,count_2007_VL,count_2008_H,count_2008_L,count_2008_M,count_2008_VL,count_2009_H,count_2009_L,count_2009_M,count_2009_VL,count_2010_H,count_2010_L,count_2010_M,count_2010_VL,count_2011_H,count_2011_L,count_2011_M,count_2011_VL,count_2012_H,count_2012_L,count_2012_M,count_2012_VL,count_2013_H,count_2013_L,count_2013_M,count_2013_VL,count_2014_H,count_2014_L,count_2014_M,count_2014_VL,count_2015_H,count_2015_L,count_2015_M,count_2015_VL,count_2016_H,count_2016_L,count_2016_M,count_2016_VL,count_2017_H,count_2017_L,count_2017_M,count_2017_VL,count_2018_H,count_2018_L,count_2018_M,count_2018_VL,count_2019_H,count_2019_L,count_2019_M,count_2019_VL,1990_H,1990_L,1990_M,1990_VL,1991_H,1991_L,1991_M,1991_VL,1992_H,1992_L,1992_M,1992_VL,1993_H,1993_L,1993_M,1993_VL,1994_H,1994_L,1994_M,1994_VL,1995_H,1995_L,1995_M,1995_VL,1996_H,1996_L,1996_M,1996_VL,1997_H,1997_L,1997_M,1997_VL,1998_H,1998_L,1998_M,1998_VL,1999_H,1999_L,1999_M,1999_VL,2000_H,2000_L,2000_M,2000_VL,2001_H,2001_L,2001_M,2001_VL,2002_H,2002_L,2002_M,2002_VL,2003_H,2003_L,2003_M,2003_VL,2004_H,2004_L,2004_M,2004_VL,2005_H,2005_L,2005_M,2005_VL,2006_H,2006_L,2006_M,2006_VL,2007_H,2007_L,2007_M,2007_VL,2008_H,2008_L,2008_M,2008_VL,2009_H,2009_L,2009_M,2009_VL,2010_H,2010_L,2010_M,2010_VL,2011_H,2011_L,2011_M,2011_VL,2012_H,2012_L,2012_M,2012_VL,2013_H,2013_L,2013_M,2013_VL,2014_H,2014_L,2014_M,2014_VL,2015_H,2015_L,2015_M,2015_VL,2016_H,2016_L,2016_M,2016_VL,2017_H,2017_L,2017_M,2017_VL,2018_H,2018_L,2018_M,2018_VL,2019_H,2019_L,2019_M,2019_VL
ADAIR,38,88,42,41,29,41,40,20,35,39,28,28,33,53,28,31,28,17,20,2,46,29,34,6,37,18,35,0,39,8,27,1,29,17,20,0,27,4,18,0,43,16,43,1,157,62,116,22,45,40,41,3,51,43,35,3,38,14,24,0,25,11,22,2,157,64,87,4,40,12,35,0,172,32,84,7,75,16,37,1,18,8,15,0,107,13,57,3,67,12,38,1,63,84,68,5,63,16,38,0,50,17,55,8,41,18,44,6,21,12,26,2,11,9,14,1,9,7,13,1,97.5,14.0,39.5,6.0,111.0,16.0,38.0,6.0,93.0,16.0,38.5,3.5,113.0,13.0,44.0,6.0,94.0,19.0,40.5,6.0,94.0,15.0,40.5,5.5,99.0,20.5,43.0,0.0,113.0,21.0,42.0,5.0,123.0,16.0,48.0,0.0,100.0,18.0,46.0,0.0,100.0,20.5,43.0,7.0,121.0,17.0,43.0,6.0,106.0,15.0,45.0,8.0,97.0,16.0,40.0,5.0,104.5,18.0,42.5,0.0,113.0,16.0,50.0,5.0,116.0,19.0,42.0,5.0,103.5,20.5,45.0,0.0,108.5,20.0,44.5,7.0,109.0,17.5,50.0,7.0,78.5,19.0,48.0,0.0,106.0,21.0,42.0,8.0,97.0,16.5,44.0,8.0,113.0,17.5,42.5,8.0,93.0,17.5,41.0,0.0,103.0,23.0,39.0,7.0,113.0,19.5,44.5,4.5,75.0,13.5,44.0,8.0,72.0,17.0,44.5,7.0,97.0,21.0,46.0,2.0
ALLEN,29,38,44,4,47,30,26,9,34,51,32,2,39,37,39,1,26,22,24,0,18,13,25,1,11,4,8,0,24,12,18,0,11,3,5,1,14,9,10,1,13,7,14,2,31,14,17,3,35,16,27,4,50,17,31,1,31,22,27,0,96,35,65,2,50,24,51,4,109,48,82,1,26,11,18,1,25,7,19,3,33,5,5,0,37,13,24,1,19,7,9,0,31,15,24,0,11,4,11,0,11,0,16,0,12,10,12,0,10,7,12,0,5,0,0,0,6,1,14,0,99.0,18.0,42.0,7.0,100.0,18.0,43.5,7.0,114.0,22.0,42.5,5.5,82.0,17.0,38.0,8.0,96.5,20.5,38.5,0.0,95.0,23.0,37.0,6.0,146.0,15.0,42.0,0.0,90.0,17.0,43.0,0.0,128.0,14.0,31.0,5.0,143.5,15.0,34.5,8.0,134.0,20.0,40.0,6.0,141.0,18.5,35.0,7.0,94.0,17.0,38.0,7.5,97.0,18.0,40.0,7.0,123.0,20.0,46.0,0.0,113.0,19.0,41.0,7.5,92.0,19.5,47.0,6.5,105.0,20.0,45.5,7.0,101.0,21.0,37.0,7.0,86.0,17.0,45.0,7.0,115.0,20.0,45.0,0.0,85.0,20.0,38.5,8.0,115.0,24.0,41.0,0.0,98.0,20.0,35.5,0.0,93.0,19.0,56.0,0.0,100.0,0.0,40.5,0.0,90.5,21.0,51.0,0.0,125.0,22.0,50.5,0.0,179.0,0.0,0.0,0.0,144.0,22.0,46.0,0.0
ANDERSON,21,7,3,0,16,1,2,1,10,6,5,1,11,12,8,4,20,3,1,3,13,5,4,0,23,4,4,0,3,6,6,2,3,2,1,0,5,0,3,0,5,1,1,0,26,3,11,0,55,9,13,3,16,3,4,0,26,5,6,0,20,11,12,0,29,3,12,0,9,4,10,0,29,7,12,0,31,12,12,0,35,9,13,0,40,7,12,0,33,12,22,1,17,12,9,0,39,19,14,0,15,14,13,2,33,10,8,0,39,10,15,1,37,10,17,2,28,17,14,0,352.0,20.0,50.0,0.0,251.5,15.0,44.5,6.0,198.5,14.5,46.0,7.0,176.0,17.5,49.5,8.0,200.0,13.0,43.0,3.0,190.0,19.0,36.5,0.0,168.0,15.5,42.0,0.0,107.0,16.5,38.0,6.5,116.0,19.0,29.0,0.0,238.0,0.0,47.0,0.0,71.0,24.0,30.0,0.0,179.5,20.0,46.0,0.0,219.0,23.0,44.0,7.0,185.0,24.0,45.0,0.0,202.0,17.0,41.0,0.0,163.0,21.0,34.0,0.0,167.0,19.0,36.5,0.0,118.0,20.5,36.5,0.0,143.0,24.0,39.5,0.0,179.0,19.5,48.0,0.0,187.0,19.0,37.0,0.0,243.0,24.0,47.0,0.0,133.0,18.0,38.5,8.0,144.0,18.5,42.0,0.0,216.0,20.0,39.5,0.0,319.0,19.5,42.0,6.5,148.0,17.5,39.5,0.0,265.0,22.0,38.0,5.0,158.0,23.0,41.0,7.0,103.5,20.0,42.5,0.0
BALLARD,15,11,12,0,21,7,15,0,16,3,17,0,19,16,19,0,9,3,10,0,22,9,12,0,15,8,10,0,11,4,3,0,6,6,5,0,12,2,8,1,8,6,14,0,12,10,12,0,40,21,31,0,25,25,28,0,27,5,15,0,18,5,13,0,13,2,15,0,15,1,10,0,25,15,22,2,11,1,9,0,4,2,2,0,0,2,3,0,12,1,9,0,4,4,5,0,2,6,2,0,5,5,8,0,1,1,7,0,4,5,12,0,4,2,2,0,3,2,2,0,115.0,20.0,40.5,0.0,92.0,23.0,47.0,0.0,88.0,18.0,44.0,0.0,123.0,19.0,46.0,0.0,83.0,22.0,38.0,0.0,90.0,24.0,40.0,0.0,118.0,21.5,52.5,0.0,113.0,14.0,35.0,0.0,109.0,23.5,40.0,0.0,167.5,23.0,40.5,6.0,100.5,19.5,34.5,0.0,90.5,24.0,44.0,0.0,120.5,20.0,40.0,0.0,95.0,21.0,38.0,0.0,108.0,24.0,41.0,0.0,183.0,19.0,40.0,0.0,119.0,22.0,43.0,0.0,116.0,22.0,42.0,0.0,82.0,19.0,40.5,5.0,117.0,20.0,42.0,0.0,100.0,22.5,41.5,0.0,0.0,12.5,31.0,0.0,131.0,26.0,45.0,0.0,113.0,23.5,40.0,0.0,140.0,19.5,49.0,0.0,148.0,24.0,42.5,0.0,142.0,20.0,37.0,0.0,91.0,23.0,39.5,0.0,124.5,16.5,46.5,0.0,79.0,18.0,43.0,0.0
BARREN,185,62,83,7,119,56,73,14,244,98,152,4,219,101,140,14,137,73,82,7,125,52,103,7,66,27,53,0,16,18,18,2,33,12,13,5,21,8,12,1,34,16,24,2,411,207,241,36,120,103,88,31,88,36,64,3,265,172,224,16,60,44,41,3,179,85,153,5,180,53,145,9,320,162,264,10,116,42,89,5,36,28,33,1,49,15,46,0,52,18,26,1,36,6,32,1,20,5,19,1,28,13,41,2,22,18,41,2,18,36,35,1,16,8,27,0,10,11,13,0,119.0,19.5,39.0,6.0,107.0,16.5,41.0,6.5,121.0,17.0,40.0,7.0,117.0,18.0,43.5,5.5,102.0,21.0,42.5,6.0,123.0,19.0,41.0,7.0,105.0,19.0,47.0,0.0,89.0,17.0,39.5,7.0,116.0,20.0,40.0,6.0,87.0,23.5,45.5,6.0,102.0,20.5,49.0,6.5,109.0,19.0,42.0,6.5,98.0,17.0,39.0,7.0,108.0,21.0,41.0,8.0,109.0,19.0,42.0,6.0,101.5,20.0,41.0,7.0,99.0,19.0,42.0,6.0,102.0,18.0,40.0,6.0,103.0,19.5,43.0,7.0,103.5,20.0,41.0,6.0,76.5,20.5,41.0,8.0,138.0,22.0,41.0,0.0,110.5,20.5,39.5,7.0,95.5,18.0,42.0,7.0,97.5,25.0,38.0,6.0,110.5,23.0,40.0,5.5,105.0,20.5,40.0,8.0,86.5,19.5,42.0,5.0,95.0,18.5,44.0,0.0,93.0,21.0,44.0,0.0
BATH,28,18,9,1,14,11,10,12,31,6,11,2,20,12,5,4,17,14,13,6,21,7,25,1,27,10,13,0,18,13,7,1,22,12,26,1,10,7,6,1,23,9,16,0,12,9,11,1,114,84,86,16,75,38,48,6,30,15,19,0,23,14,26,2,40,27,16,1,33,9,15,6,20,8,20,0,44,19,28,2,16,6,11,1,27,4,12,1,12,12,10,3,28,11,13,1,13,6,4,1,29,7,15,2,12,2,6,5,10,15,13,0,7,1,7,0,5,3,3,0,103.0,16.0,43.0,6.0,96.0,16.0,42.0,1.5,105.0,16.5,43.0,6.5,96.0,13.0,41.0,6.5,103.0,19.5,46.0,7.0,108.0,18.0,43.0,5.0,122.0,20.5,45.0,0.0,98.0,17.0,40.0,3.0,116.0,20.0,41.5,8.0,145.5,21.0,43.0,1.0,147.0,18.0,43.0,0.0,71.5,24.0,43.0,8.0,129.5,18.0,43.0,6.0,101.0,21.0,42.5,5.5,105.5,22.0,39.0,0.0,92.0,18.0,43.0,4.0,103.0,19.0,40.5,8.0,131.0,15.0,46.0,6.0,106.5,22.0,36.0,0.0,122.5,21.0,42.5,7.5,119.0,15.0,46.0,2.0,150.0,18.5,45.5,7.0,153.5,14.0,35.0,6.0,110.5,24.0,39.0,6.0,100.0,17.0,38.5,4.0,124.0,18.0,44.0,6.0,78.0,11.0,41.0,6.0,122.5,21.0,40.0,0.0,106.0,15.0,56.0,0.0,84.0,18.0,36.0,0.0
BELL,7,2,3,1,3,10,2,2,5,8,6,1,4,9,3,5,1,1,4,0,1,2,1,0,2,3,2,0,0,0,1,0,2,0,0,1,0,0,0,0,0,2,1,0,3,3,0,0,2,1,4,0,2,1,3,0,1,4,3,1,7,5,3,0,2,5,1,0,4,1,2,1,2,6,4,0,3,2,7,1,1,1,0,1,1,7,3,0,3,3,1,0,5,4,3,0,1,5,6,2,2,1,2,0,1,2,2,0,4,1,5,0,2,7,2,1,1,4,2,0,85.0,11.0,36.0,8.0,89.0,16.0,32.0,6.0,126.0,16.0,43.5,8.0,95.5,14.0,32.0,7.0,79.0,12.0,33.5,0.0,136.0,13.5,48.0,0.0,79.5,20.0,36.0,0.0,0.0,0.0,56.0,0.0,723.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,14.0,56.0,0.0,134.0,17.0,0.0,0.0,514.5,21.0,39.5,0.0,123.0,27.0,39.0,0.0,66.0,14.0,43.0,8.0,139.0,25.0,52.0,0.0,155.0,20.0,51.0,0.0,110.5,13.0,40.5,6.0,102.5,14.0,44.5,0.0,100.0,20.0,45.0,6.0,81.0,22.0,0.0,8.0,308.0,17.0,39.0,0.0,104.0,14.0,30.0,0.0,90.0,16.0,33.0,0.0,93.0,20.0,42.5,4.5,79.0,26.0,51.5,0.0,73.0,17.5,33.0,0.0,97.0,14.0,35.0,0.0,65.5,17.0,44.0,7.0,75.0,24.5,46.5,0.0
BOONE,83,22,42,3,50,21,24,1,64,25,43,3,65,40,39,5,74,34,45,3,68,20,34,1,60,23,25,2,60,25,37,0,56,13,37,1,29,17,21,2,46,7,29,0,81,11,56,1,117,43,85,1,67,27,42,1,56,19,38,1,71,27,52,3,54,15,39,2,104,14,55,1,77,8,27,0,61,27,30,1,38,28,40,0,60,17,26,0,70,24,47,2,39,11,40,1,32,22,31,1,51,24,39,0,42,22,37,0,36,11,37,0,22,7,24,0,24,12,23,1,133.0,22.0,44.0,8.0,111.5,16.0,43.5,7.0,87.0,21.0,44.0,8.0,95.0,15.5,42.0,5.0,123.5,18.5,41.0,6.0,120.0,19.0,45.5,8.0,111.0,20.0,39.0,6.5,111.5,22.0,40.0,0.0,103.5,23.0,42.0,3.0,120.0,20.0,42.0,4.5,98.0,22.0,47.0,0.0,118.0,18.0,42.0,3.0,120.0,21.0,43.0,8.0,104.0,21.0,45.0,7.0,100.5,19.0,45.5,5.0,120.0,19.0,40.0,7.0,126.0,23.0,40.0,3.0,110.0,21.5,46.0,7.0,111.0,20.0,45.0,0.0,140.0,18.0,41.0,7.0,98.5,22.0,46.5,0.0,106.0,23.0,41.5,0.0,113.0,18.5,42.0,7.5,90.0,23.0,42.5,8.0,88.0,22.5,47.0,6.0,113.0,22.0,38.0,0.0,110.5,20.5,41.0,0.0,85.0,23.0,44.0,0.0,98.0,16.0,41.5,0.0,126.0,18.5,43.0,8.0
BOURBON,161,22,34,0,199,5,27,0,94,8,32,0,177,28,51,2,228,8,49,1,313,15,77,1,176,6,53,0,254,12,62,0,197,18,50,0,232,12,43,0,215,12,38,0,461,27,110,1,220,12,59,0,196,19,52,0,131,10,48,0,248,21,58,2,347,20,86,0,351,37,89,0,287,16,93,1,237,18,84,1,140,19,63,1,131,11,33,0,182,15,41,0,75,9,46,1,88,18,40,1,69,5,32,0,56,2,24,0,109,24,30,0,39,11,11,0,79,11,37,0,177.0,18.0,41.5,0.0,284.0,21.0,44.0,0.0,199.0,23.5,44.5,0.0,222.0,21.0,45.0,8.0,240.5,15.0,47.0,4.0,178.0,24.0,42.0,2.0,192.0,21.5,44.0,0.0,173.5,21.5,47.0,0.0,189.0,24.5,47.5,0.0,177.0,21.5,48.0,0.0,231.0,21.0,41.5,0.0,178.0,22.0,46.0,5.0,179.5,21.5,47.0,0.0,173.0,21.0,45.0,0.0,172.0,23.0,44.5,0.0,166.0,22.0,46.0,7.5,150.0,24.0,44.0,0.0,161.0,21.0,41.0,0.0,152.0,22.0,47.0,8.0,179.0,23.0,43.5,4.0,148.5,20.0,44.0,3.0,173.0,22.0,40.0,0.0,176.5,22.0,44.0,0.0,166.0,23.0,43.0,7.0,141.5,17.5,42.5,4.0,136.0,17.0,42.0,0.0,214.5,25.0,48.0,0.0,179.0,23.0,40.5,0.0,214.0,21.0,45.0,0.0,155.0,19.0,41.0,0.0
BOYD,2,4,2,0,4,1,2,0,1,1,3,0,1,8,3,4,6,13,6,1,6,5,6,1,4,7,10,0,3,6,7,0,0,6,12,0,12,9,4,1,13,10,9,0,10,3,5,2,1,7,3,0,6,10,13,1,8,17,3,2,9,10,10,2,10,23,9,2,5,21,10,2,11,23,16,5,14,21,25,11,5,15,2,4,4,10,7,0,12,16,10,13,1,11,0,1,0,0,3,0,5,7,11,7,8,4,3,3,7,10,5,3,4,33,11,6,0,0,2,0,166.5,23.5,41.5,0.0,120.0,16.0,47.0,0.0,138.0,19.0,30.0,0.0,79.0,13.5,46.0,8.0,106.5,17.0,42.0,7.0,100.5,22.0,43.0,7.0,78.0,20.0,36.5,0.0,81.0,13.0,29.0,0.0,0.0,24.0,47.0,0.0,148.5,21.0,34.0,8.0,89.0,17.5,43.0,0.0,120.0,22.0,38.0,8.0,82.0,19.0,48.0,0.0,123.5,18.0,41.0,8.0,220.5,18.0,32.0,5.0,114.0,13.5,31.5,6.5,73.0,17.0,42.0,6.5,86.0,19.0,41.0,5.5,97.0,16.0,36.0,6.0,102.5,20.0,38.0,5.0,153.0,21.0,36.0,6.0,146.5,20.5,38.0,0.0,86.5,16.0,39.5,7.0,106.0,13.0,0.0,8.0,0.0,0.0,30.0,0.0,167.0,11.0,32.0,8.0,98.5,22.5,34.0,6.0,115.0,15.0,32.0,6.0,123.0,17.0,34.0,6.5,0.0,0.0,34.5,0.0
