COUNTY,count_1990_H,count_1990_L,count_1990_M,count_1990_VL,count_1991_H,count_1991_L,count_1991_M,count_1991_VL,count_1992_H,count_1992_L,count_1992_M,count_1992_VL,count_1993_H,count_1993_L,count_1993_M,count_1993_VL,count_1994_H,count_1994_L,count_1994_M,count_1994_VL,count_1995_H,count_1995_L,count_1995_M,count_1995_VL,count_1996_H,count_1996_L,count_1996_M,count_1996_VL,count_1997_H,count_1997_L,count_1997_M,count_1997_VL,count_1998_H,count_1998_L,count_1998_M,count_1998_VL,count_1999_H,count_1999_L,count_1999_M,count_1999_VL,count_2000_H,count_2000_L,count_2000_M,count_2000_VL,count_2001_H,count_2001_L,count_2001_M,count_2001_VL,count_2002_H,count_2002_L,count_2002_M,count_2002_VL,count_2003_H,count_2003_L,count_2003_M,count_2003_VL,count_2004_H,count_2004_L,count_2004_M,count_2004_VL,count_2005_H,count_2005_L,count_2005_M,count_2005_VL,count_2006_H,count_2006_L,count_2006_M,count_2006_VL,count_2007_H,count_2007_L,count_2007_M,count_2007_VL,count_2008_H,count_2008_L,count_2008_M,count_2008_VL,count_2009_H,count_2009_L,count_2009_M,count_2009_VL,count_2010_H,count_2010_L,count_2010_M,count_2010_VL,count_2011_H,count_2011_L,count_2011_M,count_2011_VL,count_2012_H,count_2012_L,count_2012_M,count_2012_VL,count_2013_H,count_2013_L,count_2013_M,count_2013_VL,count_2014_H,count_2014_L,count_2014_M,count_2014_VL,count_2015_H,count_2015_L,count_2015_M,count_2015_VL,count_2016_H,count_2016_L,count_2016_M,count_2016_VL,count_2017_H,count_2017_L,count_2017_M,count_2017_VL,count_2018_H,count_2018_L,count_2018_M,count_2018_VL,count_2019_H,count_2019_L,count_2019_M,count_2019_VL,1990_H,1990_L,1990_M,1990_VL,1991_H,1991_L,1991_M,1991_VL,1992_H,1992_L,1992_M,1992_VL,1993_H,1993_L,1993_M,1993_VL,1994_H,1994_L,1994_M,1994_VL,1995_H,1995_L,1995_M,1995_VL,1996_H,1996_L,1996_M,1996_VL,1997_H,1997_L,1997_M,1997_VL,1998_H,1998_L,1998_M,1998_VL,1999_H,1999_L,1999_M,1999_VL,2000_H,2000_L,2000_M,2000_VL,2001_H,2001_L,2001_M,2001_VL,2002_H,2002_L,2002_M,2002_VL,2003_H,2003_L,2003_M,2003_VL,2004_H,2004_L,2004_M,2004_VL,2005_H,2005_L,2005_M,2005_VL,2006_H,2006_L,2006_M,2006_VL,2007_H,2007_L,2007_M,2007_VL,2008_H,2008_L,2008_M,2008_VL,2009_H,2009_L,2009_M,2009_VL,2010_H,2010_L,2010_M,2010_VL,2011_H,2011_L,2011_M,2011_VL,2012_H,2012_L,2012_M,2012_VL,2013_H,2013_L,2013_M,2013_VL,2014_H,2014_L,2014_M,2014_VL,2015_H,2015_L,2015_M,2015_VL,2016_H,2016_L,2016_M,2016_VL,2017_H,2017_L,2017_M,2017_VL,2018_H,2018_L,2018_M,2018_VL,2019_H,2019_L,2019_M,2019_VL
ADAIR,11,10,9,7,9,15,30,3,14,17,12,0,7,19,15,2,11,18,20,2,9,17,14,9,9,42,32,13,8,24,17,8,11,26,21,17,9,29,10,4,25,43,27,22,32,52,35,17,3,22,8,7,23,24,23,12,8,16,19,7,13,31,18,20,28,57,38,15,20,21,29,7,52,79,61,30,43,87,58,16,31,43,35,30,41,96,66,61,43,84,73,46,73,105,85,47,18,92,61,58,25,77,62,29,57,109,80,72,49,119,97,42,40,80,65,34,27,67,57,45,419.0,159.0,201.0,98.0,361.0,157.0,225.5,103.0,381.5,157.0,235.0,0.0,444.0,146.0,217.0,85.0,362.0,155.5,242.5,93.5,449.0,142.0,243.5,88.0,342.0,144.5,219.0,89.0,478.5,139.5,232.0,92.5,417.0,142.5,230.0,86.0,340.0,131.0,226.0,85.0,399.0,137.0,231.0,87.0,399.0,138.5,225.0,83.0,406.0,134.5,240.0,77.0,376.0,161.0,241.0,81.0,354.5,153.0,228.0,88.0,433.0,142.0,214.5,81.5,430.5,145.0,230.5,84.0,414.0,145.0,243.0,86.0,411.0,149.0,233.0,84.5,392.0,145.0,226.0,90.0,445.0,149.0,219.0,88.5,377.0,139.5,243.0,86.0,370.0,135.0,233.0,86.0,369.0,147.0,233.0,85.0,412.0,133.0,244.0,76.5,348.0,151.0,222.5,84.0,382.0,134.0,235.0,79.0,413.0,146.0,231.0,81.5,415.0,138.5,239.0,91.5,401.0,146.0,221.0,88.0
ALLEN,33,54,45,3,123,39,86,2,75,37,86,3,104,69,93,6,80,81,105,10,70,25,54,5,44,28,54,4,49,38,64,5,47,28,38,6,45,29,51,8,26,33,43,10,85,29,37,12,63,47,46,4,26,27,11,3,38,52,35,12,37,60,58,13,83,74,56,21,89,85,87,36,100,64,73,13,61,75,51,35,29,44,28,12,51,62,39,24,22,24,13,20,40,48,43,21,66,33,38,16,38,40,29,16,60,64,53,43,77,63,60,25,9,32,18,24,38,35,27,27,405.0,152.0,231.0,82.0,415.0,162.0,245.5,97.0,371.0,146.0,228.0,95.0,415.0,151.0,243.0,98.0,421.5,153.0,243.0,95.0,388.0,161.0,240.5,99.0,370.5,150.5,233.0,92.0,380.0,143.0,222.0,100.0,391.0,139.5,235.0,85.5,361.0,135.0,233.0,84.0,401.5,162.0,227.0,88.0,494.0,138.0,239.0,84.0,383.0,139.0,239.0,92.0,350.0,143.0,234.0,75.0,372.0,135.0,233.0,84.0,418.0,150.0,220.5,78.0,459.0,145.5,240.5,84.0,416.0,140.0,234.0,84.0,407.5,146.0,226.0,95.0,403.0,142.0,233.0,91.0,423.0,145.0,224.5,87.0,397.0,128.5,232.0,86.0,458.0,137.0,212.0,82.0,488.0,134.0,234.0,86.0,490.0,156.0,250.5,90.5,397.0,146.5,225.0,86.5,401.0,142.5,213.0,84.0,410.0,134.0,238.0,91.0,402.0,133.0,238.0,75.0,415.5,151.0,236.0,81.0
ANDERSON,12,8,16,0,0,1,6,0,6,2,4,0,8,2,5,0,3,7,6,0,4,5,15,1,3,10,6,3,7,3,11,1,0,2,7,0,4,1,5,0,2,2,9,0,4,6,7,0,34,12,26,1,39,11,30,2,19,15,26,2,13,4,17,0,6,9,8,0,6,4,7,0,12,5,7,1,9,2,12,0,3,4,5,0,7,19,13,4,11,9,16,0,4,0,3,0,15,11,23,0,6,5,19,0,7,16,22,0,8,5,21,1,19,7,19,1,5,15,22,1,360.5,158.0,236.0,0.0,0.0,170.0,227.5,0.0,396.5,155.5,258.5,0.0,482.5,147.5,238.0,0.0,533.0,172.0,208.5,0.0,336.5,168.0,257.0,93.0,788.0,152.0,249.5,96.0,343.0,147.0,220.0,94.0,0.0,179.0,229.0,0.0,376.5,159.0,236.0,0.0,373.0,174.5,253.0,0.0,336.0,133.0,239.0,0.0,419.0,165.0,243.0,103.0,402.0,152.0,234.5,91.0,382.0,160.0,240.0,95.5,349.0,170.0,262.0,0.0,401.5,150.0,251.5,0.0,424.0,159.5,249.0,0.0,419.0,141.0,228.0,94.0,380.0,128.5,252.5,0.0,483.0,152.0,257.0,0.0,409.0,148.0,225.0,94.0,361.0,135.0,229.0,0.0,393.0,0.0,275.0,0.0,381.0,155.0,251.0,0.0,362.0,153.0,228.0,0.0,348.0,145.5,233.0,0.0,371.5,153.0,233.0,101.0,397.0,168.0,236.0,81.0,348.0,156.0,231.0,86.0
BALLARD,2,1,7,0,5,2,3,0,5,19,14,0,3,5,4,0,3,5,3,0,4,4,9,0,7,3,5,2,2,6,2,0,2,3,6,1,1,4,6,1,6,1,5,0,5,2,7,1,11,7,3,1,6,3,4,0,6,3,14,1,9,6,12,1,4,10,3,5,3,5,4,1,3,12,18,5,7,2,4,2,3,9,8,2,0,0,3,0,10,8,8,0,8,5,8,0,0,0,0,0,3,6,7,2,3,5,5,0,5,12,16,2,0,0,2,0,4,3,8,0,314.0,164.0,224.0,0.0,342.0,150.0,232.0,0.0,501.0,158.0,223.5,0.0,367.0,135.0,262.5,0.0,400.0,120.0,211.0,0.0,400.0,155.0,260.0,0.0,387.0,143.0,229.0,88.5,411.0,167.5,263.0,0.0,339.5,178.0,257.0,59.0,322.0,155.0,245.0,20.0,390.0,186.0,278.0,0.0,428.0,182.0,260.0,61.0,597.0,145.0,265.0,95.0,362.5,154.0,249.0,0.0,389.5,173.0,260.0,100.0,414.0,159.0,246.5,92.0,431.0,148.5,255.0,83.0,354.0,151.0,228.0,88.0,325.0,161.5,238.0,97.0,388.0,138.0,233.0,83.0,314.0,153.0,208.5,86.5,0.0,0.0,248.0,0.0,399.0,133.5,241.0,0.0,417.5,141.0,231.0,0.0,0.0,0.0,0.0,0.0,365.0,133.0,215.0,74.0,406.0,158.0,222.0,0.0,319.0,159.0,214.5,82.5,0.0,0.0,242.5,0.0,388.5,143.0,243.0,0.0
BARREN,36,16,29,1,40,23,42,1,61,27,57,4,104,27,66,4,93,46,98,5,97,30,68,5,26,27,35,2,9,22,11,14,8,10,8,5,14,19,6,0,27,20,15,3,23,22,19,3,15,19,16,8,48,34,27,13,40,27,22,8,7,7,11,5,35,47,38,26,15,20,21,14,54,22,42,9,25,28,24,15,26,15,18,3,19,17,10,8,29,61,39,22,23,27,29,10,27,26,26,12,45,63,31,21,20,46,39,26,27,39,29,23,17,24,30,8,22,37,23,20,393.5,158.5,221.0,101.0,419.5,148.0,257.0,97.0,445.0,154.0,252.0,91.5,415.5,158.0,240.0,99.5,408.0,167.5,239.0,86.0,403.0,160.0,243.5,99.0,401.5,158.0,246.0,89.0,367.0,123.5,248.0,82.5,410.0,131.5,199.0,90.0,383.5,142.0,239.0,0.0,438.0,147.5,228.0,95.0,460.0,154.0,234.0,98.0,379.0,144.0,235.5,79.0,413.5,154.0,229.0,87.0,435.0,135.0,240.5,83.5,420.0,140.0,230.0,85.0,424.0,157.0,241.0,83.0,379.0,138.5,236.0,83.5,462.5,155.5,237.5,92.0,435.0,153.0,216.0,88.0,423.5,151.0,234.0,102.0,554.0,144.0,225.5,92.0,435.0,124.0,234.0,83.5,376.0,135.0,221.0,90.5,479.0,138.0,233.0,92.5,445.0,136.0,234.0,90.0,434.5,132.5,240.0,83.0,489.0,156.0,235.0,65.0,377.0,152.5,243.0,81.0,401.0,146.0,239.0,84.0
BATH,0,0,5,1,0,3,0,2,1,1,5,0,9,7,10,0,4,8,5,1,4,6,2,0,1,8,8,2,10,2,4,1,6,4,8,1,11,9,4,1,3,5,6,0,10,14,12,0,3,2,2,0,4,2,9,2,7,6,2,2,19,10,14,1,21,14,7,0,20,18,10,3,24,19,16,3,31,13,27,3,21,16,7,3,12,13,8,2,5,9,9,0,15,13,22,6,10,9,9,5,19,13,11,5,9,15,16,7,10,6,13,4,7,9,2,3,5,18,20,9,0.0,0.0,238.0,93.0,0.0,129.0,0.0,82.0,341.0,149.0,218.0,0.0,341.0,178.0,242.0,0.0,403.0,151.0,271.0,96.0,446.5,139.5,231.5,0.0,350.0,143.5,235.5,98.5,373.5,140.5,261.0,75.0,358.0,165.0,259.5,71.0,428.0,138.0,264.5,75.0,566.0,156.0,235.0,0.0,445.0,155.0,221.0,0.0,386.0,133.5,265.5,0.0,691.5,149.5,231.0,98.0,435.0,132.0,254.0,84.5,440.0,143.5,239.5,91.0,401.0,143.5,220.0,0.0,546.5,157.0,256.0,88.0,432.0,160.0,251.5,98.0,401.0,159.0,250.0,102.0,422.0,118.0,264.0,83.0,416.5,161.0,235.0,92.5,390.0,129.0,236.0,0.0,371.0,148.0,239.0,83.5,483.5,165.0,219.0,81.0,430.0,147.0,217.0,79.0,370.0,145.0,248.5,86.0,468.0,133.5,219.0,79.0,340.0,129.0,270.5,93.0,427.0,144.5,255.0,80.0
BELL,1,1,0,0,0,0,3,0,1,0,0,0,0,1,3,1,0,0,0,0,1,2,5,0,1,0,1,0,1,2,0,0,1,2,2,4,3,3,2,2,5,1,1,1,0,0,0,2,0,1,0,0,0,2,1,0,1,4,6,3,0,2,2,0,2,1,6,0,0,0,2,0,0,4,0,0,1,1,2,0,1,1,0,0,1,0,0,0,1,4,1,0,0,2,2,1,1,1,3,1,0,4,0,3,6,8,3,4,4,2,4,1,2,1,2,0,3,2,3,0,349.0,106.0,0.0,0.0,0.0,0.0,229.0,0.0,312.0,0.0,0.0,0.0,0.0,158.0,216.0,89.0,0.0,0.0,0.0,0.0,382.0,137.5,211.0,0.0,377.0,0.0,284.0,0.0,323.0,166.0,0.0,0.0,309.0,162.5,267.0,68.0,346.0,157.0,252.0,97.5,473.0,137.0,280.0,100.0,0.0,0.0,0.0,78.5,0.0,144.0,0.0,0.0,0.0,161.5,206.0,0.0,622.0,134.0,235.5,92.0,0.0,143.5,238.0,0.0,410.5,125.0,232.0,0.0,0.0,0.0,214.5,0.0,0.0,153.5,0.0,0.0,548.0,179.0,228.5,0.0,348.0,182.0,0.0,0.0,627.0,0.0,0.0,0.0,337.0,142.5,295.0,0.0,0.0,121.0,189.0,102.0,348.0,170.0,265.0,63.0,0.0,135.0,0.0,83.0,409.0,132.5,251.0,70.5,385.0,123.0,218.0,93.0,724.5,139.0,250.5,0.0,463.0,128.0,263.0,0.0
BOONE,8,4,18,0,5,5,9,1,6,4,6,0,10,8,9,2,19,7,7,1,6,9,8,2,8,6,21,0,14,9,19,4,11,10,22,4,6,20,10,0,16,1,10,0,8,10,12,0,21,10,20,1,17,12,13,1,6,10,8,4,5,10,9,1,8,8,13,0,18,23,16,2,38,13,19,1,23,12,18,0,11,10,19,2,27,28,36,12,11,22,25,0,12,19,16,4,11,6,8,2,17,23,26,7,11,23,22,2,18,17,24,1,22,24,20,3,30,48,30,8,373.5,164.5,249.0,0.0,462.0,151.0,232.0,100.0,527.0,162.5,226.0,0.0,448.0,129.0,239.0,85.0,444.0,152.0,226.0,70.0,389.0,146.0,241.5,93.0,412.0,160.0,216.0,0.0,388.0,151.0,235.0,90.0,385.0,155.5,265.5,91.0,403.5,150.0,235.0,0.0,419.0,177.0,242.0,0.0,433.5,130.5,222.0,0.0,524.0,161.5,230.5,99.0,381.0,155.0,247.0,91.0,348.0,164.5,263.5,96.5,458.0,166.0,217.0,99.0,474.0,158.0,256.0,0.0,384.0,155.0,216.0,92.5,485.0,173.0,239.0,102.0,528.0,143.5,264.0,0.0,367.0,143.5,250.0,92.0,390.0,140.0,237.0,86.5,393.0,134.0,233.0,0.0,517.0,138.0,223.0,97.5,473.0,161.0,206.5,89.0,428.0,141.0,237.0,61.0,339.0,152.0,246.5,91.0,378.5,151.0,239.5,100.0,362.0,147.5,238.5,80.0,444.0,148.0,233.0,90.5
BOURBON,45,11,34,0,29,1,17,0,7,0,5,0,4,0,10,0,6,0,7,0,38,8,46,0,17,3,5,0,27,4,19,0,19,3,11,0,28,5,15,0,33,12,29,0,34,8,29,0,73,9,21,1,114,17,48,1,96,17,81,0,80,14,61,0,261,24,78,0,136,18,53,1,170,36,76,0,234,30,71,0,136,40,68,1,148,29,56,0,87,21,56,0,131,40,61,1,87,28,54,2,79,22,57,2,146,23,68,1,94,38,87,1,59,23,38,3,137,68,94,6,385.0,158.0,249.0,0.0,365.0,168.0,260.0,0.0,353.0,0.0,255.0,0.0,339.5,0.0,257.5,0.0,416.0,0.0,262.0,0.0,431.5,145.5,241.0,0.0,433.0,136.0,207.0,0.0,425.0,157.0,242.0,0.0,449.0,164.0,209.0,0.0,495.0,143.0,261.0,0.0,427.0,157.0,233.0,0.0,441.0,156.5,248.0,0.0,405.0,161.0,261.0,98.0,463.5,147.0,248.0,82.0,451.0,147.0,249.0,0.0,492.5,171.0,239.0,0.0,544.0,175.5,244.5,0.0,492.0,169.5,247.0,97.0,458.0,158.0,251.0,0.0,465.0,162.5,247.0,0.0,495.5,162.5,237.0,101.0,520.0,163.0,250.0,0.0,429.0,157.0,227.0,0.0,556.0,152.5,224.0,95.0,488.0,150.0,226.5,97.5,418.0,170.5,232.0,88.5,510.5,151.0,258.0,97.0,495.5,154.5,230.0,86.0,416.0,163.0,239.5,96.0,436.0,144.0,240.0,85.5
BOYD,2,3,9,1,2,5,4,0,1,5,2,4,0,2,7,0,7,7,5,0,2,1,2,0,3,0,1,0,0,1,3,1,3,6,3,0,1,4,6,1,2,6,5,0,8,6,6,2,0,2,0,1,1,3,1,0,5,3,8,1,0,2,3,1,5,6,8,1,2,8,11,2,8,8,9,0,7,1,7,4,4,4,4,3,2,1,0,1,3,10,7,3,4,7,4,5,6,11,5,1,1,2,1,0,9,13,19,5,2,4,7,1,2,5,3,3,1,7,4,4,349.0,127.0,267.0,90.0,358.0,160.0,196.0,0.0,302.0,119.0,264.0,96.0,0.0,161.0,199.0,0.0,351.0,142.0,233.0,0.0,369.0,165.0,217.0,0.0,436.0,0.0,213.0,0.0,0.0,134.0,271.0,103.0,361.0,154.5,223.0,0.0,347.0,158.5,236.0,98.0,435.5,143.0,209.0,0.0,373.5,164.5,249.0,90.0,0.0,144.0,0.0,93.0,336.0,146.0,195.0,0.0,344.0,120.0,214.0,92.0,0.0,123.5,226.0,73.0,464.0,168.0,240.5,74.0,379.0,153.0,213.0,86.5,387.0,131.5,229.0,0.0,350.0,159.0,211.0,93.0,484.0,151.5,237.5,93.0,336.5,182.0,0.0,96.0,367.0,150.0,221.0,73.0,368.0,131.0,213.0,98.0,342.0,128.0,217.0,99.0,462.0,140.0,248.0,0.0,363.0,153.0,207.0,88.0,463.0,149.0,235.0,90.0,355.0,169.0,233.0,102.0,505.0,156.0,222.5,76.5
