COUNTY,count_1990_,count_1990_H,count_1990_L,count_1990_M,count_1990_VL,count_1991_,count_1991_H,count_1991_L,count_1991_M,count_1991_VL,count_1992_,count_1992_H,count_1992_L,count_1992_M,count_1992_VL,count_1993_,count_1993_H,count_1993_L,count_1993_M,count_1993_VL,count_1994_,count_1994_H,count_1994_L,count_1994_M,count_1994_VL,count_1995_,count_1995_H,count_1995_L,count_1995_M,count_1995_VL,count_1996_,count_1996_H,count_1996_L,count_1996_M,count_1996_VL,count_1997_,count_1997_H,count_1997_L,count_1997_M,count_1997_VL,count_1998_,count_1998_H,count_1998_L,count_1998_M,count_1998_VL,count_1999_,count_1999_H,count_1999_L,count_1999_M,count_1999_VL,count_2000_,count_2000_H,count_2000_L,count_2000_M,count_2000_VL,count_2001_,count_2001_H,count_2001_L,count_2001_M,count_2001_VL,count_2002_,count_2002_H,count_2002_L,count_2002_M,count_2002_VL,count_2003_,count_2003_H,count_2003_L,count_2003_M,count_2003_VL,count_2004_,count_2004_H,count_2004_L,count_2004_M,count_2004_VL,count_2005_,count_2005_H,count_2005_L,count_2005_M,count_2005_VL,count_2006_,count_2006_H,count_2006_L,count_2006_M,count_2006_VL,count_2007_,count_2007_H,count_2007_L,count_2007_M,count_2007_VL,count_2008_,count_2008_H,count_2008_L,count_2008_M,count_2008_VL,count_2009_,count_2009_H,count_2009_L,count_2009_M,count_2009_VL,count_2010_,count_2010_H,count_2010_L,count_2010_M,count_2010_VL,count_2011_,count_2011_H,count_2011_L,count_2011_M,count_2011_VL,count_2012_,count_2012_H,count_2012_L,count_2012_M,count_2012_VL,count_2013_,count_2013_H,count_2013_L,count_2013_M,count_2013_VL,count_2014_,count_2014_H,count_2014_L,count_2014_M,count_2014_VL,count_2015_,count_2015_H,count_2015_L,count_2015_M,count_2015_VL,count_2016_,count_2016_H,count_2016_L,count_2016_M,count_2016_VL,count_2017_,count_2017_H,count_2017_L,count_2017_M,count_2017_VL,count_2018_,count_2018_H,count_2018_L,count_2018_M,count_2018_VL,count_2019_,count_2019_H,count_2019_L,count_2019_M,count_2019_VL,1990_,1990_H,1990_L,1990_M,1990_VL,1991_,1991_H,1991_L,1991_M,1991_VL,1992_,1992_H,1992_L,1992_M,1992_VL,1993_,1993_H,1993_L,1993_M,1993_VL,1994_,1994_H,1994_L,1994_M,1994_VL,1995_,1995_H,1995_L,1995_M,1995_VL,1996_,1996_H,1996_L,1996_M,1996_VL,1997_,1997_H,1997_L,1997_M,1997_VL,1998_,1998_H,1998_L,1998_M,1998_VL,1999_,1999_H,1999_L,1999_M,1999_VL,2000_,2000_H,2000_L,2000_M,2000_VL,2001_,2001_H,2001_L,2001_M,2001_VL,2002_,2002_H,2002_L,2002_M,2002_VL,2003_,2003_H,2003_L,2003_M,2003_VL,2004_,2004_H,2004_L,2004_M,2004_VL,2005_,2005_H,2005_L,2005_M,2005_VL,2006_,2006_H,2006_L,2006_M,2006_VL,2007_,2007_H,2007_L,2007_M,2007_VL,2008_,2008_H,2008_L,2008_M,2008_VL,2009_,2009_H,2009_L,2009_M,2009_VL,2010_,2010_H,2010_L,2010_M,2010_VL,2011_,2011_H,2011_L,2011_M,2011_VL,2012_,2012_H,2012_L,2012_M,2012_VL,2013_,2013_H,2013_L,2013_M,2013_VL,2014_,2014_H,2014_L,2014_M,2014_VL,2015_,2015_H,2015_L,2015_M,2015_VL,2016_,2016_H,2016_L,2016_M,2016_VL,2017_,2017_H,2017_L,2017_M,2017_VL,2018_,2018_H,2018_L,2018_M,2018_VL,2019_,2019_H,2019_L,2019_M,2019_VL
ADAIR,0,13,12,8,4,0,10,22,12,13,0,16,6,18,3,2,16,11,7,7,1,14,17,12,7,0,23,10,12,4,1,28,21,43,3,0,19,17,20,1,0,30,23,20,2,2,20,12,18,0,3,43,25,42,4,0,63,34,36,3,0,10,19,10,1,0,39,17,21,5,0,23,12,11,4,0,38,14,28,2,0,68,21,37,12,0,34,18,25,0,0,129,33,58,2,2,113,38,49,2,0,83,20,32,4,3,124,57,69,11,3,101,59,78,5,4,145,85,73,3,1,84,76,57,11,5,65,56,54,13,2,110,85,104,17,3,105,84,109,6,1,89,59,62,8,1,85,44,61,5,0,88.0,14.0,41.0,7.5,0,93.5,20.0,42.0,5.0,0,104.5,19.0,40.5,7.0,10,114.0,19.0,41.0,7.0,10,96.0,18.0,48.5,8.0,0,117.0,23.0,41.0,6.5,10,110.5,24.0,43.0,6.0,0,94.0,19.0,41.0,7.0,0,118.0,21.0,40.0,6.5,10,85.0,22.0,41.5,0.0,10,80.0,20.0,42.5,7.0,0,101.0,20.0,46.0,5.0,0,76.5,21.0,38.0,9.0,0,83.0,19.0,48.0,3.0,0,112.0,17.0,41.0,7.0,0,105.5,19.5,45.0,7.5,0,124.0,18.0,46.0,7.0,0,105.0,18.5,44.0,0.0,0,119.0,22.0,40.5,7.5,10,121.0,19.5,45.0,8.0,0,105.0,22.5,42.0,6.0,10,110.5,20.0,44.0,7.0,10,104.0,18.0,46.0,8.0,10,119.0,21.0,45.0,7.0,10,114.5,20.0,43.0,8.0,10,93.0,17.5,41.0,8.0,10,97.5,21.0,40.0,7.0,10,99.0,18.5,45.0,8.5,10,112.0,19.0,43.5,5.5,10,88.0,22.0,44.0,7.0
ALLEN,2,33,46,44,10,2,92,61,90,5,3,51,61,80,6,1,76,102,86,7,7,91,79,87,12,1,43,54,53,3,0,43,45,39,3,5,43,54,47,7,2,32,55,26,4,2,38,49,42,2,2,19,54,31,6,2,80,30,48,3,0,67,33,55,5,1,28,17,20,1,0,49,43,44,1,2,59,40,64,3,1,101,51,76,5,1,114,80,94,8,2,105,47,93,3,3,85,48,79,7,0,41,30,42,0,0,60,47,65,4,1,36,20,21,1,1,48,45,57,1,0,80,23,49,1,2,56,27,37,1,2,68,71,77,2,0,98,63,63,1,0,22,26,35,0,1,36,49,40,1,10,118.0,19.5,45.5,8.0,10,86.0,22.0,43.5,7.0,10,86.0,19.0,42.0,7.5,10,95.5,21.0,39.5,7.0,10,90.0,21.0,41.0,8.0,10,86.0,21.5,45.0,7.0,0,111.0,22.0,46.0,6.0,10,96.0,20.5,44.0,7.0,10,91.0,19.0,45.0,6.0,10,90.5,19.0,39.5,6.0,10,108.0,20.0,42.0,9.0,10,133.5,20.0,42.0,7.0,0,92.0,20.0,45.0,8.0,10,100.0,25.0,44.5,9.0,0,106.0,20.0,41.5,8.0,10,104.0,24.0,42.5,6.0,10,102.0,22.0,42.0,8.0,10,94.5,21.5,42.5,5.5,10,103.0,25.0,43.0,7.0,10,90.0,23.0,42.0,6.0,0,100.0,20.0,47.5,0.0,0,103.0,24.0,40.0,5.0,10,113.0,19.0,43.0,4.0,10,88.5,24.0,44.0,8.0,0,124.0,22.0,45.0,7.0,10,88.5,26.0,41.0,7.0,10,92.0,22.0,43.0,3.5,0,91.5,24.0,44.0,9.0,0,82.5,22.0,41.0,0.0,10,93.0,19.0,42.0,6.0
ANDERSON,0,6,16,9,5,0,5,0,2,0,2,2,4,3,1,0,7,3,4,1,0,7,3,2,4,0,4,11,8,2,0,7,10,5,0,1,8,9,3,1,0,1,7,1,0,0,6,2,2,0,0,7,4,2,0,0,5,11,1,0,1,32,20,20,0,1,46,16,18,1,0,34,15,10,3,0,14,12,7,1,0,7,8,7,1,0,8,5,2,2,2,13,3,7,0,0,12,5,6,0,0,8,2,2,0,0,11,19,7,6,0,13,9,10,4,0,1,2,4,0,0,15,17,16,1,1,13,15,1,0,1,18,17,7,2,0,12,12,10,1,0,24,15,6,1,0,18,16,9,0,0,131.5,18.0,41.0,7.0,0,68.0,0.0,47.0,0.0,10,377.5,18.5,42.0,2.0,0,222.0,22.0,37.5,7.0,0,158.0,15.0,54.0,5.5,0,78.5,25.0,48.0,5.0,0,121.0,16.5,41.0,0.0,10,134.0,19.0,43.0,7.0,0,339.0,22.0,34.0,0.0,0,141.0,27.5,36.0,0.0,0,130.0,19.0,35.5,0.0,0,170.0,24.0,32.0,0.0,10,114.0,22.0,45.5,0.0,10,121.5,20.5,44.0,9.0,0,278.0,23.0,44.5,9.0,0,120.5,17.0,47.0,9.0,0,296.0,17.5,45.0,8.0,0,171.0,21.0,44.5,8.0,10,111.0,24.0,43.0,0.0,0,292.0,20.0,39.5,0.0,0,177.5,21.0,32.5,0.0,0,228.0,20.0,37.0,6.0,0,102.0,25.0,39.0,6.5,0,82.0,27.0,39.5,0.0,0,102.0,22.0,40.0,6.0,10,155.0,20.0,59.0,0.0,10,152.5,23.0,42.0,7.0,0,81.5,23.0,48.5,8.0,0,174.5,20.0,38.0,9.0,0,102.0,22.5,40.0,0.0
BALLARD,0,3,5,2,0,0,4,4,2,0,0,14,11,13,0,0,3,3,6,0,0,3,3,5,0,0,4,7,6,0,0,11,3,3,0,0,4,0,6,0,2,1,4,5,0,0,3,3,6,0,0,11,0,1,0,0,6,4,5,0,1,10,4,7,0,0,9,0,4,0,0,16,1,7,0,0,13,5,10,0,0,6,4,8,4,0,5,3,4,1,0,7,16,15,0,0,8,3,4,0,0,13,3,6,0,0,0,2,1,0,0,20,3,3,0,0,13,3,5,0,0,0,0,0,0,0,7,2,8,1,0,4,4,5,0,0,15,11,9,0,0,0,0,2,0,0,7,1,7,0,0,84.0,20.0,46.5,0.0,0,70.0,20.5,38.5,0.0,0,88.5,19.0,36.0,0.0,0,70.0,23.0,36.5,0.0,0,73.0,25.0,43.0,0.0,0,126.5,21.0,38.0,0.0,0,90.0,24.0,39.0,0.0,0,99.0,0.0,56.5,0.0,10,96.0,13.5,37.0,0.0,0,97.0,20.0,42.0,0.0,0,110.0,0.0,58.0,0.0,0,75.5,25.0,42.0,0.0,10,251.5,15.5,38.0,0.0,0,85.0,0.0,44.0,0.0,0,102.0,15.0,41.0,0.0,0,97.0,25.0,40.5,0.0,0,159.0,20.5,35.5,6.5,0,149.0,23.0,57.5,8.0,0,75.0,19.0,44.0,0.0,0,86.5,21.0,43.0,0.0,0,82.0,26.0,42.0,0.0,0,0.0,20.0,39.0,0.0,0,97.0,21.0,45.0,0.0,0,125.0,26.0,42.0,0.0,0,0.0,0.0,0.0,0.0,0,75.0,16.5,45.5,8.0,0,106.0,24.0,53.0,0.0,0,69.0,25.0,35.0,0.0,0,0.0,0.0,52.5,0.0,0,85.0,23.0,41.0,0.0
BARREN,3,34,23,20,2,1,40,29,34,2,0,63,42,38,6,1,76,59,60,5,3,100,50,79,10,3,70,71,52,4,0,37,31,22,0,3,16,20,8,9,1,13,12,5,0,0,16,10,11,2,2,24,21,15,3,0,24,24,18,1,0,24,18,11,5,0,60,24,37,1,1,44,13,33,6,0,12,5,12,1,2,58,36,46,4,1,26,16,24,3,0,73,23,28,3,2,32,22,32,4,0,38,9,14,1,0,30,10,14,0,0,54,39,50,8,1,40,22,25,1,0,30,27,34,0,0,66,39,55,0,1,50,35,45,0,0,52,35,30,1,2,31,22,24,0,0,38,32,31,1,10,160.0,20.0,40.0,6.0,10,98.5,21.0,43.0,8.5,0,110.0,22.0,42.5,6.5,10,116.5,22.0,41.5,8.0,10,112.0,19.0,42.0,7.0,10,97.5,20.0,41.0,6.0,0,88.0,22.0,44.0,0.0,10,153.0,18.0,40.0,7.0,10,201.0,16.0,36.0,0.0,0,153.5,18.0,49.0,6.0,10,196.5,20.0,41.0,7.0,0,143.5,23.5,39.5,3.0,0,385.5,22.0,47.0,1.0,0,105.0,24.0,42.0,9.0,10,112.5,24.0,42.0,6.0,0,416.5,20.0,49.5,9.0,10,89.0,17.5,45.0,4.0,10,126.5,23.0,37.5,6.0,0,116.0,22.0,50.0,8.0,10,90.0,22.0,41.0,8.0,0,110.5,23.0,43.5,6.0,0,106.0,17.0,39.5,0.0,0,89.0,22.0,42.0,6.0,10,94.0,24.5,45.0,6.0,0,88.0,22.0,42.5,0.0,0,115.5,22.0,43.0,0.0,10,97.0,23.0,44.0,0.0,0,94.5,26.0,41.0,9.0,10,80.0,22.0,44.5,0.0,0,116.0,21.0,38.0,8.0
BATH,0,0,4,1,1,0,1,2,1,1,0,0,3,1,3,3,2,16,2,3,1,5,5,6,1,0,2,5,4,1,0,2,11,3,3,0,7,5,5,0,0,13,4,2,0,1,3,11,5,5,0,5,3,5,1,1,10,18,5,2,0,3,0,3,1,1,3,10,2,1,1,4,4,8,0,0,11,16,10,7,0,20,9,12,1,0,24,18,7,2,2,24,22,13,1,1,21,26,22,4,2,8,13,13,11,1,13,11,6,4,2,7,7,4,3,0,20,13,19,4,0,8,9,14,2,0,21,14,13,0,0,13,13,20,1,1,10,11,9,2,0,4,7,10,0,3,15,19,13,2,0,0.0,19.5,45.0,7.0,0,123.0,21.0,48.0,5.0,0,0.0,14.0,35.0,4.0,10,171.0,18.0,51.5,4.0,10,71.0,21.0,41.5,2.0,0,302.5,13.0,37.5,6.0,0,70.5,23.0,40.0,8.0,0,87.0,22.0,46.0,0.0,0,95.0,18.5,42.0,0.0,10,115.0,21.0,43.0,8.0,0,97.0,16.0,44.0,9.0,10,216.5,18.5,52.0,9.0,0,82.0,0.0,36.0,8.0,10,186.0,22.0,58.0,9.0,10,102.0,16.0,45.5,0.0,0,89.0,21.0,42.0,7.0,0,149.0,21.0,43.5,8.0,0,116.5,18.0,46.0,8.0,10,120.5,21.0,39.0,9.0,10,111.0,19.5,37.0,7.5,10,100.0,19.0,45.0,6.0,10,127.0,23.0,48.0,7.5,10,99.0,22.0,40.0,9.0,0,79.0,18.0,45.0,6.5,0,95.5,23.0,44.0,7.0,0,122.0,23.0,45.0,0.0,0,100.0,21.0,42.0,6.0,10,74.0,16.0,37.0,8.5,0,175.5,21.0,46.0,0.0,10,92.0,15.0,38.0,8.5
BELL,0,0,0,1,1,0,0,2,1,0,0,1,0,0,0,0,0,1,1,3,0,0,0,0,0,0,2,5,0,1,0,2,0,0,0,0,0,1,2,0,0,0,2,6,1,0,2,3,3,2,0,6,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,2,8,2,2,0,1,1,2,0,0,4,2,3,0,0,2,0,0,0,0,1,1,2,0,0,2,0,2,0,0,0,1,1,0,0,1,0,0,0,1,0,3,2,0,1,1,1,1,1,0,1,2,3,0,1,0,4,0,2,0,7,9,4,1,0,3,4,4,0,0,2,3,0,0,0,3,1,2,2,0,0.0,0.0,31.0,9.0,0,0.0,26.0,45.0,0.0,0,123.0,0.0,0.0,0.0,0,0.0,14.0,58.0,3.0,0,0.0,0.0,0.0,0.0,0,68.5,22.0,0.0,9.0,0,199.5,0.0,0.0,0.0,0,0.0,22.0,43.0,0.0,0,0.0,22.0,45.0,5.0,0,85.5,14.0,46.0,7.0,0,141.5,25.0,0.0,6.0,0,62.0,0.0,36.0,0.0,0,0.0,20.0,0.0,0.0,0,66.0,16.0,53.0,0.0,0,79.5,20.5,49.0,6.5,0,105.0,12.0,53.0,0.0,0,147.5,21.5,49.0,0.0,0,107.0,0.0,0.0,0.0,0,67.0,25.0,49.5,0.0,0,82.0,0.0,34.0,0.0,0,0.0,23.0,39.0,0.0,0,170.0,0.0,0.0,0.0,10,0.0,20.0,39.5,0.0,10,80.0,12.0,32.0,7.0,0,129.0,17.0,39.0,0.0,10,0.0,21.0,0.0,7.5,0,171.0,18.0,44.5,5.0,0,361.0,15.5,46.0,0.0,0,77.0,18.0,0.0,0.0,0,86.0,19.0,46.5,8.5
BOONE,0,11,8,7,4,1,10,2,7,0,1,5,7,3,0,0,12,10,7,0,0,15,7,12,0,1,12,4,8,0,2,15,9,9,0,0,12,16,15,3,0,14,19,13,1,0,10,19,5,2,0,18,3,6,0,0,16,9,5,0,1,24,11,14,2,0,20,10,13,0,0,7,9,12,0,0,11,3,11,0,0,16,5,7,1,1,21,12,22,3,0,39,12,19,1,0,29,8,15,1,0,13,9,19,1,2,54,22,22,3,0,31,7,20,0,1,22,15,13,0,0,17,5,4,1,0,29,19,25,0,0,20,17,17,4,3,24,18,15,0,0,28,25,13,3,1,55,25,30,5,0,114.0,24.0,43.0,8.0,10,130.5,18.0,51.0,0.0,10,141.0,18.0,34.0,0.0,0,105.0,16.5,45.0,0.0,0,109.0,17.0,46.0,0.0,10,79.5,22.0,43.5,0.0,10,105.0,20.0,42.0,0.0,0,113.0,21.0,45.0,8.0,0,112.0,22.0,46.0,7.0,0,103.5,17.0,37.0,8.5,0,127.5,22.0,47.5,0.0,0,112.5,23.0,45.0,0.0,10,96.0,17.0,45.0,5.0,0,73.5,18.0,47.0,0.0,0,145.0,19.0,42.5,0.0,0,97.0,20.0,46.0,0.0,0,82.0,19.0,45.0,9.0,10,97.0,25.0,47.0,8.0,0,110.0,25.0,43.0,8.0,0,109.0,25.0,43.0,6.0,0,98.0,14.0,45.0,8.0,10,90.0,23.5,43.5,8.0,0,104.0,25.0,43.0,0.0,10,92.0,22.0,42.0,0.0,0,138.0,20.0,46.0,9.0,0,127.0,21.0,37.0,0.0,0,125.5,20.0,42.0,5.5,10,122.5,18.5,47.0,0.0,0,110.5,20.0,47.0,4.0,10,132.0,24.0,41.5,9.0
BOURBON,0,64,11,15,0,0,38,2,7,0,1,8,0,3,0,0,5,4,5,0,0,4,6,3,0,0,68,5,19,0,0,20,2,3,0,0,36,5,9,0,0,26,2,5,0,0,45,0,3,0,0,50,10,14,0,0,54,3,14,0,0,79,4,21,0,0,146,7,27,0,0,140,17,37,0,0,122,11,22,0,0,284,20,59,0,0,173,7,28,0,0,222,18,42,0,0,264,14,57,0,0,181,13,51,0,0,194,9,30,0,0,108,12,43,1,0,176,24,29,4,0,129,12,30,0,0,110,16,34,0,0,197,19,22,0,1,162,24,32,1,0,91,14,17,1,2,216,28,57,2,0,126.5,20.0,48.0,0.0,0,123.0,25.5,44.0,0.0,10,143.5,0.0,56.0,0.0,0,299.0,17.0,40.0,0.0,0,66.5,18.0,46.0,0.0,0,230.5,27.0,38.0,0.0,0,138.5,21.5,47.0,0.0,0,204.0,27.0,50.0,0.0,0,176.0,26.0,42.0,0.0,0,181.0,0.0,47.0,0.0,0,213.5,23.0,41.0,0.0,0,179.0,17.0,48.0,0.0,0,166.0,19.0,47.0,0.0,0,207.5,27.0,44.0,0.0,0,150.0,24.0,42.0,0.0,0,234.0,26.0,44.0,0.0,0,222.5,22.0,44.0,0.0,0,202.0,22.0,44.5,0.0,0,152.5,23.5,42.0,0.0,0,171.5,21.5,43.0,0.0,0,179.0,23.0,44.0,0.0,0,273.0,20.0,47.0,0.0,0,186.0,24.5,47.0,6.0,0,321.5,21.5,43.0,7.0,0,194.0,21.0,44.5,0.0,0,159.0,23.0,47.5,0.0,0,245.0,22.0,44.5,0.0,10,186.0,19.5,45.0,9.0,0,175.0,24.5,43.0,3.0,10,166.0,25.5,43.0,8.5
BOYD,1,1,4,3,6,0,2,7,1,1,0,1,6,2,3,0,5,1,1,2,1,5,7,4,2,0,1,2,0,2,0,2,1,1,0,0,0,1,3,1,1,1,8,2,0,1,3,4,3,1,0,5,3,5,0,0,7,10,3,2,0,0,3,0,0,0,0,2,2,1,0,4,6,2,5,1,1,1,3,0,0,4,10,3,3,1,2,14,4,2,0,9,8,8,0,0,5,4,6,4,2,3,6,3,1,0,1,2,1,0,2,0,11,3,7,0,0,13,7,0,0,5,10,7,1,0,1,3,0,0,0,7,22,16,1,0,3,8,3,0,0,0,6,6,1,0,1,13,2,0,10,70.0,16.0,47.0,8.0,0,89.5,16.0,53.0,2.0,0,155.0,18.0,43.5,8.0,0,111.0,15.0,33.0,6.5,10,99.0,20.0,44.0,6.5,0,71.0,20.5,0.0,7.0,0,100.5,19.0,59.0,0.0,0,0.0,22.0,46.0,4.0,10,118.0,20.0,46.5,0.0,10,98.0,16.5,54.0,5.0,0,92.0,29.0,37.0,0.0,0,75.0,15.5,39.0,7.5,0,0.0,15.0,0.0,0.0,0,0.0,15.5,49.5,4.0,0,109.0,22.0,51.0,3.0,10,61.0,30.0,47.0,0.0,0,508.5,22.5,35.0,7.0,10,78.5,21.0,33.0,5.5,0,118.0,24.5,40.0,0.0,0,108.0,21.5,50.5,8.0,10,136.0,18.5,47.0,5.0,0,65.0,19.5,37.0,0.0,10,0.0,24.0,48.0,6.0,0,0.0,22.0,36.0,0.0,0,84.0,21.0,43.0,9.0,0,66.0,17.0,0.0,0.0,0,143.0,18.5,47.0,9.0,0,97.0,15.5,40.0,0.0,0,0.0,16.5,33.0,6.0,0,238.0,20.0,40.0,0.0
