COUNTY,count_1990_H,count_1990_L,count_1990_M,count_1990_VH,count_1990_VL,count_1991_H,count_1991_L,count_1991_M,count_1991_VH,count_1991_VL,count_1992_H,count_1992_L,count_1992_M,count_1992_VH,count_1992_VL,count_1993_H,count_1993_L,count_1993_M,count_1993_VH,count_1993_VL,count_1994_H,count_1994_L,count_1994_M,count_1994_VH,count_1994_VL,count_1995_H,count_1995_L,count_1995_M,count_1995_VH,count_1995_VL,count_1996_H,count_1996_L,count_1996_M,count_1996_VH,count_1996_VL,count_1997_H,count_1997_L,count_1997_M,count_1997_VH,count_1997_VL,count_1998_H,count_1998_L,count_1998_M,count_1998_VH,count_1998_VL,count_1999_H,count_1999_L,count_1999_M,count_1999_VH,count_1999_VL,count_2000_H,count_2000_L,count_2000_M,count_2000_VH,count_2000_VL,count_2001_H,count_2001_L,count_2001_M,count_2001_VH,count_2001_VL,count_2002_H,count_2002_L,count_2002_M,count_2002_VH,count_2002_VL,count_2003_H,count_2003_L,count_2003_M,count_2003_VH,count_2003_VL,count_2004_H,count_2004_L,count_2004_M,count_2004_VH,count_2004_VL,count_2005_H,count_2005_L,count_2005_M,count_2005_VH,count_2005_VL,count_2006_H,count_2006_L,count_2006_M,count_2006_VH,count_2006_VL,count_2007_H,count_2007_L,count_2007_M,count_2007_VH,count_2007_VL,count_2008_H,count_2008_L,count_2008_M,count_2008_VH,count_2008_VL,count_2009_H,count_2009_L,count_2009_M,count_2009_VH,count_2009_VL,count_2010_H,count_2010_L,count_2010_M,count_2010_VH,count_2010_VL,count_2011_H,count_2011_L,count_2011_M,count_2011_VH,count_2011_VL,count_2012_H,count_2012_L,count_2012_M,count_2012_VH,count_2012_VL,count_2013_H,count_2013_L,count_2013_M,count_2013_VH,count_2013_VL,count_2014_H,count_2014_L,count_2014_M,count_2014_VH,count_2014_VL,count_2015_H,count_2015_L,count_2015_M,count_2015_VH,count_2015_VL,count_2016_H,count_2016_L,count_2016_M,count_2016_VH,count_2016_VL,count_2017_H,count_2017_L,count_2017_M,count_2017_VH,count_2017_VL,count_2018_H,count_2018_L,count_2018_M,count_2018_VH,count_2018_VL,count_2019_H,count_2019_L,count_2019_M,count_2019_VH,count_2019_VL,1990_H,1990_L,1990_M,1990_VH,1990_VL,1991_H,1991_L,1991_M,1991_VH,1991_VL,1992_H,1992_L,1992_M,1992_VH,1992_VL,1993_H,1993_L,1993_M,1993_VH,1993_VL,1994_H,1994_L,1994_M,1994_VH,1994_VL,1995_H,1995_L,1995_M,1995_VH,1995_VL,1996_H,1996_L,1996_M,1996_VH,1996_VL,1997_H,1997_L,1997_M,1997_VH,1997_VL,1998_H,1998_L,1998_M,1998_VH,1998_VL,1999_H,1999_L,1999_M,1999_VH,1999_VL,2000_H,2000_L,2000_M,2000_VH,2000_VL,2001_H,2001_L,2001_M,2001_VH,2001_VL,2002_H,2002_L,2002_M,2002_VH,2002_VL,2003_H,2003_L,2003_M,2003_VH,2003_VL,2004_H,2004_L,2004_M,2004_VH,2004_VL,2005_H,2005_L,2005_M,2005_VH,2005_VL,2006_H,2006_L,2006_M,2006_VH,2006_VL,2007_H,2007_L,2007_M,2007_VH,2007_VL,2008_H,2008_L,2008_M,2008_VH,2008_VL,2009_H,2009_L,2009_M,2009_VH,2009_VL,2010_H,2010_L,2010_M,2010_VH,2010_VL,2011_H,2011_L,2011_M,2011_VH,2011_VL,2012_H,2012_L,2012_M,2012_VH,2012_VL,2013_H,2013_L,2013_M,2013_VH,2013_VL,2014_H,2014_L,2014_M,2014_VH,2014_VL,2015_H,2015_L,2015_M,2015_VH,2015_VL,2016_H,2016_L,2016_M,2016_VH,2016_VL,2017_H,2017_L,2017_M,2017_VH,2017_VL,2018_H,2018_L,2018_M,2018_VH,2018_VL,2019_H,2019_L,2019_M,2019_VH,2019_VL
ADAIR,3,12,12,1,2,5,12,12,4,2,7,9,18,1,2,10,26,28,4,6,3,7,6,2,3,9,30,23,7,5,7,31,17,6,7,7,32,22,7,5,4,23,9,5,5,6,23,20,4,1,5,10,18,2,2,11,21,21,6,0,8,16,15,4,2,6,13,8,1,1,2,14,13,4,2,10,15,9,4,1,3,22,16,7,4,6,10,11,3,3,6,21,21,3,1,66,55,136,66,3,16,42,27,8,9,33,129,64,16,20,39,139,92,11,33,24,165,92,19,25,17,73,77,8,13,12,46,39,7,20,27,94,79,17,15,13,26,29,4,7,6,20,33,1,6,7,35,28,0,8,350.0,137.0,260.0,439.0,90.0,339.0,153.0,236.0,463.0,88.0,326.0,176.0,252.0,504.0,100.0,354.0,140.0,242.0,498.0,94.0,355.0,130.0,240.0,542.0,88.0,342.0,150.0,239.0,532.0,91.0,314.0,154.0,244.0,561.0,79.0,362.0,151.0,220.0,469.0,78.0,356.0,153.0,229.0,500.0,92.0,338.0,161.0,260.0,470.0,100.0,384.0,150.0,240.0,471.0,64.0,339.0,163.0,243.0,540.0,0.0,342.0,140.0,243.0,604.0,85.0,358.0,136.0,225.0,441.0,98.0,373.0,146.0,269.0,609.0,85.0,335.0,137.0,247.0,507.0,99.0,350.0,144.0,244.0,627.0,92.0,330.0,143.0,223.0,467.0,73.0,371.0,147.0,252.0,586.0,99.0,330.0,169.0,226.0,472.0,90.0,334.0,139.0,221.0,508.0,91.0,342.0,149.0,220.0,543.0,85.0,348.0,143.0,216.0,487.0,88.0,347.0,140.0,233.0,513.0,92.0,342.0,154.0,230.0,462.0,81.0,356.0,148.0,236.0,520.0,82.0,332.0,154.0,241.0,515.0,85.0,352.0,146.0,248.0,546.0,83.0,346.0,156.0,237.0,455.0,91.0,336.0,160.0,234.0,0.0,78.0
ALLEN,2,6,13,1,1,11,7,18,5,0,6,8,9,3,0,8,13,21,7,0,0,3,9,0,0,4,5,7,4,0,2,1,3,0,0,0,3,3,1,0,4,2,7,0,0,8,6,5,4,1,0,0,1,1,0,2,1,3,2,0,1,0,1,0,1,0,4,3,0,2,1,1,7,0,0,8,6,5,4,0,2,1,3,1,0,2,3,7,1,1,0,1,3,0,1,1,1,1,1,0,2,3,5,2,0,0,1,3,1,1,2,7,3,3,1,1,4,4,1,0,1,0,0,2,0,1,3,1,0,0,2,4,8,1,0,2,5,3,1,0,0,0,2,0,1,0,4,1,0,2,362.0,134.0,247.0,519.0,58.0,324.0,176.0,250.0,501.0,0.0,368.0,148.0,214.0,465.0,0.0,327.0,159.0,236.0,501.0,0.0,0.0,134.0,230.0,0.0,0.0,344.0,153.0,250.0,488.0,0.0,352.0,171.0,256.0,0.0,0.0,0.0,180.0,229.0,499.0,0.0,323.0,138.0,227.0,0.0,0.0,378.0,176.0,231.0,471.0,72.0,0.0,0.0,215.0,447.0,0.0,388.0,186.0,259.0,450.0,0.0,389.0,0.0,266.0,0.0,92.0,0.0,154.0,227.0,0.0,68.0,319.0,186.0,243.0,0.0,0.0,376.0,174.0,247.0,496.0,0.0,378.0,115.0,221.0,578.0,0.0,362.0,133.0,231.0,503.0,85.0,0.0,189.0,243.0,0.0,76.0,348.0,119.0,192.0,876.0,0.0,316.0,157.0,224.0,600.0,0.0,0.0,174.0,216.0,502.0,61.0,368.0,134.0,217.0,705.0,88.0,309.0,138.0,226.0,433.0,0.0,373.0,0.0,0.0,910.0,0.0,334.0,150.0,232.0,0.0,0.0,338.0,154.0,210.0,558.0,0.0,354.0,126.0,245.0,675.0,0.0,0.0,0.0,234.0,0.0,95.0,0.0,140.0,217.0,0.0,86.0
ANDERSON,4,5,3,2,1,9,6,11,4,0,4,1,2,2,1,2,2,2,0,0,0,1,7,2,0,3,3,1,1,0,2,2,2,2,0,0,2,3,0,0,1,0,0,0,0,2,1,4,1,0,0,0,1,0,0,0,2,2,2,0,2,1,5,3,0,1,1,1,2,0,0,0,0,0,0,1,2,0,1,0,0,2,0,0,0,0,0,0,1,0,3,4,4,6,0,1,0,4,1,0,2,0,7,1,0,5,9,16,0,0,7,17,23,5,2,0,8,11,1,0,3,3,3,0,0,2,4,3,0,0,6,4,22,0,0,2,3,4,0,0,0,1,3,2,1,0,5,3,1,0,364.0,158.0,272.0,526.0,89.0,328.0,176.0,242.0,470.0,0.0,365.0,155.0,242.0,530.0,87.0,362.0,178.0,250.0,0.0,0.0,0.0,124.0,246.0,593.0,0.0,377.0,143.0,215.0,729.0,0.0,314.0,158.0,233.0,454.0,0.0,0.0,158.0,208.0,0.0,0.0,402.0,0.0,0.0,0.0,0.0,338.0,134.0,244.0,573.0,0.0,0.0,0.0,237.0,0.0,0.0,0.0,124.0,235.0,528.0,0.0,316.0,156.0,224.0,589.0,0.0,311.0,183.0,250.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0,357.0,145.0,0.0,606.0,0.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,531.0,0.0,321.0,156.0,240.0,433.0,0.0,382.0,0.0,216.0,506.0,0.0,357.0,0.0,261.0,456.0,0.0,346.0,146.0,253.0,0.0,0.0,326.0,167.0,238.0,494.0,92.0,0.0,146.0,248.0,1050.0,0.0,331.0,149.0,260.0,0.0,0.0,354.0,141.0,251.0,0.0,0.0,346.0,160.0,246.0,0.0,0.0,376.0,171.0,244.0,0.0,0.0,0.0,174.0,216.0,502.0,96.0,0.0,181.0,209.0,543.0,0.0
BALLARD,20,10,48,3,0,11,17,35,2,0,19,8,29,9,0,22,5,32,3,0,15,7,32,2,0,30,4,47,6,0,31,8,37,5,0,8,5,24,3,0,44,21,92,1,0,21,27,74,4,0,24,32,88,1,3,27,32,78,11,0,30,31,109,4,2,25,39,95,4,1,31,63,111,9,1,30,45,103,8,1,3,41,41,1,0,8,141,100,3,4,30,73,115,3,4,13,52,68,3,2,40,65,132,3,3,7,30,40,0,1,19,93,154,2,2,3,26,25,2,0,2,25,36,1,2,2,32,37,0,0,1,46,16,0,8,4,7,5,0,1,3,5,15,1,0,1,14,24,0,0,312.0,166.0,258.0,501.0,0.0,334.0,175.0,246.0,501.0,0.0,343.0,150.0,239.0,493.0,0.0,341.0,178.0,254.0,501.0,0.0,333.0,176.0,236.0,446.0,0.0,363.0,164.0,260.0,466.0,0.0,359.0,163.0,257.0,458.0,0.0,326.0,171.0,250.0,501.0,0.0,340.0,160.0,249.0,442.0,0.0,322.0,172.0,237.0,594.0,0.0,316.0,154.0,236.0,453.0,83.0,363.0,171.0,244.0,502.0,0.0,334.0,161.0,246.0,494.0,88.0,331.0,167.0,238.0,508.0,53.0,323.0,173.0,237.0,514.0,97.0,325.0,168.0,236.0,439.0,87.0,315.0,159.0,220.0,456.0,0.0,328.0,161.0,218.0,433.0,84.0,332.0,157.0,232.0,460.0,92.0,323.0,160.0,228.0,464.0,90.0,332.0,166.0,240.0,451.0,95.0,331.0,166.0,224.0,0.0,96.0,332.0,166.0,226.0,452.0,87.0,328.0,165.0,224.0,444.0,0.0,351.0,161.0,220.0,445.0,96.0,320.0,165.0,220.0,0.0,0.0,301.0,138.0,220.0,0.0,78.0,370.0,172.0,215.0,0.0,99.0,309.0,168.0,222.0,509.0,0.0,387.0,164.0,211.0,0.0,0.0
BARREN,32,16,26,26,1,35,23,62,19,1,39,22,71,39,0,32,19,60,25,0,29,17,38,21,0,21,37,59,26,0,13,7,20,10,0,10,9,12,11,0,18,2,12,5,0,3,1,5,1,0,17,10,12,4,0,4,1,5,9,1,5,6,10,4,1,14,13,20,7,7,7,10,18,2,0,17,13,18,12,0,4,8,10,6,1,7,4,5,17,2,15,10,17,7,0,4,3,10,19,0,10,10,10,7,1,17,19,29,9,6,15,25,23,20,3,2,7,11,3,3,14,13,14,32,1,4,6,2,0,0,8,10,11,0,1,4,5,5,1,0,7,4,9,3,0,5,2,3,1,1,353.0,171.0,235.0,501.0,66.0,346.0,166.0,240.0,501.0,79.0,346.0,171.0,239.0,501.0,0.0,356.0,178.0,243.0,472.0,0.0,355.0,173.0,255.0,501.0,0.0,349.0,171.0,229.0,501.0,0.0,336.0,163.0,242.0,501.0,0.0,361.0,144.0,251.0,501.0,0.0,341.0,150.0,234.0,501.0,0.0,358.0,159.0,245.0,524.0,0.0,338.0,160.0,248.0,458.0,0.0,375.0,181.0,245.0,747.0,92.0,312.0,143.0,256.0,451.0,79.0,350.0,136.0,213.0,451.0,78.0,337.0,158.0,232.0,481.0,0.0,365.0,153.0,246.0,500.0,0.0,358.0,131.0,246.0,546.0,94.0,332.0,144.0,209.0,648.0,80.0,367.0,146.0,242.0,469.0,0.0,392.0,124.0,232.0,675.0,0.0,354.0,150.0,253.0,564.0,59.0,374.0,135.0,232.0,544.0,96.0,386.0,144.0,259.0,562.0,95.0,354.0,130.0,261.0,487.0,97.0,350.0,149.0,238.0,558.0,82.0,318.0,160.0,224.0,0.0,0.0,331.0,162.0,217.0,0.0,79.0,310.0,178.0,226.0,1362.0,0.0,339.0,184.0,243.0,451.0,0.0,358.0,162.0,219.0,422.0,90.0
BATH,4,19,27,1,5,4,13,14,1,1,13,25,31,3,3,4,17,23,2,1,11,11,15,6,1,5,15,32,1,4,5,13,20,2,1,0,10,14,0,1,4,10,14,2,0,6,8,10,0,1,7,1,7,0,0,2,2,2,0,2,5,9,15,1,1,4,6,10,0,1,1,6,15,2,1,1,11,11,0,0,5,6,15,2,0,4,2,16,1,1,8,9,19,1,0,3,14,22,0,2,1,14,14,0,0,4,18,5,0,3,3,14,19,0,1,1,11,16,2,3,2,10,15,1,4,8,21,21,4,0,1,11,9,0,2,4,5,6,5,0,3,6,5,0,0,2,1,3,0,1,321.0,161.0,226.0,440.0,85.0,366.0,142.0,219.0,564.0,61.0,350.0,164.0,231.0,530.0,89.0,334.0,169.0,225.0,448.0,92.0,354.0,162.0,241.0,564.0,61.0,362.0,166.0,221.0,567.0,95.0,329.0,171.0,225.0,598.0,56.0,0.0,152.0,246.0,0.0,50.0,372.0,144.0,240.0,494.0,0.0,322.0,171.0,220.0,0.0,67.0,345.0,141.0,228.0,0.0,0.0,340.0,146.0,247.0,0.0,84.0,327.0,129.0,229.0,950.0,83.0,312.0,130.0,240.0,0.0,100.0,303.0,130.0,245.0,506.0,65.0,369.0,131.0,209.0,0.0,0.0,380.0,166.0,223.0,456.0,0.0,374.0,173.0,262.0,486.0,85.0,334.0,138.0,247.0,824.0,0.0,356.0,156.0,226.0,0.0,88.0,419.0,160.0,220.0,0.0,0.0,307.0,148.0,259.0,0.0,93.0,308.0,160.0,232.0,0.0,81.0,371.0,156.0,212.0,554.0,81.0,330.0,158.0,223.0,3812.0,96.0,338.0,142.0,237.0,524.0,0.0,336.0,136.0,232.0,0.0,82.0,392.0,114.0,257.0,494.0,0.0,327.0,150.0,223.0,0.0,0.0,357.0,175.0,239.0,0.0,76.0
BELL,1,4,1,0,1,0,2,2,0,0,0,2,3,0,0,1,2,3,0,0,0,2,3,0,0,0,0,1,0,0,1,1,2,0,0,0,0,3,0,1,1,1,4,0,1,1,2,1,0,0,1,0,0,1,0,1,2,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,2,0,0,0,1,0,0,0,2,1,0,0,0,0,0,1,1,0,2,0,3,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,8,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,330.0,150.0,274.0,0.0,71.0,0.0,138.0,214.0,0.0,0.0,0.0,154.0,248.0,0.0,0.0,397.0,152.0,252.0,0.0,0.0,0.0,130.0,272.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,368.0,148.0,262.0,0.0,0.0,0.0,0.0,203.0,0.0,99.0,396.0,131.0,248.0,0.0,74.0,318.0,139.0,235.0,0.0,0.0,370.0,0.0,0.0,605.0,0.0,319.0,160.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,377.0,0.0,251.0,0.0,0.0,317.0,0.0,262.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,352.0,156.0,0.0,0.0,0.0,0.0,0.0,201.0,423.0,0.0,349.0,0.0,290.0,0.0,0.0,398.0,0.0,256.0,0.0,0.0,301.0,168.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,274.0,0.0,0.0,315.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,0.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,0.0,0.0,0.0,0.0
BOONE,17,10,33,8,1,16,9,14,3,0,4,10,41,3,0,4,8,16,3,0,23,13,41,7,0,26,18,33,12,0,21,6,43,4,2,24,8,32,10,2,35,17,59,5,0,14,9,17,6,0,1,3,9,1,0,10,14,21,5,1,9,5,23,6,0,12,4,14,12,0,19,5,30,6,0,20,8,24,12,0,19,9,18,10,0,11,12,29,9,0,23,7,42,7,0,9,15,35,8,0,24,23,15,14,2,5,23,37,2,0,20,29,63,3,1,17,20,36,6,2,1,11,13,3,1,5,17,23,5,2,8,7,16,2,1,6,7,9,4,0,4,13,10,7,0,3,10,14,4,0,346.0,173.0,244.0,506.0,98.0,350.0,151.0,266.0,475.0,0.0,336.0,160.0,241.0,545.0,0.0,322.0,168.0,244.0,585.0,0.0,330.0,164.0,250.0,521.0,0.0,342.0,168.0,257.0,506.0,0.0,350.0,172.0,243.0,460.0,94.0,344.0,181.0,254.0,474.0,88.0,340.0,167.0,247.0,517.0,0.0,339.0,151.0,240.0,546.0,0.0,398.0,165.0,263.0,425.0,0.0,343.0,158.0,243.0,477.0,99.0,343.0,167.0,240.0,428.0,0.0,350.0,154.0,234.0,554.0,0.0,354.0,179.0,264.0,481.0,0.0,346.0,142.0,253.0,490.0,0.0,360.0,168.0,260.0,562.0,0.0,334.0,162.0,256.0,478.0,0.0,340.0,180.0,262.0,447.0,0.0,318.0,174.0,238.0,514.0,0.0,359.0,141.0,244.0,482.0,85.0,351.0,147.0,239.0,462.0,0.0,354.0,146.0,236.0,931.0,86.0,345.0,151.0,244.0,552.0,80.0,409.0,173.0,244.0,492.0,97.0,357.0,160.0,230.0,534.0,89.0,361.0,175.0,226.0,529.0,77.0,347.0,178.0,260.0,796.0,0.0,324.0,161.0,260.0,502.0,0.0,347.0,167.0,237.0,589.0,0.0
BOURBON,35,27,91,24,0,42,32,84,28,0,27,18,48,8,0,39,19,48,33,0,35,12,70,30,0,49,23,78,29,1,32,24,56,14,0,32,18,51,19,0,40,15,41,28,0,21,19,54,12,1,13,6,14,5,0,11,6,26,2,0,5,2,13,6,0,15,4,17,8,0,3,7,10,3,0,6,6,15,6,0,9,3,18,12,0,9,10,23,8,0,17,2,22,11,0,8,5,18,4,1,13,13,23,9,0,31,51,62,22,3,53,38,114,49,0,15,35,37,11,1,10,8,22,4,0,5,14,19,4,0,3,8,15,4,0,7,11,27,6,1,5,2,9,3,0,5,13,12,6,0,345.0,169.0,243.0,480.0,0.0,345.0,166.0,240.0,494.0,0.0,332.0,159.0,236.0,525.0,0.0,362.0,169.0,236.0,520.0,0.0,341.0,174.0,248.0,498.0,0.0,340.0,172.0,238.0,489.0,86.0,352.0,156.0,246.0,484.0,0.0,356.0,161.0,234.0,470.0,0.0,344.0,164.0,246.0,544.0,0.0,345.0,168.0,234.0,533.0,83.0,350.0,158.0,248.0,548.0,0.0,375.0,158.0,230.0,516.0,0.0,335.0,152.0,231.0,516.0,0.0,353.0,176.0,230.0,468.0,0.0,346.0,166.0,228.0,516.0,0.0,360.0,175.0,253.0,499.0,0.0,343.0,179.0,247.0,545.0,0.0,355.0,156.0,231.0,486.0,0.0,362.0,142.0,244.0,511.0,0.0,340.0,162.0,257.0,512.0,94.0,334.0,164.0,258.0,602.0,0.0,340.0,164.0,241.0,556.0,93.0,361.0,170.0,224.0,529.0,0.0,346.0,174.0,237.0,489.0,90.0,344.0,149.0,258.0,588.0,0.0,350.0,160.0,224.0,506.0,0.0,406.0,180.0,238.0,492.0,0.0,340.0,151.0,232.0,476.0,96.0,369.0,172.0,231.0,459.0,0.0,329.0,175.0,214.0,671.0,0.0
BOYD,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,3,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,1,0,3,1,1,3,0,0,0,0,1,1,3,5,2,0,0,2,2,0,0,0,2,5,0,0,0,2,3,0,0,0,2,1,3,0,0,3,2,0,0,0,5,1,1,0,2,4,3,0,0,0,8,1,0,0,0,1,1,0,1,0,1,0,0,0,1,6,1,1,1,0,0,0,0,0,0,1,2,0,0,0,3,2,0,1,1,4,2,0,0,0,2,0,0,0,305.0,0.0,265.0,503.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0,169.0,0.0,0.0,96.0,0.0,174.0,202.0,627.0,0.0,404.0,139.0,226.0,0.0,0.0,0.0,107.0,0.0,0.0,95.0,0.0,0.0,211.0,0.0,0.0,0.0,0.0,0.0,624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,226.0,0.0,0.0,0.0,0.0,248.0,0.0,99.0,0.0,172.0,221.0,653.0,52.0,0.0,0.0,0.0,0.0,97.0,416.0,150.0,252.0,502.0,0.0,0.0,170.0,212.0,0.0,0.0,0.0,136.0,237.0,0.0,0.0,0.0,146.0,223.0,0.0,0.0,0.0,155.0,215.0,607.0,0.0,0.0,159.0,239.0,0.0,0.0,0.0,151.0,220.0,480.0,0.0,325.0,152.0,226.0,0.0,0.0,0.0,152.0,193.0,0.0,0.0,0.0,132.0,244.0,0.0,77.0,0.0,151.0,0.0,0.0,0.0,398.0,176.0,192.0,518.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,241.0,0.0,0.0,0.0,143.0,251.0,0.0,99.0,405.0,144.0,226.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0
