COUNTY,count_1990_H,count_1990_L,count_1990_M,count_1990_VL,count_1991_H,count_1991_L,count_1991_M,count_1991_VL,count_1992_H,count_1992_L,count_1992_M,count_1992_VL,count_1993_H,count_1993_L,count_1993_M,count_1993_VL,count_1994_H,count_1994_L,count_1994_M,count_1994_VL,count_1995_H,count_1995_L,count_1995_M,count_1995_VL,count_1996_H,count_1996_L,count_1996_M,count_1996_VL,count_1997_H,count_1997_L,count_1997_M,count_1997_VL,count_1998_H,count_1998_L,count_1998_M,count_1998_VL,count_1999_H,count_1999_L,count_1999_M,count_1999_VL,count_2000_H,count_2000_L,count_2000_M,count_2000_VL,count_2001_H,count_2001_L,count_2001_M,count_2001_VL,count_2002_H,count_2002_L,count_2002_M,count_2002_VL,count_2003_H,count_2003_L,count_2003_M,count_2003_VL,count_2004_H,count_2004_L,count_2004_M,count_2004_VL,count_2005_H,count_2005_L,count_2005_M,count_2005_VL,count_2006_H,count_2006_L,count_2006_M,count_2006_VL,count_2007_H,count_2007_L,count_2007_M,count_2007_VL,count_2008_H,count_2008_L,count_2008_M,count_2008_VL,count_2009_H,count_2009_L,count_2009_M,count_2009_VL,count_2010_H,count_2010_L,count_2010_M,count_2010_VL,count_2011_H,count_2011_L,count_2011_M,count_2011_VL,count_2012_H,count_2012_L,count_2012_M,count_2012_VL,count_2013_H,count_2013_L,count_2013_M,count_2013_VL,count_2014_H,count_2014_L,count_2014_M,count_2014_VL,count_2015_H,count_2015_L,count_2015_M,count_2015_VL,count_2016_H,count_2016_L,count_2016_M,count_2016_VL,count_2017_H,count_2017_L,count_2017_M,count_2017_VL,count_2018_H,count_2018_L,count_2018_M,count_2018_VL,count_2019_H,count_2019_L,count_2019_M,count_2019_VL,1990_H,1990_L,1990_M,1990_VL,1991_H,1991_L,1991_M,1991_VL,1992_H,1992_L,1992_M,1992_VL,1993_H,1993_L,1993_M,1993_VL,1994_H,1994_L,1994_M,1994_VL,1995_H,1995_L,1995_M,1995_VL,1996_H,1996_L,1996_M,1996_VL,1997_H,1997_L,1997_M,1997_VL,1998_H,1998_L,1998_M,1998_VL,1999_H,1999_L,1999_M,1999_VL,2000_H,2000_L,2000_M,2000_VL,2001_H,2001_L,2001_M,2001_VL,2002_H,2002_L,2002_M,2002_VL,2003_H,2003_L,2003_M,2003_VL,2004_H,2004_L,2004_M,2004_VL,2005_H,2005_L,2005_M,2005_VL,2006_H,2006_L,2006_M,2006_VL,2007_H,2007_L,2007_M,2007_VL,2008_H,2008_L,2008_M,2008_VL,2009_H,2009_L,2009_M,2009_VL,2010_H,2010_L,2010_M,2010_VL,2011_H,2011_L,2011_M,2011_VL,2012_H,2012_L,2012_M,2012_VL,2013_H,2013_L,2013_M,2013_VL,2014_H,2014_L,2014_M,2014_VL,2015_H,2015_L,2015_M,2015_VL,2016_H,2016_L,2016_M,2016_VL,2017_H,2017_L,2017_M,2017_VL,2018_H,2018_L,2018_M,2018_VL,2019_H,2019_L,2019_M,2019_VL
ADAIR,15,4,11,0,24,7,4,0,18,4,15,0,39,14,21,0,19,0,2,0,45,6,23,0,47,4,17,0,48,7,18,0,31,2,13,0,41,5,8,0,24,1,12,0,45,0,14,0,32,2,11,0,19,1,9,0,27,1,7,0,30,3,6,0,33,4,15,0,25,3,5,0,35,8,9,0,158,47,121,0,66,21,15,0,133,32,97,0,195,41,77,1,181,61,81,2,113,25,49,1,52,36,36,0,146,12,74,0,49,10,20,0,31,7,28,0,51,11,15,1,91.0,18.0,37.0,0.0,150.0,23.0,48.0,0.0,116.0,24.0,41.0,0.0,140.0,19.0,41.0,0,143.0,0.0,33.0,0.0,148.0,25.0,45.0,0.0,147.0,18.0,47.0,0.0,148.0,24.0,46.0,0.0,152.0,25.0,46.0,0.0,169.0,25.0,43.0,0.0,123.0,24.0,50.0,0.0,127.0,0.0,46.0,0.0,154.0,22.0,43.0,0.0,126.0,9.0,43.0,0,194.0,18.0,37.0,0.0,166.0,23.0,42.0,0.0,121.0,16.0,44.0,0.0,111.0,13.0,53.0,0.0,153.0,21.0,51.0,0.0,190.0,20.0,38.0,0,161.0,20.0,47.0,0,127.0,23.0,42.0,0.0,117.0,20.0,43.0,4,118.0,22.0,44.0,4.0,120.0,19.0,49.0,5.0,124.0,18.0,40.0,0.0,115.0,20.0,42.0,0.0,142.0,21.0,44.0,0,140.0,20.0,42.0,0,104.0,24.0,43.0,2
ALLEN,7,10,6,0,19,4,18,0,9,5,12,0,27,6,16,0,4,3,5,0,14,3,3,0,3,0,3,0,3,0,4,0,6,4,3,0,14,1,9,0,2,0,0,0,6,0,2,0,1,0,2,0,3,5,1,0,4,4,1,0,18,1,4,0,6,0,1,0,11,0,3,0,4,0,1,0,2,1,1,0,6,0,6,0,1,1,4,0,6,4,6,0,6,1,3,0,3,0,0,0,3,0,2,0,12,0,3,0,7,0,4,0,1,0,2,0,1,4,2,0,100.0,17.0,44.0,0.0,99.0,21.0,46.0,0.0,150.0,18.0,50.0,0.0,85.0,20.0,40.0,0,88.0,20.0,37.0,0.0,141.0,24.0,38.0,0.0,78.0,0.0,52.0,0.0,84.0,0.0,36.0,0.0,92.0,22.0,40.0,0.0,129.0,15.0,50.0,0.0,82.0,0.0,0.0,0.0,91.0,0.0,48.0,0.0,96.0,0.0,48.0,0.0,82.0,14.0,42.0,0,82.0,25.0,51.0,0.0,108.0,20.0,46.0,0.0,148.0,0.0,60.0,0.0,121.0,0.0,48.0,0.0,122.0,0.0,43.0,0.0,415.0,19.0,28.0,0,86.0,0.0,38.0,0,104.0,18.0,50.0,0.0,184.0,23.0,46.0,0,80.0,7.0,36.0,0.0,310.0,0.0,0.0,0.0,81.0,0.0,45.0,0.0,99.0,0.0,34.0,0.0,127.0,0.0,36.0,0,116.0,0.0,34.0,0,312.0,16.0,38.0,0
ANDERSON,10,3,1,1,18,3,9,0,9,1,0,0,4,1,1,0,6,2,2,0,5,1,2,0,5,0,3,0,3,2,0,0,1,0,0,0,6,0,2,0,1,0,0,0,6,0,0,0,11,0,0,0,5,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,1,0,0,0,15,2,0,0,2,1,3,0,9,0,1,0,23,2,5,0,39,10,5,0,15,2,3,0,7,0,2,0,6,0,3,0,29,1,2,0,9,0,0,0,3,2,2,0,8,0,1,0,266.0,9.0,55.0,5.0,334.0,22.0,46.0,0.0,292.0,20.0,0.0,0.0,202.0,15.0,57.0,0,107.0,18.0,50.0,0.0,232.0,7.0,46.0,0.0,263.0,0.0,33.0,0.0,153.0,21.0,0.0,0.0,233.0,0.0,0.0,0.0,440.0,0.0,37.0,0.0,191.0,0.0,0.0,0.0,338.0,0.0,0.0,0.0,215.0,0.0,0.0,0.0,201.0,0.0,0.0,0,0.0,0.0,0.0,0.0,260.0,0.0,49.0,0.0,198.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,236.0,19.0,0.0,0.0,184.0,15.0,34.0,0,283.0,0.0,59.0,0,211.0,14.0,41.0,0.0,279.0,19.0,36.0,0,303.0,23.0,43.0,0.0,377.0,0.0,45.0,0.0,416.0,0.0,50.0,0.0,228.0,23.0,44.0,0.0,393.0,0.0,0.0,0,147.0,8.0,30.0,0,248.0,0.0,51.0,0
BALLARD,69,0,12,0,33,4,28,0,51,2,12,0,31,2,29,0,26,4,26,0,56,2,29,0,52,3,26,0,20,6,14,0,71,11,76,0,56,19,51,0,55,15,78,0,84,4,60,0,70,18,88,0,68,4,92,0,74,21,120,0,80,13,94,0,14,15,57,0,76,26,154,0,82,17,126,0,32,25,81,0,106,12,125,0,32,3,43,0,97,10,163,0,22,10,24,0,26,2,38,0,29,8,34,0,24,3,44,0,6,1,10,0,7,0,17,0,12,4,23,0,91.0,0.0,50.0,0.0,97.0,18.0,42.0,0.0,92.0,20.0,48.0,0.0,87.0,20.0,50.0,0,78.0,20.0,50.0,0.0,87.0,24.0,49.0,0.0,91.0,21.0,48.0,0.0,94.0,22.0,53.0,0.0,87.0,24.0,44.0,0.0,88.0,21.0,42.0,0.0,77.0,21.0,40.0,0.0,88.0,26.0,46.0,0.0,78.0,23.0,40.0,0.0,86.0,24.0,43.0,0,98.0,25.0,40.0,0.0,80.0,24.0,43.0,0.0,94.0,23.0,40.0,0.0,76.0,24.0,44.0,0.0,80.0,25.0,43.0,0.0,81.0,23.0,39.0,0,90.0,25.0,42.0,0,85.0,26.0,45.0,0.0,78.0,24.0,46.0,0,90.0,25.0,44.0,0.0,97.0,23.0,41.0,0.0,92.0,22.0,46.0,0.0,87.0,22.0,40.0,0.0,103.0,22.0,42.0,0,74.0,0.0,37.0,0,74.0,24.0,46.0,0
BARREN,66,9,26,0,86,9,45,0,114,12,45,0,80,23,33,0,63,13,29,0,76,15,51,1,33,5,11,1,32,2,8,0,24,9,4,0,7,0,3,0,27,4,12,0,15,1,4,0,15,4,6,1,38,8,15,0,16,4,17,0,31,7,22,0,17,3,9,0,27,1,7,0,31,3,15,0,27,1,8,0,31,0,7,0,40,10,30,0,44,11,31,0,13,4,8,1,47,8,19,0,6,1,5,0,24,0,6,0,10,1,4,0,10,4,9,0,2,1,8,1,110.0,17.0,45.0,0.0,105.0,14.0,42.0,0.0,120.0,18.0,41.0,0.0,111.0,19.0,43.0,0,99.0,16.0,50.0,0.0,98.0,26.0,41.0,5.0,116.0,20.0,54.0,4.0,102.0,18.0,46.0,0.0,119.0,15.0,38.0,0.0,89.0,0.0,42.0,0.0,87.0,20.0,38.0,0.0,170.0,20.0,54.0,0.0,106.0,14.0,46.0,4.0,106.0,12.0,43.0,0,112.0,18.0,43.0,0.0,120.0,18.0,40.0,0.0,189.0,25.0,44.0,0.0,166.0,20.0,40.0,0.0,191.0,25.0,45.0,0.0,125.0,21.0,48.0,0,118.0,0.0,45.0,0,111.0,16.0,45.0,0.0,130.0,19.0,47.0,0,93.0,24.0,46.0,4.0,126.0,20.0,49.0,0.0,86.0,26.0,50.0,0.0,85.0,0.0,51.0,0.0,166.0,13.0,58.0,0,108.0,24.0,45.0,0,133.0,20.0,45.0,2
BATH,14,17,25,0,14,4,14,1,36,17,22,0,14,14,19,0,27,7,10,0,30,7,19,1,17,7,17,0,10,3,12,0,16,6,8,0,10,3,12,0,9,2,4,0,4,4,0,0,13,7,11,0,13,2,6,0,15,2,8,0,8,3,12,0,11,4,13,0,10,2,12,0,24,1,12,0,20,10,11,0,12,2,15,0,3,11,16,0,17,3,17,0,15,5,13,0,16,4,12,0,28,7,19,0,4,6,12,1,8,4,8,0,4,2,8,0,5,0,2,0,78.0,20.0,42.0,0.0,94.0,20.0,44.0,2.0,105.0,17.0,44.0,0.0,126.0,22.0,35.0,0,105.0,19.0,39.0,0.0,96.0,14.0,43.0,2.0,105.0,23.0,42.0,0.0,99.0,15.0,49.0,0.0,108.0,20.0,39.0,0.0,88.0,17.0,46.0,0.0,110.0,22.0,43.0,0.0,116.0,20.0,0.0,0.0,97.0,19.0,40.0,0.0,85.0,16.0,38.0,0,97.0,25.0,41.0,0.0,112.0,20.0,41.0,0.0,97.0,22.0,37.0,0.0,91.0,24.0,42.0,0.0,87.0,20.0,48.0,0.0,114.0,22.0,45.0,0,82.0,22.0,44.0,0,104.0,17.0,40.0,0.0,94.0,19.0,46.0,0,95.0,17.0,41.0,0.0,96.0,18.0,48.0,0.0,99.0,19.0,42.0,0.0,94.0,18.0,41.0,5.0,96.0,17.0,46.0,0,72.0,16.0,46.0,0,119.0,0.0,50.0,0
BELL,1,2,4,0,3,0,1,0,3,0,2,0,2,1,3,0,1,2,2,0,1,0,0,0,3,0,1,0,4,0,0,0,3,0,4,0,3,0,1,0,2,0,0,0,1,0,2,0,0,0,1,0,2,0,0,0,3,0,0,0,0,1,0,0,2,0,1,0,1,0,1,0,4,0,1,0,1,0,1,0,1,0,2,0,0,0,0,0,2,1,6,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,67.0,14.0,46.0,0.0,68.0,0.0,30.0,0.0,103.0,0.0,51.0,0.0,164.0,8.0,51.0,0,69.0,20.0,47.0,0.0,88.0,0.0,0.0,0.0,101.0,0.0,58.0,0.0,66.0,0.0,0.0,0.0,103.0,0.0,52.0,0.0,99.0,0.0,51.0,0.0,190.0,0.0,0.0,0.0,76.0,0.0,51.0,0.0,0.0,0.0,50.0,0.0,112.0,0.0,0.0,0,69.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,92.0,0.0,29.0,0.0,174.0,0.0,53.0,0.0,90.0,0.0,43.0,0.0,90.0,0.0,39.0,0,64.0,0.0,43.0,0,0.0,0.0,0.0,0.0,85.0,23.0,41.0,0,72.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,61.0,0.0,0.0,0
BOONE,39,8,22,0,28,3,11,0,37,5,16,0,23,0,8,0,49,11,24,0,67,6,16,0,48,6,22,0,55,4,17,0,81,6,28,1,27,3,16,0,10,0,4,0,38,7,6,0,27,5,11,0,32,2,8,0,29,10,21,0,43,6,15,0,34,5,17,0,31,8,22,0,44,9,26,0,34,13,20,0,45,12,21,0,31,9,27,0,70,8,38,0,43,12,26,0,14,4,11,0,34,3,15,0,24,4,6,0,20,1,5,0,22,5,7,0,18,7,6,0,135.0,20.0,46.0,0.0,141.0,10.0,45.0,0.0,109.0,23.0,36.0,0.0,124.0,0.0,40.0,0,103.0,14.0,49.0,0.0,124.0,16.0,49.0,0.0,126.0,22.0,42.0,0.0,126.0,22.0,47.0,0.0,104.0,22.0,40.0,2.0,105.0,21.0,48.0,0.0,104.0,0.0,38.0,0.0,113.0,21.0,50.0,0.0,121.0,15.0,44.0,0.0,162.0,18.0,48.0,0,130.0,22.0,47.0,0.0,118.0,22.0,48.0,0.0,118.0,19.0,46.0,0.0,135.0,20.0,45.0,0.0,108.0,23.0,40.0,0.0,122.0,22.0,44.0,0,146.0,20.0,41.0,0,118.0,18.0,40.0,0.0,123.0,22.0,45.0,0,134.0,20.0,40.0,0.0,96.0,25.0,42.0,0.0,156.0,21.0,42.0,0.0,136.0,23.0,47.0,0.0,115.0,13.0,45.0,0,144.0,17.0,39.0,0,122.0,19.0,40.0,0
BOURBON,121,16,40,0,147,11,28,0,71,14,16,0,105,9,25,0,131,4,12,0,145,9,26,0,104,10,12,0,101,8,11,0,95,6,23,0,71,5,31,0,32,1,5,0,34,3,8,0,18,2,6,0,34,1,9,0,15,3,5,0,23,0,10,0,34,3,5,0,28,13,9,0,42,1,9,0,28,1,7,0,45,5,8,0,115,9,45,0,185,15,54,0,66,8,25,0,31,2,11,0,29,2,11,0,21,1,8,0,39,2,11,0,16,1,2,0,27,1,8,0,199.0,22.0,42.0,0.0,189.0,23.0,47.0,0.0,230.0,18.0,40.0,0.0,192.0,23.0,44.0,0,237.0,17.0,42.0,0.0,188.0,21.0,42.0,0.0,201.0,22.0,44.0,0.0,132.0,19.0,48.0,0.0,168.0,24.0,43.0,0.0,201.0,20.0,46.0,0.0,226.0,25.0,39.0,0.0,134.0,20.0,43.0,0.0,173.0,24.0,46.0,0.0,192.0,22.0,35.0,0,200.0,23.0,41.0,0.0,132.0,0.0,47.0,0.0,230.0,24.0,51.0,0.0,156.0,20.0,54.0,0.0,156.0,22.0,48.0,0.0,122.0,23.0,41.0,0,167.0,21.0,46.0,0,139.0,19.0,43.0,0.0,199.0,21.0,46.0,0,157.0,24.0,41.0,0.0,146.0,16.0,46.0,0.0,129.0,16.0,47.0,0.0,145.0,24.0,46.0,0.0,216.0,14.0,42.0,0,227.0,21.0,50.0,0,182.0,20.0,46.0,0
BOYD,2,0,1,0,0,0,1,0,0,2,0,0,3,0,0,0,1,4,1,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,1,1,0,1,1,0,0,2,3,3,0,0,1,0,0,5,5,1,0,0,4,0,0,1,3,3,0,1,3,1,0,3,2,1,0,0,1,4,0,3,1,3,0,2,3,4,0,1,5,3,0,0,2,1,0,0,0,1,0,4,2,4,0,0,0,0,0,1,0,2,0,3,3,0,0,2,3,2,0,0,2,0,0,148.0,0.0,59.0,0.0,0.0,0.0,41.0,0.0,0.0,18.0,0.0,0.0,123.0,0.0,0.0,0,291.0,17.0,33.0,0.0,0.0,18.0,0.0,0.0,0.0,23.0,0.0,0.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,17.0,49.0,0.0,186.0,17.0,0.0,0.0,320.0,8.0,42.0,0.0,0.0,8.0,0.0,0.0,105.0,18.0,37.0,0,0.0,18.0,0.0,0.0,83.0,18.0,37.0,0.0,79.0,12.0,47.0,0.0,114.0,16.0,29.0,0.0,0.0,23.0,40.0,0.0,62.0,21.0,39.0,0,78.0,20.0,48.0,0,64.0,23.0,35.0,0.0,0.0,14.0,28.0,0,0.0,0.0,30.0,0.0,86.0,12.0,34.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,38.0,0.0,79.0,13.0,0.0,0,74.0,19.0,48.0,0,0.0,22.0,0.0,0
