COUNTY,count_1990_H,count_1990_L,count_1990_M,count_1990_VL,count_1991_H,count_1991_L,count_1991_M,count_1991_VL,count_1992_H,count_1992_L,count_1992_M,count_1992_VL,count_1993_H,count_1993_L,count_1993_M,count_1993_VL,count_1994_H,count_1994_L,count_1994_M,count_1994_VL,count_1995_H,count_1995_L,count_1995_M,count_1995_VL,count_1996_H,count_1996_L,count_1996_M,count_1996_VL,count_1997_H,count_1997_L,count_1997_M,count_1997_VL,count_1998_H,count_1998_L,count_1998_M,count_1998_VL,count_1999_H,count_1999_L,count_1999_M,count_1999_VL,count_2000_H,count_2000_L,count_2000_M,count_2000_VL,count_2001_H,count_2001_L,count_2001_M,count_2001_VL,count_2002_H,count_2002_L,count_2002_M,count_2002_VL,count_2003_H,count_2003_L,count_2003_M,count_2003_VL,count_2004_H,count_2004_L,count_2004_M,count_2004_VL,count_2005_H,count_2005_L,count_2005_M,count_2005_VL,count_2006_H,count_2006_L,count_2006_M,count_2006_VL,count_2007_H,count_2007_L,count_2007_M,count_2007_VL,count_2008_H,count_2008_L,count_2008_M,count_2008_VL,count_2009_H,count_2009_L,count_2009_M,count_2009_VL,count_2010_H,count_2010_L,count_2010_M,count_2010_VL,count_2011_H,count_2011_L,count_2011_M,count_2011_VL,count_2012_H,count_2012_L,count_2012_M,count_2012_VL,count_2013_H,count_2013_L,count_2013_M,count_2013_VL,count_2014_H,count_2014_L,count_2014_M,count_2014_VL,count_2015_H,count_2015_L,count_2015_M,count_2015_VL,count_2016_H,count_2016_L,count_2016_M,count_2016_VL,count_2017_H,count_2017_L,count_2017_M,count_2017_VL,count_2018_H,count_2018_L,count_2018_M,count_2018_VL,count_2019_H,count_2019_L,count_2019_M,count_2019_VL,1990_H,1990_L,1990_M,1990_VL,1991_H,1991_L,1991_M,1991_VL,1992_H,1992_L,1992_M,1992_VL,1993_H,1993_L,1993_M,1993_VL,1994_H,1994_L,1994_M,1994_VL,1995_H,1995_L,1995_M,1995_VL,1996_H,1996_L,1996_M,1996_VL,1997_H,1997_L,1997_M,1997_VL,1998_H,1998_L,1998_M,1998_VL,1999_H,1999_L,1999_M,1999_VL,2000_H,2000_L,2000_M,2000_VL,2001_H,2001_L,2001_M,2001_VL,2002_H,2002_L,2002_M,2002_VL,2003_H,2003_L,2003_M,2003_VL,2004_H,2004_L,2004_M,2004_VL,2005_H,2005_L,2005_M,2005_VL,2006_H,2006_L,2006_M,2006_VL,2007_H,2007_L,2007_M,2007_VL,2008_H,2008_L,2008_M,2008_VL,2009_H,2009_L,2009_M,2009_VL,2010_H,2010_L,2010_M,2010_VL,2011_H,2011_L,2011_M,2011_VL,2012_H,2012_L,2012_M,2012_VL,2013_H,2013_L,2013_M,2013_VL,2014_H,2014_L,2014_M,2014_VL,2015_H,2015_L,2015_M,2015_VL,2016_H,2016_L,2016_M,2016_VL,2017_H,2017_L,2017_M,2017_VL,2018_H,2018_L,2018_M,2018_VL,2019_H,2019_L,2019_M,2019_VL
ADAIR,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,1,0,2,1,1,1,0,0,0,0,0,3,3,0,0,0,0,0,0,1,5,0,0,0,4,0,2,2,4,0,0,3,2,1,1,10,10,3,7,8,5,0,2,10,7,3,2,4,14,0,5,20,7,2,10,25,8,4,4,30,28,11,13,26,22,3,9,16,23,4,9,17,30,1,7,27,20,1,12,21,25,2,8,24,14,0,1,20,13,0,0.0,0.0,0.0,0.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,317.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,0.0,291.0,0.0,373.5,100.0,254.0,78.0,0.0,0.0,0.0,0.0,0.0,139.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,228.0,0.0,0.0,0.0,211.5,0.0,376.0,181.5,203.5,0.0,0.0,128.0,200.5,99.0,331.0,158.5,261.0,84.0,409.0,131.0,237.0,0.0,351.0,146.0,249.0,79.0,433.0,140.0,240.0,0.0,439.0,137.5,253.0,94.5,401.5,152.0,218.0,89.0,312.5,143.5,222.0,88.0,358.0,146.5,245.0,89.0,396.0,156.5,228.0,96.0,323.0,140.0,231.0,92.0,315.0,143.0,235.5,85.0,371.5,158.0,246.0,88.5,366.0,161.0,254.0,0.0,388.0,148.0,237.0,0.0
ALLEN,4,1,0,0,3,0,0,0,2,1,0,0,7,1,7,0,0,0,0,0,11,1,9,0,9,0,2,0,0,0,2,0,4,0,1,0,0,0,2,0,1,0,0,0,3,0,1,0,1,0,1,1,1,0,0,2,0,1,1,0,7,0,1,0,1,4,1,0,4,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,3,1,1,5,5,3,0,2,3,1,12,1,0,0,0,332.5,158.0,0.0,0.0,337.0,0.0,0.0,0.0,405.0,164.0,0.0,0.0,501.0,181.0,285.0,0.0,0.0,0.0,0.0,0,382.0,158.0,248.0,0.0,495.0,0.0,250.5,0.0,0.0,0.0,213.5,0.0,416.5,0.0,250.0,0.0,0.0,0.0,238.5,0.0,531.0,0.0,0.0,0.0,498.0,0.0,280.0,0.0,383.0,0.0,299.0,84.0,348.0,0.0,0.0,88.5,0.0,115.0,292.0,0.0,370.0,0.0,253.0,0.0,369.0,163.0,216.0,0.0,474.5,0.0,0.0,0.0,0.0,0.0,212.0,0.0,0.0,0.0,260.0,0.0,318.0,0.0,0.0,0.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,177.0,221.5,0.0,0.0,168.0,205.0,81.0,334.0,163.0,223.0,0.0,367.0,131.0,279.0,67.0,509.0,0.0,0.0,0.0
ANDERSON,0,0,0,0,6,4,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,0,0,0,3,1,0,1,0,1,0,0,1,3,0,6,0,1,0,1,0,1,0,0,0,0,0,2,0,6,0,0,0,2,0,9,3,6,0,2,3,2,0,9,1,6,0,10,5,13,0,0,4,3,0,3,3,9,0,5,1,11,1,6,4,15,0,2,0,3,0,2,5,5,0,0.0,0.0,0.0,0.0,489.5,141.0,213.5,0.0,0.0,185.0,0.0,0.0,0.0,0.0,247.0,0.0,398.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,409.0,186.0,0.0,0.0,0.0,170.0,262.0,0.0,493.0,0.0,196.0,0.0,0.0,139.0,263.0,0.0,473.0,0.0,216.0,0.0,342.0,0.0,236.0,0.0,0.0,0.0,0.0,0.0,391.5,0.0,255.5,0.0,0.0,0.0,250.5,0.0,404.0,157.0,237.5,0.0,760.5,139.0,266.0,0.0,470.0,165.0,220.0,0.0,419.0,158.0,242.0,0.0,0.0,134.0,271.0,0.0,351.0,177.0,227.0,0.0,364.0,146.0,232.0,87.0,359.5,153.0,260.0,0.0,636.5,0.0,246.0,0.0,534.5,170.0,215.0,0.0
BALLARD,22,6,30,0,10,3,23,0,1,4,6,0,22,4,32,0,9,4,17,0,25,3,26,0,18,9,31,1,30,17,41,1,31,18,60,2,33,18,73,0,8,39,31,0,21,25,71,1,13,18,53,0,21,44,63,2,23,37,64,3,10,46,44,2,6,43,33,3,8,65,41,5,12,54,79,1,7,32,34,5,18,41,80,2,4,27,33,0,11,44,73,2,3,1,4,0,2,6,18,0,0,8,12,0,5,8,10,1,3,16,21,0,6,17,24,0,1,14,11,0,360.0,169.5,244.0,0.0,323.5,182.0,251.0,0.0,366.0,155.0,203.5,0.0,353.5,179.5,250.0,0.0,369.0,173.0,246.0,0,360.0,179.0,272.0,0.0,356.5,148.0,240.0,99.0,348.5,158.0,249.0,86.0,380.0,165.5,237.5,81.0,381.0,164.5,235.0,0.0,340.5,144.0,235.0,0.0,344.0,162.0,251.0,94.0,341.0,176.5,242.0,0.0,338.0,164.0,224.0,78.5,355.0,161.0,227.5,60.0,321.5,148.0,222.5,77.0,357.0,148.0,239.0,85.0,364.0,163.0,217.0,93.0,343.5,165.0,227.0,91.0,360.0,157.0,237.5,94.0,346.5,164.0,228.0,82.5,363.5,167.0,221.0,0.0,368.0,165.5,233.0,93.0,312.0,140.0,198.0,0.0,332.0,176.0,234.5,0.0,0.0,168.5,209.5,0.0,465.0,145.0,213.5,98.0,337.0,172.0,230.0,0.0,324.5,174.0,230.5,0.0,356.0,169.0,210.0,0.0
BARREN,9,1,6,0,13,5,8,0,21,1,8,0,11,3,0,0,10,3,9,0,8,2,9,0,10,1,4,0,6,2,5,0,1,0,4,0,0,0,0,0,3,0,4,0,0,1,2,0,4,1,1,0,0,0,0,0,9,5,8,0,15,5,13,0,4,2,3,0,28,5,8,0,6,4,12,1,21,8,9,0,4,1,2,0,23,10,19,2,41,28,21,2,8,2,6,0,0,10,6,0,2,1,3,0,5,5,2,0,7,6,7,0,2,6,5,0,1,0,1,0,408.0,145.0,249.5,0.0,358.0,179.0,232.0,0.0,402.0,184.0,258.0,0.0,429.0,167.0,0.0,0.0,362.5,146.0,238.0,0,355.5,108.5,246.0,0.0,393.0,126.0,245.5,0.0,371.0,184.5,261.0,0.0,421.0,0.0,258.5,0.0,0.0,0.0,0.0,0.0,436.0,0.0,217.0,0.0,0.0,104.0,206.5,0.0,546.0,140.0,263.0,0.0,0.0,0.0,0.0,0.0,415.0,179.0,256.0,0.0,363.0,172.0,254.0,0.0,366.5,172.0,248.0,0.0,657.5,159.0,251.5,0.0,338.0,140.5,224.0,62.0,536.0,173.0,257.0,0.0,433.0,162.0,240.0,0.0,413.0,155.5,230.0,89.0,441.0,154.0,245.0,93.0,399.0,163.0,223.0,0.0,0.0,146.5,244.0,0.0,370.5,170.0,222.0,0.0,418.0,152.0,262.5,0.0,333.0,166.0,246.0,0.0,501.5,169.5,238.0,0.0,302.0,0.0,284.0,0.0
BATH,0,10,12,1,1,1,2,0,2,4,11,2,0,3,2,0,0,3,2,0,0,2,2,0,1,3,5,0,2,3,4,0,3,17,10,0,0,1,3,0,2,0,3,0,3,3,3,1,2,3,9,3,1,6,4,0,1,4,3,1,2,4,11,1,3,3,5,0,0,7,3,5,10,17,17,2,2,7,5,1,0,23,15,0,1,15,6,2,2,6,12,1,5,24,9,2,3,10,4,3,5,33,19,4,5,13,13,4,2,5,4,0,1,10,7,2,0,1,3,0,0.0,163.0,225.0,80.0,334.0,186.0,278.0,0.0,320.5,164.0,236.0,83.5,0.0,163.0,214.5,0.0,0.0,175.0,200.0,0,0.0,155.0,267.0,0.0,316.0,178.0,227.0,0.0,327.0,163.0,246.5,0.0,370.0,132.0,222.5,0.0,0.0,134.0,200.0,0.0,473.5,0.0,240.0,0.0,333.0,157.0,239.0,89.0,330.5,117.0,224.0,71.0,323.0,162.0,234.5,0.0,311.0,127.0,267.0,92.0,316.0,153.5,223.0,89.0,325.0,126.0,282.0,0.0,0.0,132.0,234.0,82.0,338.0,150.0,242.0,79.5,428.5,163.0,233.0,93.0,0.0,155.0,218.0,0.0,353.0,147.0,232.5,79.0,374.0,145.5,223.0,93.0,371.0,146.0,246.0,92.0,523.0,146.5,229.5,93.0,362.0,142.0,232.0,83.5,364.0,158.0,220.0,77.5,306.5,131.0,261.5,0.0,312.0,154.5,247.0,93.5,0.0,138.0,266.0,0.0
BELL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,0.0,0.0,0.0,0.0,0.0
BOONE,3,1,6,1,2,2,9,0,1,3,9,0,3,7,5,1,7,0,5,0,6,2,19,0,4,3,19,1,3,1,10,1,14,3,18,0,4,0,8,0,0,0,0,0,13,8,12,0,3,2,0,0,10,3,9,0,15,13,20,0,6,0,3,0,10,8,9,0,8,4,11,0,8,3,6,0,10,2,8,0,14,8,23,0,1,11,4,0,11,9,18,0,8,15,7,1,4,5,9,6,1,3,8,0,12,8,13,0,5,4,9,0,6,8,13,0,8,8,19,1,316.0,131.0,231.0,98.0,317.5,140.0,224.0,0.0,513.0,170.0,218.0,0.0,344.0,160.0,226.0,91.0,359.0,0.0,291.0,0,370.5,170.0,259.0,0.0,322.0,176.0,258.0,59.0,319.0,173.0,252.0,65.0,359.5,156.0,274.5,0.0,309.5,0.0,241.5,0.0,0.0,0.0,0.0,0.0,351.0,174.0,233.0,0.0,309.0,162.0,0.0,0.0,392.0,171.0,277.0,0.0,375.0,139.0,249.5,0.0,383.0,0.0,269.0,0.0,390.0,160.0,225.0,0.0,359.0,146.0,262.0,0.0,353.0,173.0,273.0,0.0,360.0,171.5,269.0,0.0,347.0,169.0,245.0,0.0,318.0,151.0,260.5,0.0,376.0,179.0,236.5,0.0,317.0,124.0,254.0,85.0,345.5,164.0,249.0,74.5,329.0,180.0,226.0,0.0,351.5,171.5,264.0,0.0,344.0,138.5,261.0,0.0,387.0,167.5,227.0,0.0,424.5,164.5,233.0,95.0
BOURBON,27,9,18,0,15,2,4,0,5,5,22,0,32,6,26,0,24,9,34,0,60,15,49,0,32,13,30,1,36,16,50,0,34,9,41,0,18,1,15,0,14,2,7,0,12,2,8,0,6,0,3,0,21,1,8,0,2,1,5,0,5,0,12,0,25,2,13,0,31,9,21,0,28,6,20,0,19,7,29,0,36,14,39,0,24,25,45,1,32,15,71,3,34,38,60,0,49,45,87,1,16,11,25,0,10,12,23,0,17,17,22,0,21,16,20,0,9,23,16,0,377.0,170.0,250.5,0.0,392.0,162.5,249.5,0.0,431.0,149.0,253.5,0.0,378.0,180.0,245.5,0.0,391.0,175.0,251.0,0,378.5,170.0,249.0,0.0,363.0,173.0,233.5,90.0,380.5,170.5,235.0,0.0,338.0,161.0,252.0,0.0,395.0,157.0,240.0,0.0,408.0,159.5,224.0,0.0,505.0,167.0,267.5,0.0,478.5,0.0,278.0,0.0,422.0,150.0,252.5,0.0,463.5,143.0,261.0,0.0,406.0,0.0,239.0,0.0,399.0,131.5,260.0,0.0,384.0,177.0,247.0,0.0,405.5,161.0,245.5,0.0,424.0,170.0,242.0,0.0,362.0,183.0,234.0,0.0,407.0,158.0,237.0,97.0,403.5,166.0,235.0,66.0,372.0,160.5,224.5,0.0,372.0,159.0,233.0,95.0,402.0,160.0,226.0,0.0,364.0,176.0,228.0,0.0,417.0,156.0,215.0,0.0,442.0,168.5,222.5,0.0,345.0,167.0,229.0,0.0
BOYD,0,2,2,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,1,16,7,2,3,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,149.0,225.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,0.0,0.0,454.0,0.0,261.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519.0,126.0,0.0,0.0,0.0,163.0,0.0,0.0,0.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,488.0,0.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,55.0,405.0,150.0,203.0,90.5,349.0,0.0,228.0,0.0,363.0,0.0,199.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
