COUNTY,K_count_1990,K_count_1991,K_count_1992,K_count_1993,K_count_1994,K_count_1995,K_count_1996,K_count_1997,K_count_1998,K_count_1999,K_count_2000,K_count_2001,K_count_2002,K_count_2003,K_count_2004,K_count_2005,K_count_2006,K_count_2007,K_count_2008,K_count_2009,K_count_2010,K_count_2011,K_count_2012,K_count_2013,K_count_2014,K_count_2015,K_count_2016,K_count_2017,K_count_2018,K_count_2019,K_med1990,K_med1991,K_med1992,K_med1993,K_med1994,K_med1995,K_med1996,K_med1997,K_med1998,K_med1999,K_med2000,K_med2001,K_med2002,K_med2003,K_med2004,K_med2005,K_med2006,K_med2007,K_med2008,K_med2009,K_med2010,K_med2011,K_med2012,K_med2013,K_med2014,K_med2015,K_med2016,K_med2017,K_med2018,K_med2019,P_count_1990,P_count_1991,P_count_1992,P_count_1993,P_count_1994,P_count_1995,P_count_1996,P_count_1997,P_count_1998,P_count_1999,P_count_2000,P_count_2001,P_count_2002,P_count_2003,P_count_2004,P_count_2005,P_count_2006,P_count_2007,P_count_2008,P_count_2009,P_count_2010,P_count_2011,P_count_2012,P_count_2013,P_count_2014,P_count_2015,P_count_2016,P_count_2017,P_count_2018,P_count_2019,P_med1990,P_med1991,P_med1992,P_med1993,P_med1994,P_med1995,P_med1996,P_med1997,P_med1998,P_med1999,P_med2000,P_med2001,P_med2002,P_med2003,P_med2004,P_med2005,P_med2006,P_med2007,P_med2008,P_med2009,P_med2010,P_med2011,P_med2012,P_med2013,P_med2014,P_med2015,P_med2016,P_med2017,P_med2018,P_med2019,0
ADAIR,0,1,0,0,0,4,0,2,5,0,6,0,6,4,8,6,24,20,22,20,34,47,73,64,52,57,55,60,46,34,0,318,0,0,0,162,0,310,254,0,190,0,224,212,204,148,183,230,166,228,169,176,173,198,216,220,190,229,190,172,0,1,0,0,0,4,0,2,5,0,6,0,6,4,8,6,24,20,22,20,34,47,73,64,52,57,55,60,46,34,0,238,0,0,0,74,0,81,86,0,64,0,106,68,142,46,84,116,114,149,86,88,72,88,66,78,60,73,65,69,0
ALLEN,5,3,3,15,0,21,11,2,5,2,1,4,3,3,2,8,6,4,1,2,1,2,0,0,0,6,5,13,18,1,305,337,372,289,0,316,480,214,408,238,531,458,299,91,204,352,169,474,212,260,318,348,0,0,0,222,168,223,74,509,5,3,3,15,0,21,11,2,5,2,1,4,3,3,2,8,6,4,1,2,1,2,0,0,0,6,5,13,18,1,26,80,39,66,0,48,97,92,62,80,144,110,28,62,31,60,72,178,114,60,127,43,0,0,0,62,57,46,40,652,0
ANDERSON,0,12,1,1,1,0,0,0,0,2,0,4,4,2,4,7,2,0,8,2,18,7,16,28,7,15,18,25,5,12,0,281,185,247,398,0,0,0,0,216,0,393,176,344,260,445,289,0,281,250,308,239,304,282,182,227,238,261,259,203,0,12,1,1,1,0,0,0,0,2,0,4,4,2,4,7,2,0,8,2,18,7,16,28,7,15,18,25,5,12,0,62,52,53,500,0,0,0,0,327,0,316,110,314,170,229,306,0,263,256,290,367,360,242,274,198,361,297,53,162,0
BALLARD,58,36,11,58,30,54,59,89,111,124,78,118,84,130,127,102,85,119,146,78,141,64,130,8,26,20,24,40,47,26,278,264,196,266,250,296,249,256,246,248,190,247,236,211,217,192,187,180,206,196,212,200,212,232,221,196,206,203,211,188,58,36,11,58,30,54,59,89,111,124,78,118,84,130,127,102,85,119,146,78,141,64,130,8,26,20,24,40,47,26,76,66,47,72,72,66,66,64,57,67,47,62,50,55,54,56,37,49,47,44,50,62,54,62,52,54,62,42,45,44,0
BARREN,16,26,30,14,22,19,15,13,5,0,7,3,6,0,22,33,9,41,23,38,7,54,92,16,16,6,12,20,13,2,360,287,365,414,272,279,357,292,265,0,255,201,392,0,270,292,265,478,225,326,360,274,254,300,164,228,262,256,195,293,16,26,30,14,22,19,15,13,5,0,7,3,6,0,22,33,9,41,23,38,7,54,92,16,16,6,12,20,13,2,102,100,95,99,75,58,61,40,71,0,25,87,163,0,82,64,122,121,41,60,234,85,62,72,58,66,60,47,47,236,0
BATH,23,4,19,5,5,4,9,9,30,4,5,10,17,11,9,18,11,15,46,15,38,24,21,40,20,61,35,11,20,4,191,278,207,174,186,206,204,243,186,200,269,239,212,189,166,210,282,131,212,174,171,172,204,160,162,163,194,237,174,255,23,4,19,5,5,4,9,9,30,4,5,10,17,11,9,18,11,15,46,15,38,24,21,40,20,61,35,11,20,4,47,95,47,68,33,78,46,47,44,44,64,42,49,49,57,46,47,29,62,35,50,46,66,50,44,43,49,81,48,60,0
BELL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0
BOONE,11,13,13,16,12,27,27,15,35,12,0,33,5,22,48,9,27,23,17,20,45,16,38,31,24,12,33,18,27,36,253,224,213,188,334,265,258,256,291,266,0,267,305,288,254,338,271,278,279,298,267,178,240,190,200,216,268,264,216,231,11,13,13,16,12,27,27,15,35,12,0,33,5,22,48,9,27,23,17,20,45,16,38,31,24,12,33,18,27,36,46,60,65,48,112,88,88,68,119,68,0,84,47,124,106,90,66,66,84,104,118,42,68,50,99,98,81,66,83,78,0
BOURBON,54,21,32,64,67,124,76,102,84,34,23,22,9,30,8,17,40,61,54,55,89,95,121,132,182,52,45,56,57,48,300,330,254,301,277,292,280,256,282,312,328,356,398,384,270,248,353,307,312,269,276,234,254,219,234,230,211,215,236,194,54,21,32,64,67,124,76,102,84,34,23,22,9,30,8,17,40,61,54,55,89,95,121,132,182,52,45,56,57,48,154,101,107,148,158,182,202,169,81,106,261,236,138,224,163,75,150,141,137,77,105,121,97,114,84,91,90,128,127,212,0
BOYD,4,0,1,5,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,2,0,3,26,4,2,1,0,0,1,0,179,0,440,338,0,0,0,0,0,0,0,517,163,187,0,0,0,260,0,392,0,66,164,325,281,63,0,0,441,0,4,0,1,5,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,2,0,3,26,4,2,1,0,0,1,0,22,0,98,93,0,0,0,0,0,0,0,41,21,108,0,0,0,56,0,87,0,22,24,30,202,6,0,0,39,0,0
