COUNTY,count_1990_,count_1990_H,count_1990_L,count_1990_M,count_1990_VH,count_1990_VL,count_1991_,count_1991_H,count_1991_L,count_1991_M,count_1991_VH,count_1991_VL,count_1992_,count_1992_H,count_1992_L,count_1992_M,count_1992_VH,count_1992_VL,count_1993_,count_1993_H,count_1993_L,count_1993_M,count_1993_VH,count_1993_VL,count_1994_,count_1994_H,count_1994_L,count_1994_M,count_1994_VH,count_1994_VL,count_1995_,count_1995_H,count_1995_L,count_1995_M,count_1995_VH,count_1995_VL,count_1996_,count_1996_H,count_1996_L,count_1996_M,count_1996_VH,count_1996_VL,count_1997_,count_1997_H,count_1997_L,count_1997_M,count_1997_VH,count_1997_VL,count_1998_,count_1998_H,count_1998_L,count_1998_M,count_1998_VH,count_1998_VL,count_1999_,count_1999_H,count_1999_L,count_1999_M,count_1999_VH,count_1999_VL,count_2000_,count_2000_H,count_2000_L,count_2000_M,count_2000_VH,count_2000_VL,count_2001_,count_2001_H,count_2001_L,count_2001_M,count_2001_VH,count_2001_VL,count_2002_,count_2002_H,count_2002_L,count_2002_M,count_2002_VH,count_2002_VL,count_2003_,count_2003_H,count_2003_L,count_2003_M,count_2003_VH,count_2003_VL,count_2004_,count_2004_H,count_2004_L,count_2004_M,count_2004_VH,count_2004_VL,count_2005_,count_2005_H,count_2005_L,count_2005_M,count_2005_VH,count_2005_VL,count_2006_,count_2006_H,count_2006_L,count_2006_M,count_2006_VH,count_2006_VL,count_2007_,count_2007_H,count_2007_L,count_2007_M,count_2007_VH,count_2007_VL,count_2008_,count_2008_H,count_2008_L,count_2008_M,count_2008_VH,count_2008_VL,count_2009_,count_2009_H,count_2009_L,count_2009_M,count_2009_VH,count_2009_VL,count_2010_,count_2010_H,count_2010_L,count_2010_M,count_2010_VH,count_2010_VL,count_2011_,count_2011_H,count_2011_L,count_2011_M,count_2011_VH,count_2011_VL,count_2012_,count_2012_H,count_2012_L,count_2012_M,count_2012_VH,count_2012_VL,count_2013_,count_2013_H,count_2013_L,count_2013_M,count_2013_VH,count_2013_VL,count_2014_,count_2014_H,count_2014_L,count_2014_M,count_2014_VH,count_2014_VL,count_2015_,count_2015_H,count_2015_L,count_2015_M,count_2015_VH,count_2015_VL,count_2016_,count_2016_H,count_2016_L,count_2016_M,count_2016_VH,count_2016_VL,count_2017_,count_2017_H,count_2017_L,count_2017_M,count_2017_VH,count_2017_VL,count_2018_,count_2018_H,count_2018_L,count_2018_M,count_2018_VH,count_2018_VL,count_2019_,count_2019_H,count_2019_L,count_2019_M,count_2019_VH,count_2019_VL,1990_,1990_H,1990_L,1990_M,1990_VH,1990_VL,1991_,1991_H,1991_L,1991_M,1991_VH,1991_VL,1992_,1992_H,1992_L,1992_M,1992_VH,1992_VL,1993_,1993_H,1993_L,1993_M,1993_VH,1993_VL,1994_,1994_H,1994_L,1994_M,1994_VH,1994_VL,1995_,1995_H,1995_L,1995_M,1995_VH,1995_VL,1996_,1996_H,1996_L,1996_M,1996_VH,1996_VL,1997_,1997_H,1997_L,1997_M,1997_VH,1997_VL,1998_,1998_H,1998_L,1998_M,1998_VH,1998_VL,1999_,1999_H,1999_L,1999_M,1999_VH,1999_VL,2000_,2000_H,2000_L,2000_M,2000_VH,2000_VL,2001_,2001_H,2001_L,2001_M,2001_VH,2001_VL,2002_,2002_H,2002_L,2002_M,2002_VH,2002_VL,2003_,2003_H,2003_L,2003_M,2003_VH,2003_VL,2004_,2004_H,2004_L,2004_M,2004_VH,2004_VL,2005_,2005_H,2005_L,2005_M,2005_VH,2005_VL,2006_,2006_H,2006_L,2006_M,2006_VH,2006_VL,2007_,2007_H,2007_L,2007_M,2007_VH,2007_VL,2008_,2008_H,2008_L,2008_M,2008_VH,2008_VL,2009_,2009_H,2009_L,2009_M,2009_VH,2009_VL,2010_,2010_H,2010_L,2010_M,2010_VH,2010_VL,2011_,2011_H,2011_L,2011_M,2011_VH,2011_VL,2012_,2012_H,2012_L,2012_M,2012_VH,2012_VL,2013_,2013_H,2013_L,2013_M,2013_VH,2013_VL,2014_,2014_H,2014_L,2014_M,2014_VH,2014_VL,2015_,2015_H,2015_L,2015_M,2015_VH,2015_VL,2016_,2016_H,2016_L,2016_M,2016_VH,2016_VL,2017_,2017_H,2017_L,2017_M,2017_VH,2017_VL,2018_,2018_H,2018_L,2018_M,2018_VH,2018_VL,2019_,2019_H,2019_L,2019_M,2019_VH,2019_VL
ADAIR,0,16,15,18,18,2,0,25,18,23,20,0,0,30,19,26,21,4,0,24,28,19,16,2,0,21,13,12,5,2,0,23,16,24,10,7,0,26,40,24,14,7,0,37,26,36,10,7,0,23,18,27,8,3,0,30,25,32,11,5,0,25,11,16,13,0,0,22,11,24,11,1,0,6,11,14,2,2,0,11,9,13,0,3,0,7,9,8,2,4,0,11,13,5,2,5,0,14,29,15,8,5,0,6,13,16,3,1,0,8,13,17,3,2,0,18,11,19,7,1,0,15,27,25,3,2,0,29,35,34,8,4,0,28,48,38,8,6,0,16,31,41,7,3,0,14,26,32,14,1,0,6,5,5,3,1,0,8,4,4,2,2,1,5,8,5,8,0,0,5,12,10,0,0,0,1,0,0,0,0,0,377.5,178.0,261.0,564.0,86.0,0,366.0,170.0,252.0,533.0,0.0,0,369.5,170.0,255.0,526.0,71.0,0,349.5,156.5,252.0,617.5,78.0,0,356.0,170.0,238.5,629.0,82.0,0,347.0,181.0,250.5,563.5,61.0,0,380.5,153.0,256.5,584.5,78.0,0,345.0,161.0,243.0,569.5,90.0,0,360.0,163.0,251.0,577.0,63.0,0,381.5,168.0,250.0,527.0,75.0,0,378.0,161.0,257.0,548.0,0.0,0,360.0,159.0,265.5,545.0,92.0,0,367.5,148.0,238.5,537.5,77.5,0,358.0,139.0,274.0,0.0,73.0,0,349.0,164.0,241.5,740.5,72.5,0,363.0,161.0,260.0,476.0,81.0,0,352.0,153.0,254.0,500.5,91.0,0,360.5,157.0,254.0,554.0,58.0,0,325.5,155.0,240.0,590.0,80.5,0,353.5,178.0,245.0,510.0,57.0,0,386.0,168.0,240.0,546.0,66.0,0,375.0,176.0,258.0,533.0,69.5,0,357.5,154.5,231.0,521.0,77.5,0,341.0,162.0,242.0,526.0,64.0,0,356.5,158.5,247.0,576.0,78.0,0,362.0,166.0,238.0,657.0,88.0,0,336.5,159.0,247.5,724.0,74.5,450,322.0,158.5,257.0,495.5,0.0,0,376.0,176.5,258.0,0.0,0.0,0,326.0,0.0,0.0,0.0,0
ALLEN,0,27,20,19,14,0,0,41,9,19,21,0,0,29,12,24,17,0,0,23,7,21,18,0,0,15,2,21,5,0,1,11,1,3,6,0,0,12,7,13,8,0,0,11,4,8,2,0,0,11,6,8,2,0,0,1,4,3,2,0,0,1,3,5,0,0,0,4,2,2,1,0,0,4,2,8,5,0,0,3,2,1,1,0,0,6,12,4,2,1,0,7,3,10,3,0,0,9,10,9,2,1,0,0,5,1,6,0,0,0,1,4,0,1,0,0,5,5,1,1,0,1,2,0,1,1,0,1,7,10,1,0,0,0,5,2,0,1,0,0,4,2,0,3,0,0,3,4,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,390.0,163.5,253.0,501.0,0.0,0,385.0,193.0,269.0,501.0,0.0,0,381.0,164.5,256.5,501.0,0.0,0,388.0,148.0,261.0,501.0,0.0,0,370.0,172.5,267.0,471.0,0.0,450,364.0,165.0,245.0,501.0,0.0,0,358.0,155.0,246.0,501.0,0.0,0,367.0,167.0,246.0,501.0,0.0,0,379.0,162.0,268.5,497.5,0.0,0,319.0,159.0,243.0,507.0,0.0,0,332.0,196.0,285.0,0.0,0.0,0,361.0,200.5,265.5,590.0,0.0,0,358.5,145.0,262.0,559.0,0.0,0,384.0,135.5,281.0,509.0,0.0,0,364.0,139.0,265.5,575.0,83.0,0,330.0,188.0,268.0,528.0,0.0,0,321.0,173.0,280.0,469.0,93.0,0,0.0,139.0,298.0,602.0,0.0,0,0.0,108.0,225.0,0.0,62.0,0,0.0,133.0,254.0,529.0,89.0,0,355.0,147.5,0.0,645.0,84.0,0,358.0,183.0,227.0,510.0,0.0,0,0.0,157.0,240.0,0.0,40.0,0,0.0,135.0,263.0,0.0,68.0,0,0.0,171.0,244.0,0.0,80.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,157.0,0.0,508.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,271.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
ANDERSON,0,33,26,38,24,1,0,44,27,38,28,0,0,37,26,38,14,1,0,30,12,32,9,1,0,29,4,26,12,0,0,23,5,13,15,0,0,18,17,29,7,2,0,26,14,25,3,0,0,27,6,30,25,0,0,23,8,14,7,0,0,8,2,8,5,0,0,3,6,7,3,0,0,3,0,4,1,0,0,6,0,4,2,0,0,3,2,1,3,0,0,5,3,4,3,0,0,9,2,6,3,0,0,2,1,2,1,0,0,7,2,9,6,0,0,9,6,6,9,0,0,7,5,16,4,2,0,9,5,11,1,1,0,6,14,19,1,0,0,9,3,17,1,0,0,9,3,7,2,0,0,8,8,9,0,2,0,6,15,4,2,1,0,4,4,7,0,0,0,2,2,4,0,0,0,1,1,2,0,0,0,347.0,167.5,252.0,563.5,83.0,0,359.0,160.0,255.5,530.5,0.0,0,354.0,174.5,250.0,649.0,92.0,0,364.0,162.5,256.5,588.0,95.0,0,358.0,169.0,253.0,523.5,0.0,0,382.0,173.0,271.0,582.0,0.0,0,352.5,156.0,244.0,551.0,84.5,0,357.0,143.5,251.0,706.0,0.0,0,392.0,155.0,275.5,514.0,0.0,0,368.0,188.5,258.0,528.0,0.0,0,366.5,189.5,261.5,530.0,0.0,0,342.0,146.5,229.0,635.0,0.0,0,327.0,0.0,254.5,532.0,0.0,0,394.5,0.0,249.5,582.0,0.0,0,342.0,116.5,226.0,475.0,0.0,0,413.0,138.0,259.5,653.0,0.0,0,347.0,184.0,258.5,540.0,0.0,0,380.0,161.0,238.0,524.0,0.0,0,350.0,158.5,245.0,486.0,0.0,0,413.0,159.0,241.5,522.0,0.0,0,337.0,173.0,262.0,492.5,85.5,0,346.0,163.0,265.0,791.0,79.0,0,317.5,169.0,261.0,496.0,0.0,0,318.0,181.0,260.0,525.0,0.0,0,349.0,188.0,263.0,483.5,0.0,0,386.5,176.5,255.0,0.0,86.0,0,340.5,158.0,248.0,485.0,95.0,0,345.5,175.5,262.0,0.0,0.0,0,362.5,176.5,286.0,0.0,0.0,0,353.0,172.0,227.0,0.0,0
BALLARD,0,13,9,14,7,0,0,20,4,17,10,0,0,27,16,23,14,0,0,22,9,22,5,0,0,13,7,9,7,0,0,21,4,13,11,0,0,23,4,17,16,0,0,21,12,23,13,0,0,25,13,27,19,0,1,32,17,34,13,0,0,21,6,16,5,0,0,15,4,17,5,0,0,24,5,18,5,0,0,18,4,15,2,0,0,12,6,20,3,0,0,4,2,6,2,1,0,2,1,1,2,0,0,1,3,2,0,0,0,2,1,2,1,0,0,2,5,7,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,3,1,1,1,0,0,1,2,1,0,0,0,2,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,356.0,179.0,248.5,501.0,0.0,0,366.5,181.0,243.0,501.0,0.0,0,378.0,170.5,270.0,501.0,0.0,0,363.0,168.0,232.5,501.0,0.0,0,363.0,164.0,266.0,501.0,0.0,0,364.0,152.5,265.0,501.0,0.0,0,361.0,190.0,267.0,501.0,0.0,0,371.0,175.5,261.0,501.0,0.0,0,362.0,180.0,256.0,501.0,0.0,450,356.5,181.0,242.0,555.0,0.0,0,360.0,186.0,257.5,521.0,0.0,0,353.0,190.0,250.0,517.0,0.0,0,396.5,182.0,271.0,522.0,0.0,0,363.0,190.5,260.0,681.5,0.0,0,357.0,190.0,268.0,605.0,0.0,0,353.0,159.0,253.5,612.5,63.0,0,375.0,100.0,303.0,559.0,0.0,0,310.0,157.0,286.5,0.0,0.0,0,375.0,127.0,268.5,465.0,0.0,0,368.0,179.0,259.0,548.0,0.0,0,0.0,0.0,239.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,150.0,0.0,0.0,0.0,0,319.0,0.0,259.0,0.0,0.0,0,363.0,0.0,247.5,0.0,0.0,0,393.0,185.0,218.0,510.0,0.0,0,348.0,193.5,288.0,0.0,0.0,0,313.0,0.0,247.5,0.0,0.0,0,0.0,128.0,0.0,516.5,0.0,0,0.0,0.0,0.0,0.0,0
BARREN,0,59,30,34,43,1,0,60,32,39,45,0,0,92,43,86,69,1,1,94,24,83,89,0,0,60,35,46,46,0,0,50,29,44,24,0,0,28,20,38,24,1,0,27,24,31,9,1,0,13,9,15,8,0,1,9,11,9,5,2,0,6,16,11,5,1,0,12,9,7,20,1,0,17,9,7,9,0,0,3,7,12,2,2,0,3,7,8,4,1,0,7,6,8,4,0,0,7,8,12,0,0,0,4,2,5,3,1,0,1,8,8,0,2,0,3,3,2,1,1,0,2,6,7,0,1,0,7,7,5,1,0,0,0,7,8,1,0,0,1,5,3,0,0,0,3,4,4,1,0,0,7,9,9,1,0,0,0,3,1,0,0,0,3,3,4,2,2,0,10,5,6,5,1,1,12,4,10,2,0,0,369.0,154.0,248.5,501.0,81.0,0,368.0,168.5,274.0,501.0,0.0,0,364.0,169.0,260.5,501.0,86.0,450,373.0,182.0,263.0,501.0,0.0,0,363.5,168.0,259.0,501.0,0.0,0,349.5,157.0,258.0,501.0,0.0,0,360.5,165.0,269.0,501.0,89.0,0,367.0,169.0,256.0,496.0,39.0,0,380.0,143.0,253.0,501.0,0.0,450,352.0,161.0,261.0,479.0,85.5,0,358.0,153.5,238.0,667.0,66.0,0,333.5,159.0,276.0,547.0,93.0,0,357.0,185.0,274.0,522.0,0.0,0,345.0,166.0,261.5,554.0,59.0,0,395.0,178.0,262.5,625.0,88.0,0,329.0,170.5,251.0,615.5,0.0,0,342.0,176.0,252.0,0.0,0.0,0,364.5,164.0,229.0,638.0,75.0,0,320.0,172.0,249.0,0.0,69.0,0,371.0,135.0,281.5,484.0,68.0,0,335.0,173.5,268.0,0.0,58.0,0,361.0,155.0,247.0,998.0,0.0,0,0.0,170.0,249.5,518.0,0.0,0,339.0,150.0,233.0,0.0,0.0,0,367.0,149.0,291.0,473.0,0.0,0,374.0,174.0,264.0,755.0,0.0,0,0.0,186.0,254.0,0.0,0.0,0,379.0,152.0,260.5,618.0,94.0,0,359.0,113.0,245.0,541.0,91.0,450,344.5,144.0,242.5,840.0,0
BATH,1,48,50,59,23,4,0,46,54,77,39,4,0,78,40,75,35,2,0,47,32,56,17,1,0,29,19,32,18,0,0,21,29,25,16,3,0,42,41,56,27,5,2,76,77,81,36,10,0,49,61,75,34,5,0,72,38,63,38,1,0,19,20,26,16,2,0,22,16,39,13,2,0,22,22,27,10,1,0,16,25,27,6,1,0,15,20,25,7,3,0,21,20,27,2,0,0,15,21,13,6,1,0,7,16,12,4,2,0,12,13,17,6,0,0,11,21,25,12,2,0,17,26,37,5,1,0,10,13,25,2,2,0,14,28,27,3,6,0,8,14,36,1,2,0,12,9,26,0,2,0,7,8,13,4,2,0,9,3,7,2,1,0,1,2,1,1,0,0,3,5,3,4,0,0,2,2,2,1,0,450,356.5,169.0,260.0,560.0,86.0,0,366.5,162.5,249.0,574.0,84.5,0,354.5,168.0,243.0,549.0,84.0,0,372.0,178.5,260.5,556.0,92.0,0,350.0,179.0,246.5,545.5,0.0,0,358.0,161.0,259.0,517.0,83.0,0,366.5,149.0,259.5,546.0,79.0,450,354.5,157.0,248.0,539.0,75.0,0,360.0,169.0,247.0,536.5,79.0,0,365.0,147.0,245.0,574.0,64.0,0,361.0,158.0,261.0,619.0,77.5,0,350.0,180.5,244.0,631.0,82.5,0,384.0,163.0,250.0,632.0,95.0,0,369.5,155.0,238.0,637.0,86.0,0,350.0,176.5,257.0,523.0,74.0,0,355.0,163.5,248.0,614.0,0.0,0,336.0,174.0,259.0,527.0,82.0,0,408.0,162.5,235.0,587.0,89.5,0,353.5,161.0,275.0,621.0,0.0,0,362.0,174.0,244.0,514.5,74.5,0,341.0,173.5,251.0,514.0,92.0,0,357.0,163.0,239.0,519.0,67.5,0,355.0,176.0,244.0,541.0,79.0,0,362.0,161.0,261.5,548.0,76.5,0,357.0,169.0,265.0,0.0,79.5,0,344.0,166.0,270.0,553.0,81.0,0,373.0,143.0,264.0,700.0,95.0,0,350.0,155.0,262.0,451.0,0.0,0,345.0,136.0,298.0,467.0,0.0,0,349.5,164.0,258.5,491.0,0
BELL,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,394.0,187.0,0.0,0.0,0.0,0,0.0,124.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,179.0,266.0,780.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,315.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
BOONE,0,67,27,54,41,0,0,61,49,63,38,4,1,98,55,102,58,0,0,68,24,49,39,0,0,70,18,50,53,1,1,42,21,37,23,2,0,44,18,40,28,4,0,52,23,46,29,0,1,80,23,71,43,2,0,49,19,30,25,1,0,22,4,7,13,0,0,26,10,26,17,0,0,23,13,20,8,4,0,18,5,27,5,0,0,22,11,10,6,0,0,22,5,12,3,0,0,33,2,20,6,0,0,15,1,6,8,0,0,10,0,2,8,0,0,25,5,15,5,0,0,3,3,2,1,0,0,4,2,7,1,0,0,9,7,17,3,0,0,7,8,9,2,0,0,4,2,9,3,2,0,5,2,7,1,0,1,5,5,8,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,368.0,167.0,252.0,609.0,0.0,0,351.0,168.0,250.0,578.0,92.5,450,369.5,168.0,252.5,535.5,0.0,0,366.5,177.0,268.0,562.0,0.0,0,368.0,163.5,257.5,575.0,80.0,450,356.5,179.0,256.0,527.0,85.5,0,361.0,182.5,252.5,568.0,74.5,0,361.5,168.0,245.0,575.0,0.0,450,359.5,176.0,269.0,554.0,79.0,0,373.0,173.0,255.5,538.0,91.0,0,376.5,176.5,252.0,506.0,0.0,0,355.5,149.0,245.5,512.0,0.0,0,364.0,150.0,264.0,532.5,74.5,0,365.0,192.0,252.0,522.0,0.0,0,362.0,146.0,272.0,510.5,0.0,0,354.0,148.0,257.0,477.0,0.0,0,347.0,134.0,265.0,493.0,0.0,0,371.0,205.0,279.0,512.5,0.0,0,375.5,0.0,235.5,506.5,0.0,0,367.0,179.0,259.0,507.0,0.0,0,314.0,185.0,245.5,711.0,0.0,0,308.0,181.0,279.0,471.0,0.0,0,380.0,169.0,238.0,595.0,0.0,0,376.0,155.5,249.0,616.5,0.0,0,361.5,194.0,259.0,719.0,83.0,0,345.0,181.5,262.0,993.0,0.0,450,362.0,184.0,270.5,0.0,0.0,0,0.0,0.0,262.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,347.5,0.0,207.0,0.0,0
BOURBON,0,148,92,136,78,1,1,162,97,182,88,0,0,144,100,185,77,0,0,102,56,151,76,3,0,80,34,87,25,0,0,127,81,117,52,0,1,91,106,119,45,2,1,145,84,175,76,0,1,177,95,170,88,0,1,139,81,121,61,1,1,56,37,56,18,0,0,24,27,53,20,0,0,44,38,68,18,1,0,57,39,78,29,3,0,50,51,59,15,0,0,45,46,45,24,1,0,60,30,61,25,1,0,39,44,58,17,1,0,43,29,63,22,0,0,56,46,64,26,0,0,21,40,61,10,0,0,17,26,45,6,1,0,19,23,52,4,1,0,22,38,44,11,1,0,39,36,48,7,0,0,15,21,19,4,0,0,14,23,24,7,0,0,5,19,12,10,0,0,7,13,14,2,0,0,2,5,9,3,0,0,352.0,172.0,258.0,548.0,89.0,450,364.5,182.0,248.0,523.0,0.0,0,352.5,180.0,252.0,553.0,0.0,0,350.5,176.5,254.0,542.0,86.0,0,363.5,181.5,258.0,537.0,0.0,0,348.0,165.0,265.0,578.0,0.0,450,362.0,167.0,255.0,529.0,89.5,450,356.0,177.0,255.0,607.5,0.0,450,355.0,176.0,250.5,567.0,0.0,450,359.0,179.0,257.0,547.0,76.0,450,352.5,172.0,250.5,545.5,0.0,0,354.5,174.0,262.0,524.5,0.0,0,362.0,174.0,246.0,561.0,94.0,0,355.0,162.0,259.0,618.0,89.0,0,370.0,168.0,251.0,529.0,0.0,0,358.0,169.5,242.0,576.0,76.0,0,363.0,180.5,244.0,516.0,48.0,0,360.0,179.5,260.0,508.0,95.0,0,355.0,177.0,255.0,561.5,0.0,0,353.5,184.0,262.0,576.0,0.0,0,361.0,171.0,256.0,626.5,0.0,0,339.0,171.0,258.0,521.5,76.0,0,326.0,177.0,246.5,557.5,88.0,0,341.5,157.0,256.0,589.0,93.0,0,349.0,168.5,247.0,704.0,0.0,0,335.0,166.0,254.0,572.0,0.0,0,363.0,156.0,252.5,544.0,0.0,0,330.0,178.0,233.0,651.0,0.0,0,368.0,183.0,245.0,658.0,0.0,0,385.0,158.0,249.0,559.0,0
BOYD,0,0,0,2,0,0,0,0,0,1,1,0,0,3,2,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,0,1,0,0,0,8,5,7,1,0,0,0,1,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,237.5,0.0,0.0,0,0.0,0.0,298.0,578.0,0.0,0,437.0,153.5,220.5,0.0,0.0,0,0.0,111.0,278.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,112.0,260.0,760.0,0.0,0,343.0,0.0,248.0,0.0,0.0,0,338.0,170.0,273.0,1352.0,0.0,0,0.0,178.0,0.0,0.0,0.0,0,0.0,124.0,260.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,425.0,0.0,0.0,513.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,360.0,0.0,288.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
