COUNTY,count_1990_,count_1990_H,count_1990_L,count_1990_M,count_1990_VH,count_1990_VL,count_1991_,count_1991_H,count_1991_L,count_1991_M,count_1991_VH,count_1991_VL,count_1992_,count_1992_H,count_1992_L,count_1992_M,count_1992_VH,count_1992_VL,count_1993_,count_1993_H,count_1993_L,count_1993_M,count_1993_VH,count_1993_VL,count_1994_,count_1994_H,count_1994_L,count_1994_M,count_1994_VH,count_1994_VL,count_1995_,count_1995_H,count_1995_L,count_1995_M,count_1995_VH,count_1995_VL,count_1996_,count_1996_H,count_1996_L,count_1996_M,count_1996_VH,count_1996_VL,count_1997_,count_1997_H,count_1997_L,count_1997_M,count_1997_VH,count_1997_VL,count_1998_,count_1998_H,count_1998_L,count_1998_M,count_1998_VH,count_1998_VL,count_1999_,count_1999_H,count_1999_L,count_1999_M,count_1999_VH,count_1999_VL,count_2000_,count_2000_H,count_2000_L,count_2000_M,count_2000_VH,count_2000_VL,count_2001_,count_2001_H,count_2001_L,count_2001_M,count_2001_VH,count_2001_VL,count_2002_,count_2002_H,count_2002_L,count_2002_M,count_2002_VH,count_2002_VL,count_2003_,count_2003_H,count_2003_L,count_2003_M,count_2003_VH,count_2003_VL,count_2004_,count_2004_H,count_2004_L,count_2004_M,count_2004_VH,count_2004_VL,count_2005_,count_2005_H,count_2005_L,count_2005_M,count_2005_VH,count_2005_VL,count_2006_,count_2006_H,count_2006_L,count_2006_M,count_2006_VH,count_2006_VL,count_2007_,count_2007_H,count_2007_L,count_2007_M,count_2007_VH,count_2007_VL,count_2008_,count_2008_H,count_2008_L,count_2008_M,count_2008_VH,count_2008_VL,count_2009_,count_2009_H,count_2009_L,count_2009_M,count_2009_VH,count_2009_VL,count_2010_,count_2010_H,count_2010_L,count_2010_M,count_2010_VH,count_2010_VL,count_2011_,count_2011_H,count_2011_L,count_2011_M,count_2011_VH,count_2011_VL,count_2012_,count_2012_H,count_2012_L,count_2012_M,count_2012_VH,count_2012_VL,count_2013_,count_2013_H,count_2013_L,count_2013_M,count_2013_VH,count_2013_VL,count_2014_,count_2014_H,count_2014_L,count_2014_M,count_2014_VH,count_2014_VL,count_2015_,count_2015_H,count_2015_L,count_2015_M,count_2015_VH,count_2015_VL,count_2016_,count_2016_H,count_2016_L,count_2016_M,count_2016_VH,count_2016_VL,count_2017_,count_2017_H,count_2017_L,count_2017_M,count_2017_VH,count_2017_VL,count_2018_,count_2018_H,count_2018_L,count_2018_M,count_2018_VH,count_2018_VL,count_2019_,count_2019_H,count_2019_L,count_2019_M,count_2019_VH,count_2019_VL,1990_,1990_H,1990_L,1990_M,1990_VH,1990_VL,1991_,1991_H,1991_L,1991_M,1991_VH,1991_VL,1992_,1992_H,1992_L,1992_M,1992_VH,1992_VL,1993_,1993_H,1993_L,1993_M,1993_VH,1993_VL,1994_,1994_H,1994_L,1994_M,1994_VH,1994_VL,1995_,1995_H,1995_L,1995_M,1995_VH,1995_VL,1996_,1996_H,1996_L,1996_M,1996_VH,1996_VL,1997_,1997_H,1997_L,1997_M,1997_VH,1997_VL,1998_,1998_H,1998_L,1998_M,1998_VH,1998_VL,1999_,1999_H,1999_L,1999_M,1999_VH,1999_VL,2000_,2000_H,2000_L,2000_M,2000_VH,2000_VL,2001_,2001_H,2001_L,2001_M,2001_VH,2001_VL,2002_,2002_H,2002_L,2002_M,2002_VH,2002_VL,2003_,2003_H,2003_L,2003_M,2003_VH,2003_VL,2004_,2004_H,2004_L,2004_M,2004_VH,2004_VL,2005_,2005_H,2005_L,2005_M,2005_VH,2005_VL,2006_,2006_H,2006_L,2006_M,2006_VH,2006_VL,2007_,2007_H,2007_L,2007_M,2007_VH,2007_VL,2008_,2008_H,2008_L,2008_M,2008_VH,2008_VL,2009_,2009_H,2009_L,2009_M,2009_VH,2009_VL,2010_,2010_H,2010_L,2010_M,2010_VH,2010_VL,2011_,2011_H,2011_L,2011_M,2011_VH,2011_VL,2012_,2012_H,2012_L,2012_M,2012_VH,2012_VL,2013_,2013_H,2013_L,2013_M,2013_VH,2013_VL,2014_,2014_H,2014_L,2014_M,2014_VH,2014_VL,2015_,2015_H,2015_L,2015_M,2015_VH,2015_VL,2016_,2016_H,2016_L,2016_M,2016_VH,2016_VL,2017_,2017_H,2017_L,2017_M,2017_VH,2017_VL,2018_,2018_H,2018_L,2018_M,2018_VH,2018_VL,2019_,2019_H,2019_L,2019_M,2019_VH,2019_VL
ADAIR,0,6,4,8,50,1,0,7,9,13,56,1,0,10,10,12,68,0,0,8,9,11,61,0,0,10,3,7,32,1,2,11,3,6,58,0,0,14,11,21,65,0,0,10,10,24,72,0,1,15,3,13,47,0,1,10,9,19,64,0,1,7,0,4,53,0,2,5,4,8,50,0,0,7,2,3,23,0,1,3,1,8,22,1,0,4,2,3,21,0,0,3,3,3,27,0,0,2,8,8,53,0,0,6,2,8,23,0,1,4,1,0,37,0,0,10,0,4,42,0,0,11,2,6,53,0,0,12,3,11,83,1,0,17,4,18,88,1,2,11,5,17,63,0,0,7,3,12,64,1,0,4,0,0,16,0,0,0,0,2,18,0,0,0,1,2,24,0,0,2,0,3,22,0,0,0,0,0,1,0,0,72.5,16.5,40.5,276.0,6.0,0,68.0,15.0,44.0,232.0,4.0,0,64.5,17.5,45.0,203.5,0.0,0,62.0,15.0,46.0,199.0,0.0,0,72.0,24.0,44.0,200.5,5.0,80,68.0,26.0,43.0,188.5,0.0,0,68.0,21.0,42.0,194.0,0.0,0,70.0,15.0,44.0,187.5,0.0,80,69.0,21.0,42.0,212.0,0.0,80,69.0,13.0,50.0,159.5,0.0,80,72.0,0.0,48.5,210.0,0,80,71.0,21.5,49.0,155.0,0,0,74.0,18.5,38.0,166.0,0.0,80,64.0,16.0,52.5,170.0,6,0,66.5,13.0,51.0,160.0,0,0,67.0,21.0,35.0,184.0,0,0,63.0,21.5,49.5,171.0,0,0,73.0,19.0,38.5,212.0,0.0,80,68.0,16.0,0.0,166.0,0,0,70.0,0.0,48.0,192.5,0,0,67.0,10.5,46.5,181.0,0.0,0,67.0,15.0,46.0,198.0,6.0,0,68.0,24.0,46.0,175.0,4,80,66.0,17.0,46.0,206.0,0,0,64.0,19.0,40.5,207.5,3,0,62.0,0.0,0.0,206.5,0,0,0.0,0.0,46.5,283.5,0.0,0,0.0,25.0,45.0,301.0,0,0,64.5,0.0,49.0,209.0,0,0,0.0,0.0,0.0,521.0,0
ALLEN,0,13,7,15,45,0,0,10,9,11,59,1,0,8,9,12,53,0,0,8,9,6,46,0,1,6,3,8,25,0,0,0,1,3,18,0,0,2,4,6,28,0,0,3,5,4,12,1,0,4,4,5,14,0,0,0,3,0,7,0,1,1,1,4,2,0,0,0,1,4,4,0,0,3,1,6,9,0,0,0,0,2,5,0,1,4,3,7,10,0,0,0,1,12,10,0,0,8,2,7,14,0,0,1,0,0,11,0,0,2,0,1,3,0,0,2,1,1,8,0,0,1,0,0,4,0,0,4,5,3,7,0,0,1,2,2,3,0,0,2,2,2,3,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,71.0,20.0,43.0,201.0,0.0,0,68.0,22.0,45.0,183.0,2.0,0,70.0,24.0,43.0,172.0,0.0,0,65.5,20.0,42.0,144.5,0.0,80,68.5,20.0,48.0,123.0,0.0,0,0.0,10.0,51.0,178.5,0.0,0,78.0,25.5,42.0,162.0,0.0,0,73.0,18.0,50.0,131.0,6.0,0,75.5,17.5,44.0,164.0,0.0,0,0.0,12.0,0.0,129.0,0.0,80,61.0,18.0,37.0,164.0,0,0,0.0,17.0,43.0,219.5,0,0,77.0,14.0,40.5,131.0,0.0,0,0.0,0.0,42.5,148.0,0,80,70.0,16.0,41.0,117.5,0,0,0.0,17.0,44.0,134.5,0,0,72.0,15.0,37.0,100.5,0,0,61.0,0.0,0.0,141.0,0.0,0,69.5,0.0,51.0,98.0,0,0,67.5,22.0,56.0,138.5,0,0,75.0,0.0,0.0,165.0,0.0,0,73.5,17.0,41.0,109.0,0.0,0,67.0,16.5,41.0,103.0,0,0,60.5,21.0,46.0,259.0,0,0,62.0,26.0,47.0,102.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,31.0,244.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,52.0,0.0,0,0,0.0,0.0,0.0,0.0,0
ANDERSON,1,8,6,10,96,1,0,9,7,9,112,0,0,11,10,4,91,0,0,6,1,10,67,0,0,3,3,5,60,0,0,1,4,2,49,0,0,3,0,3,65,2,0,6,1,7,53,1,0,2,5,10,71,0,0,2,3,5,42,0,0,1,0,2,20,0,0,0,0,0,19,0,0,0,1,2,5,0,0,0,0,0,12,0,0,0,0,0,9,0,0,1,0,0,14,0,0,0,0,0,20,0,0,0,0,0,6,0,0,1,0,3,20,0,0,1,2,2,25,0,0,0,2,1,31,0,0,4,0,0,23,0,0,0,0,2,38,0,0,0,0,1,29,0,0,0,0,3,18,0,0,3,0,3,21,0,0,6,2,4,16,0,0,1,0,1,13,0,0,0,0,0,8,0,0,0,0,0,4,0,80,63.5,17.0,43.5,293.0,6.0,0,62.0,19.0,47.0,263.5,0.0,0,67.0,19.0,48.5,277.0,0.0,0,68.5,12.0,34.0,299.0,0.0,0,68.0,24.0,37.0,304.0,0.0,0,76.0,10.0,52.5,332.0,0.0,0,69.0,0.0,55.0,286.0,5.5,0,63.5,14.0,44.0,283.0,5.0,0,72.0,23.0,36.0,300.0,0.0,0,60.5,18.0,49.0,394.0,0.0,0,63.0,0.0,43.0,351.0,0,0,0.0,0.0,0.0,363.0,0,0,0.0,22.0,40.5,145.0,0.0,0,0.0,0.0,0.0,380.5,0,0,0.0,0.0,0.0,314.0,0,0,66.0,0.0,0.0,403.0,0,0,0.0,0.0,0.0,308.0,0,0,0.0,0.0,0.0,280.0,0.0,0,58.0,0.0,40.0,328.5,0,0,60.0,16.0,35.0,409.0,0,0,0.0,12.5,48.0,382.0,0.0,0,68.0,0.0,0.0,316.0,0.0,0,0.0,0.0,44.0,299.0,0,0,0.0,0.0,45.0,355.0,0,0,0.0,0.0,47.0,391.0,0,0,65.0,0.0,35.0,293.0,0,0,64.5,15.0,35.0,354.0,0.0,0,74.0,0.0,36.0,281.0,0,0,0.0,0.0,0.0,455.0,0,0,0.0,0.0,0.0,450.0,0
BALLARD,0,4,0,5,34,0,0,3,4,4,40,0,2,12,1,12,53,0,0,8,1,13,36,0,0,5,1,4,26,0,0,4,0,6,39,0,0,3,0,2,55,0,0,3,3,11,52,0,0,8,1,10,65,0,1,9,4,17,66,0,1,7,0,7,33,0,0,7,0,6,28,0,0,6,0,6,40,0,0,6,0,2,31,0,0,10,2,2,27,0,0,4,0,3,8,0,0,1,1,0,4,0,0,2,0,0,4,0,0,0,0,0,6,0,0,0,0,9,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,2,4,0,0,1,0,1,2,0,0,1,0,0,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,70.5,0.0,50.0,155.0,0.0,0,67.0,11.0,49.0,201.0,0.0,80,72.5,21.0,48.0,182.0,0.0,0,63.5,23.0,49.0,148.0,0.0,0,68.0,24.0,41.0,160.5,0.0,0,69.5,0.0,46.5,187.0,0.0,0,70.0,0.0,46.5,182.0,0.0,0,62.0,24.0,45.0,192.0,0.0,0,70.5,19.0,38.0,201.0,0.0,80,65.0,25.0,45.0,176.0,0.0,80,61.0,0.0,50.0,154.0,0,0,71.0,0.0,50.0,160.0,0,0,72.0,0.0,38.5,159.5,0.0,0,63.5,0.0,41.0,160.0,0,0,71.0,23.5,43.0,137.0,0,0,69.5,0.0,49.0,155.0,0,0,66.0,27.0,0.0,208.0,0,0,62.5,0.0,0.0,97.5,0.0,0,0.0,0.0,0.0,158.0,0,0,0.0,0.0,40.0,129.5,0,0,0.0,0.0,0.0,145.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,42.0,0.0,0,0,0.0,0.0,0.0,222.0,0,0,0.0,0.0,0.0,332.5,0,0,0.0,0.0,42.5,198.0,0,0,62.0,0.0,55.0,219.0,0.0,0,58.0,0.0,0.0,192.0,0,0,65.0,0.0,0.0,211.0,0,0,0.0,0.0,0.0,0.0,0
BARREN,1,24,19,13,110,0,2,19,14,31,110,0,3,35,36,57,159,1,0,30,18,34,208,1,1,34,26,15,111,0,1,23,17,24,78,4,3,10,8,22,68,0,2,10,6,12,60,2,0,4,6,5,30,0,0,7,2,8,20,0,1,5,7,4,22,0,0,5,2,5,37,0,0,11,3,3,25,0,0,4,3,3,16,0,0,6,2,7,8,0,0,3,2,9,11,0,0,4,3,7,13,0,1,3,0,2,9,0,0,1,5,4,9,0,0,0,2,2,6,0,0,1,1,0,14,0,0,2,5,5,8,0,0,4,0,2,10,0,0,2,4,3,0,0,0,1,4,0,7,0,0,3,0,10,13,0,0,0,0,0,4,0,0,1,2,3,8,0,0,2,1,2,22,0,0,1,1,4,23,0,80,66.5,20.0,50.0,196.0,0.0,80,70.0,21.5,43.0,169.0,0.0,80,64.0,17.5,44.0,176.0,6.0,0,68.0,20.0,44.0,159.5,6.0,80,66.5,19.0,47.0,160.0,0.0,80,72.0,23.0,40.0,148.0,3.0,80,68.5,19.0,44.0,190.0,0.0,80,67.5,21.0,35.5,144.0,5.5,0,69.0,14.5,48.0,170.0,0.0,0,64.0,18.5,43.0,201.0,0.0,80,61.0,21.0,38.0,160.5,0,0,70.0,21.5,41.0,158.0,0,0,64.0,14.0,41.0,129.0,0.0,0,68.5,17.0,38.0,113.5,0,0,73.0,14.5,44.0,143.5,0,0,68.0,19.5,43.0,176.0,0,0,68.5,20.0,41.0,115.0,0,80,63.0,0.0,32.5,145.0,0.0,0,68.0,14.0,42.0,103.0,0,0,0.0,13.5,45.0,127.0,0,0,65.0,18.0,0.0,166.5,0.0,0,72.0,25.0,42.0,136.0,0.0,0,63.5,0.0,49.0,156.5,0,0,70.0,12.5,48.0,0.0,0,0,64.0,14.0,0.0,138.0,0,0,76.0,0.0,50.5,129.0,0,0,0.0,0.0,0.0,121.5,0.0,0,77.0,20.0,32.0,122.0,0,0,60.5,8.0,53.0,182.5,0,0,67.0,27.0,41.0,165.0,0
BATH,2,23,17,33,109,1,0,27,24,34,131,4,2,25,14,43,146,0,1,22,11,29,90,0,1,10,8,16,63,0,1,9,4,19,60,1,0,20,11,30,109,1,1,29,33,67,152,0,0,27,29,41,126,1,0,34,20,35,122,1,0,10,12,18,43,0,0,17,3,18,54,0,1,8,3,18,52,0,1,10,8,11,45,0,0,12,3,8,47,0,1,13,5,11,40,0,1,12,7,5,31,0,0,5,6,8,22,0,1,4,6,8,29,0,1,6,6,13,45,0,0,14,5,11,56,0,0,7,2,10,33,0,0,7,12,13,46,0,0,9,2,13,37,0,0,10,2,8,29,0,0,7,3,6,18,0,0,4,2,4,12,0,0,2,0,0,3,0,0,4,1,0,10,0,0,2,0,2,3,0,80,68.0,17.0,42.0,181.0,5.0,0,72.0,19.5,38.5,155.0,6.0,80,66.0,18.0,46.0,165.5,0.0,80,65.0,22.0,42.0,194.5,0.0,80,67.0,20.5,38.5,153.0,0.0,80,72.0,15.5,49.0,169.5,1.0,0,71.0,22.0,44.0,183.0,1.0,80,66.0,22.0,44.0,160.0,0.0,0,68.0,19.0,45.0,141.0,6.0,0,65.5,18.0,43.0,158.5,6.0,0,67.5,21.0,39.5,165.0,0,0,72.0,26.0,45.5,157.0,0,80,67.0,21.0,41.0,189.0,0.0,80,70.5,25.5,48.0,161.0,0,0,68.5,23.0,46.0,131.0,0,80,70.0,23.0,49.0,160.5,0,80,65.5,19.0,39.0,174.0,0,0,71.0,15.5,40.5,157.5,0.0,80,75.5,12.0,46.0,149.0,0,80,67.0,18.0,38.0,164.0,0,0,69.0,23.0,46.0,181.5,0.0,0,68.0,12.0,37.5,188.0,0.0,0,67.0,21.5,46.0,166.5,0,0,68.0,13.5,44.0,125.0,0,0,76.5,17.5,47.5,160.0,0,0,66.0,13.0,46.0,134.0,0,0,68.5,16.5,50.5,175.0,0.0,0,65.5,0.0,0.0,259.0,0,0,70.5,16.0,0.0,140.0,0,0,76.0,0.0,46.0,126.0,0
BELL,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,242.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,29.0,488.0,0.0,0,0.0,15.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,58.0,10.0,0.0,671.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,370.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
BOONE,1,22,11,25,130,0,0,27,19,35,129,5,3,34,29,40,205,3,2,15,10,26,127,0,1,22,12,18,139,0,0,17,7,9,93,0,0,10,13,31,80,0,1,10,12,25,102,0,2,30,14,30,144,0,1,15,6,8,94,0,0,1,1,5,39,0,1,5,3,11,59,0,0,7,4,11,46,0,1,8,3,6,37,0,0,6,2,4,37,0,0,3,0,2,37,0,0,9,0,4,48,0,0,7,1,0,22,0,1,1,0,1,17,0,0,4,1,3,42,0,0,2,0,2,5,0,0,1,1,3,9,0,0,5,3,3,25,0,0,0,3,8,15,0,0,0,0,4,16,0,0,3,0,4,8,0,0,1,2,6,10,0,0,3,0,3,4,0,0,0,0,0,0,0,0,0,0,1,2,0,80,66.5,14.0,43.0,178.5,0.0,0,66.0,16.0,40.0,166.0,5.0,80,69.5,17.0,45.0,169.0,6.0,80,68.0,18.5,41.0,222.0,0.0,80,68.0,22.0,45.5,195.0,0.0,0,63.0,21.0,44.0,184.0,0.0,0,68.5,20.0,43.0,221.5,0.0,80,72.5,18.0,46.0,197.0,0.0,80,69.0,20.5,47.5,173.0,0.0,80,69.0,21.0,41.0,193.5,0.0,0,62.0,11.0,49.0,227.0,0,80,76.0,23.0,49.0,172.0,0,0,59.0,17.0,37.0,180.5,0.0,80,74.5,20.0,48.5,187.0,0,0,69.5,17.5,39.0,178.0,0,0,64.0,0.0,48.5,179.0,0,0,75.0,0.0,42.5,185.5,0,0,68.0,28.0,0.0,196.0,0.0,80,74.0,0.0,33.0,152.0,0,0,67.0,13.0,40.0,159.0,0,0,62.5,0.0,46.0,108.0,0.0,0,63.0,15.0,52.0,126.0,0.0,0,70.0,18.0,53.0,163.0,0,0,0.0,25.0,43.0,151.0,0,0,0.0,0.0,42.5,145.5,0,0,70.0,0.0,51.5,164.0,0,0,69.0,17.0,43.0,118.0,0.0,0,63.0,0.0,35.0,118.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,44.0,240.5,0
BOURBON,3,34,38,68,311,1,3,52,20,76,379,0,1,50,24,81,350,0,2,25,22,56,282,1,0,19,11,35,160,1,2,35,13,48,279,0,2,38,21,60,243,0,2,67,11,62,339,0,4,69,15,99,344,0,3,52,13,58,278,0,3,26,13,34,92,0,1,16,7,22,78,0,0,13,15,23,117,1,1,19,7,36,143,0,0,27,13,31,104,0,1,19,9,27,105,0,0,14,5,25,133,0,0,33,12,31,83,0,0,20,7,19,111,0,0,32,13,28,119,0,1,12,9,22,88,0,1,13,2,18,61,0,2,9,3,22,63,0,0,12,5,21,78,0,0,10,11,25,84,0,0,11,2,14,32,0,0,8,9,6,45,0,2,6,2,7,29,0,0,3,1,11,21,0,1,4,0,2,12,0,80,71.5,20.5,43.0,208.0,3.0,80,70.0,20.0,44.0,248.0,0.0,80,66.0,20.5,44.0,210.0,0.0,80,73.0,22.0,41.5,253.0,3.0,0,72.0,16.0,46.0,249.0,5.0,80,70.0,21.0,47.0,204.0,0.0,80,66.0,22.0,46.5,258.0,0.0,80,71.0,22.0,45.5,216.0,0.0,80,69.0,25.0,43.0,217.5,0.0,80,67.5,19.0,44.5,195.5,0.0,80,67.0,22.0,47.0,218.5,0,80,66.0,16.0,48.0,242.0,0,0,64.0,24.0,42.0,233.0,6.0,80,69.0,19.0,45.5,274.0,0,0,68.0,24.0,47.0,249.5,0,80,68.0,23.0,43.0,212.0,0,0,66.0,24.0,39.0,198.0,0,0,66.0,23.0,44.0,252.0,0.0,0,66.0,22.0,44.0,219.0,0,0,70.0,20.0,44.5,231.0,0,80,69.5,24.0,45.5,203.0,0.0,80,72.0,19.0,43.5,239.0,0.0,80,65.0,28.0,42.0,202.0,0,0,71.5,25.0,44.0,269.5,0,0,61.5,23.0,39.0,222.0,0,0,65.0,17.0,43.0,148.0,0,0,75.5,18.0,37.5,175.0,0.0,80,66.0,18.0,41.0,256.0,0,0,62.0,13.0,45.0,168.0,0,80,64.0,0.0,47.0,133.0,0
BOYD,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,1,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,2,0,0,0,0,7,3,4,7,0,0,0,0,1,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,108.0,0.0,0,0.0,0.0,0.0,146.0,0.0,0,0.0,28.0,51.0,189.0,0.0,0,0.0,8.0,0.0,125.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,16.0,0.0,310.0,0.0,0,68.5,22.0,0.0,0.0,0.0,0,74.0,20.0,36.0,253.0,0.0,0,0.0,0.0,45.0,0.0,0,0,0.0,15.0,31.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,114.5,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,21.0,0.0,95.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
