COUNTY,count_1990_H,count_1990_L,count_1990_M,count_1990_VL,count_1991_H,count_1991_L,count_1991_M,count_1991_VL,count_1992_H,count_1992_L,count_1992_M,count_1992_VL,count_1993_H,count_1993_L,count_1993_M,count_1993_VL,count_1994_H,count_1994_L,count_1994_M,count_1994_VL,count_1995_H,count_1995_L,count_1995_M,count_1995_VL,count_1996_H,count_1996_L,count_1996_M,count_1996_VL,count_1997_H,count_1997_L,count_1997_M,count_1997_VL,count_1998_H,count_1998_L,count_1998_M,count_1998_VL,count_1999_H,count_1999_L,count_1999_M,count_1999_VL,count_2000_H,count_2000_L,count_2000_M,count_2000_VL,count_2001_H,count_2001_L,count_2001_M,count_2001_VL,count_2002_H,count_2002_L,count_2002_M,count_2002_VL,count_2003_H,count_2003_L,count_2003_M,count_2003_VL,count_2004_H,count_2004_L,count_2004_M,count_2004_VL,count_2005_H,count_2005_L,count_2005_M,count_2005_VL,count_2006_H,count_2006_L,count_2006_M,count_2006_VL,count_2007_H,count_2007_L,count_2007_M,count_2007_VL,count_2008_H,count_2008_L,count_2008_M,count_2008_VL,count_2009_H,count_2009_L,count_2009_M,count_2009_VL,count_2010_H,count_2010_L,count_2010_M,count_2010_VL,count_2011_H,count_2011_L,count_2011_M,count_2011_VL,count_2012_H,count_2012_L,count_2012_M,count_2012_VL,count_2013_H,count_2013_L,count_2013_M,count_2013_VL,count_2014_H,count_2014_L,count_2014_M,count_2014_VL,count_2015_H,count_2015_L,count_2015_M,count_2015_VL,count_2016_H,count_2016_L,count_2016_M,count_2016_VL,count_2017_H,count_2017_L,count_2017_M,count_2017_VL,count_2018_H,count_2018_L,count_2018_M,count_2018_VL,count_2019_H,count_2019_L,count_2019_M,count_2019_VL,1990_H,1990_L,1990_M,1990_VL,1991_H,1991_L,1991_M,1991_VL,1992_H,1992_L,1992_M,1992_VL,1993_H,1993_L,1993_M,1993_VL,1994_H,1994_L,1994_M,1994_VL,1995_H,1995_L,1995_M,1995_VL,1996_H,1996_L,1996_M,1996_VL,1997_H,1997_L,1997_M,1997_VL,1998_H,1998_L,1998_M,1998_VL,1999_H,1999_L,1999_M,1999_VL,2000_H,2000_L,2000_M,2000_VL,2001_H,2001_L,2001_M,2001_VL,2002_H,2002_L,2002_M,2002_VL,2003_H,2003_L,2003_M,2003_VL,2004_H,2004_L,2004_M,2004_VL,2005_H,2005_L,2005_M,2005_VL,2006_H,2006_L,2006_M,2006_VL,2007_H,2007_L,2007_M,2007_VL,2008_H,2008_L,2008_M,2008_VL,2009_H,2009_L,2009_M,2009_VL,2010_H,2010_L,2010_M,2010_VL,2011_H,2011_L,2011_M,2011_VL,2012_H,2012_L,2012_M,2012_VL,2013_H,2013_L,2013_M,2013_VL,2014_H,2014_L,2014_M,2014_VL,2015_H,2015_L,2015_M,2015_VL,2016_H,2016_L,2016_M,2016_VL,2017_H,2017_L,2017_M,2017_VL,2018_H,2018_L,2018_M,2018_VL,2019_H,2019_L,2019_M,2019_VL
ADAIR,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,2,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,3,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,2,0,2,6,1,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,3,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,194.0,0.0,0,0.0,0.0,0.0,0,0.0,153.0,0.0,0,0.0,178.0,0.0,0,0.0,129,0.0,0,0.0,0.0,214.0,0,0.0,0.0,250.0,47,440.5,155.0,247.0,0,424.0,0.0,0.0,0,522.0,0.0,0.0,83,1305.0,0.0,206.0,0.0,405.0,0.0,263.0,0.0,0.0,152.0,0.0,0.0,665.0,167.0,0.0,0.0,0.0,100.0,220.0,0,406.0,0.0,0.0,0.0,0.0,127.0,224.5,0,891.5,181.5,288.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,237.0,79.0,0.0,0.0,0.0,0,310.0,0.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.0,142.0,0.0,0,0.0,0.0,0.0,97.0,0.0,138.0,265.0,0.0
ALLEN,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,0,0,0,2,5,1,3,0,0,1,0,1,5,0,0,1,5,3,0,3,6,4,1,7,3,2,0,2,8,3,2,1,2,2,0,3,4,3,0,4,3,3,0,2,5,3,1,2,1,1,0,4,7,6,3,2,1,3,0,1,1,2,2,0,1,0,2,0,1,0,0,2,1,0,0,0,1,2,0,501.0,0.0,289.0,0,0.0,132.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,153.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,265.5,0,304.0,196.0,0.0,0,389.0,0.0,0.0,0,312.0,176.0,278.0,91,0.0,0.0,214.0,0.0,343.0,188.0,0.0,0.0,591.0,177.0,250.0,0.0,558.0,178.0,232.0,94.0,437.0,190.0,287.0,0,393.5,142.5,275.0,74.5,370.0,155.0,274.0,0,344.0,157.5,250.0,0,383.5,124.0,254.0,0.0,304.5,175.0,223.0,41.0,354.5,189.0,213.0,0.0,429.5,168.0,241.5,94,339.5,185.0,275.0,0.0,301.0,170.0,268.0,78.5,0.0,113.0,0.0,84.0,0.0,141.0,0.0,0,517.0,189.0,0.0,0.0,0.0,204.0,260.5,0.0
ANDERSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,4,1,0,4,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,1,0,1,2,0,0,0,1,0,0,2,1,2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,341.0,0.0,278.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.5,0.0,0.0,0.0,302.0,0.0,0.0,0.0,0.0,149.0,0.0,0,0.0,0.0,235.0,0.0,0.0,0.0,270.0,0,0.0,0.0,228.0,84,0.0,184.5,0.0,0.0,0.0,161.0,267.0,0.0,0.0,183.0,217.0,0.0,0.0,0.0,288.0,0,0.0,0.0,242.0,0.0,0.0,0.0,0.0,0.0,514.0,180.0,260.0,0.0,356.0,160.5,0.0,0,0.0,156.0,0.0,0.0,567.5,183.0,258.0,0.0
BALLARD,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,5,8,3,3,4,0,0,0,1,4,3,0,5,9,3,0,3,5,4,0,1,0,2,0,1,3,1,2,0,2,0,0,1,3,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,294.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,151.0,0.0,0,428.0,120.0,0.0,0,463.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,318.0,0.0,0.0,0,327.0,0.0,221.0,0,475.0,145.0,217.0,89,432.0,0.0,0.0,0,436.0,179.5,220.0,0.0,326.0,166.0,272.0,0.0,413.0,170.0,242.5,0.0,610.0,0.0,226.0,0.0,451.0,150.0,299.0,78,0.0,185.5,0.0,0.0,623.0,162.0,0.0,99,690.0,0.0,0.0,0,0.0,0.0,230.0,0.0,0.0,190.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,158.0,0.0,0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BARREN,3,0,0,0,2,0,0,0,3,0,0,0,10,1,1,0,1,0,1,0,1,4,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,5,5,0,1,0,0,2,0,0,0,4,0,1,0,1,0,2,1,1,0,0,3,0,0,1,0,0,1,0,0,0,0,3,5,2,0,1,3,3,1,0,0,0,0,1,2,0,0,0,2,3,0,0,0,0,1,338.0,0.0,0.0,0,501.0,0.0,0.0,0,501.0,0.0,0.0,0,433.0,153.0,253.0,0,316.0,0.0,261.0,0,423.0,169.5,0.0,0,410.0,0,288.0,0,0.0,0.0,0.0,0,302.0,0.0,0.0,0,0.0,0.0,0.0,0,344.0,158.5,266.0,0,455.0,122.0,0.0,0,0.0,0.0,0.0,78.0,0.0,156.5,0.0,0.0,353.0,0.0,232.0,0.0,0.0,0.0,0.0,0.0,696.0,176.0,0.0,92,0.0,0.0,239.0,0.0,0.0,0.0,251.0,0,743.0,0.0,213.0,0,413.5,142.0,222.0,0.0,0.0,167.0,0.0,0.0,336.0,0.0,0.0,72.0,0.0,0.0,0.0,0,449.0,177.0,243.0,0.0,515.0,149.0,215.0,91.0,0.0,0.0,0.0,0.0,668.0,182.0,0.0,0,0.0,149.0,246.0,0.0,0.0,0.0,0.0,92.0
BATH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,0,3,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,141.0,0.0,0,359.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,114.0,0.0,0,0.0,0.0,0.0,0,0.0,184.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,0.0,0.0,129.5,0.0,0.0,339.0,0.0,208.0,0,443.0,0.0,278.5,0.0,0.0,0.0,0.0,61,319.0,0.0,0.0,0,0.0,0.0,227.0,0.0,0.0,162.0,252.0,0.0,0.0,182.0,0.0,0.0,353.0,0.0,0.0,0,0.0,0.0,0.0,0.0,659.0,0.0,0.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BELL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,194.0,0.0,0,0.0,148.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOONE,3,0,6,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,2,0,3,0,1,1,0,0,0,0,0,0,0,0,0,4,1,0,0,4,1,3,0,1,0,1,0,0,0,0,0,0,2,0,0,4,7,4,1,3,1,2,0,3,5,1,0,2,3,3,0,6,0,4,0,0,0,1,0,5,5,6,0,3,6,2,1,1,3,2,0,1,0,1,0,0,4,1,0,1,3,2,1,0,2,1,0,2,6,2,0,12,9,13,2,0,0,0,0,334.0,0.0,248.0,0,403.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,175.0,0.0,0,0.0,152.5,0.0,78,302.0,148.0,0.0,85,0.0,135,293.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,339.5,148.0,0.0,0,339.5,174.0,230.0,0,314.0,0.0,235.0,0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,400.0,119.0,237.0,93.0,513.0,199.0,289.5,0.0,385.0,185.0,241.0,0,412.5,194.0,242.0,0.0,316.0,0.0,259.0,0,0.0,0.0,256.0,0,321.0,146.0,274.5,0.0,313.0,126.5,256.5,98.0,345.0,186.0,263.5,0.0,348.0,0.0,222.0,0,0.0,143.5,216.0,0.0,395.0,129.0,247.0,87.0,0.0,160.5,206.0,0.0,508.0,169.5,274.5,0,520.0,181.0,233.0,90.0,0.0,0.0,0.0,0.0
BOURBON,3,2,5,0,8,0,2,0,9,0,3,0,0,0,1,0,5,1,1,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,5,0,0,1,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,429.0,181.5,225.0,0,394.5,0.0,263.0,0,542.0,0.0,249.0,0,0.0,0.0,244.0,0,474.0,128.0,207.0,0,434.0,0.0,253.5,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,288.0,0,416.0,0.0,0.0,0,0.0,0.0,291.0,0,427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,335.0,0.0,270.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,173.0,252.5,0.0,661.0,0.0,0.0,0.0,0.0,168.0,0.0,0.0,354.0,0.0,217.0,0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0,319.5,0.0,263.5,0.0,0.0,0.0,0.0,0.0
BOYD,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,3,3,1,0,1,0,1,0,2,0,0,0,0,1,2,0,0,0,1,0,1,1,0,0,0,0,0,0,1,3,2,0,1,2,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,262.0,0,0.0,0.0,0.0,0,372.0,177.0,223.5,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,125.0,0.0,0,0.0,144.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,240.0,0.0,0.0,187.0,0.0,0,0.0,0.0,0.0,0.0,531.0,0.0,222.0,0,330.0,188.0,299.0,0,328.0,0.0,207.0,0.0,336.5,0.0,0.0,0.0,0.0,167.0,275.0,0.0,0.0,0.0,298.0,0,303.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,161.0,227.5,0.0,561.0,174.0,229.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
