COUNTY,K_count_1990,K_count_1991,K_count_1992,K_count_1993,K_count_1994,K_count_1995,K_count_1996,K_count_1997,K_count_1998,K_count_1999,K_count_2000,K_count_2001,K_count_2002,K_count_2003,K_count_2004,K_count_2005,K_count_2006,K_count_2007,K_count_2008,K_count_2009,K_count_2010,K_count_2011,K_count_2012,K_count_2013,K_count_2014,K_count_2015,K_count_2016,K_count_2017,K_count_2018,K_count_2019,K_med1990,K_med1991,K_med1992,K_med1993,K_med1994,K_med1995,K_med1996,K_med1997,K_med1998,K_med1999,K_med2000,K_med2001,K_med2002,K_med2003,K_med2004,K_med2005,K_med2006,K_med2007,K_med2008,K_med2009,K_med2010,K_med2011,K_med2012,K_med2013,K_med2014,K_med2015,K_med2016,K_med2017,K_med2018,K_med2019,P_count_1990,P_count_1991,P_count_1992,P_count_1993,P_count_1994,P_count_1995,P_count_1996,P_count_1997,P_count_1998,P_count_1999,P_count_2000,P_count_2001,P_count_2002,P_count_2003,P_count_2004,P_count_2005,P_count_2006,P_count_2007,P_count_2008,P_count_2009,P_count_2010,P_count_2011,P_count_2012,P_count_2013,P_count_2014,P_count_2015,P_count_2016,P_count_2017,P_count_2018,P_count_2019,P_med1990,P_med1991,P_med1992,P_med1993,P_med1994,P_med1995,P_med1996,P_med1997,P_med1998,P_med1999,P_med2000,P_med2001,P_med2002,P_med2003,P_med2004,P_med2005,P_med2006,P_med2007,P_med2008,P_med2009,P_med2010,P_med2011,P_med2012,P_med2013,P_med2014,P_med2015,P_med2016,P_med2017,P_med2018,P_med2019
ADAIR,0,0,1,0,1,1,1,1,2,4,1,2,2,4,1,2,2,1,3,9,0,0,5,0,2,0,0,2,1,4,0.0,0.0,194.0,0.0,153.0,178.0,129.0,214.0,148.0,321.0,424.0,302.0,756.0,354.0,152.0,416.0,160.0,406.0,206.0,189.0,0.0,0.0,200.0,0.0,268.0,0.0,0.0,232.0,97.0,163.0,0,0,1,0,1,1,1,1,2,4,1,2,2,4,1,2,2,1,3,9,0,0,5,0,2,0,0,2,1,4,0.0,0.0,89.0,0.0,93.0,26.0,58.0,94.0,24.0,78.0,101.0,88.0,190.0,156.0,36.0,230.0,73.0,41.0,52.0,126.0,0.0,0.0,22.0,0.0,148.0,0.0,0.0,52.0,152.0,206.0
ALLEN,3,1,0,0,1,0,0,0,2,2,2,11,1,6,9,14,12,15,5,10,10,11,4,20,6,6,3,1,3,3,501.0,132.0,0.0,0.0,153.0,0.0,0.0,0.0,266.0,250.0,389.0,176.0,214.0,190.0,184.0,206.0,316.0,153.0,267.0,238.0,272.0,203.0,282.0,207.0,275.0,215.0,91.0,141.0,400.0,240.0,3,1,0,0,1,0,0,0,2,2,2,11,1,6,9,14,12,15,5,10,10,11,4,20,6,6,3,1,3,3,201.0,201.0,0.0,0.0,62.0,0.0,0.0,0.0,74.0,88.0,105.0,25.0,31.0,38.0,66.0,111.0,70.0,111.0,47.0,61.0,89.0,66.0,76.0,108.0,108.0,58.0,47.0,205.0,137.0,51.0
ANDERSON,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,1,1,2,1,5,4,2,2,1,1,0,4,3,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,402.0,302.0,149.0,235.0,270.0,220.0,184.0,214.0,200.0,288.0,242.0,0.0,282.0,175.0,156.0,265.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,1,1,2,1,5,4,2,2,1,1,0,4,3,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,17.0,77.0,173.0,122.0,114.0,128.0,83.0,76.0,25.0,32.0,0.0,169.0,46.0,158.0,101.0
BALLARD,1,0,0,1,2,1,0,0,1,2,19,4,8,17,12,3,7,2,5,1,1,1,1,1,0,1,0,0,0,0,294.0,0.0,0.0,151.0,274.0,463.0,0.0,0.0,318.0,274.0,171.0,432.0,197.0,179.0,210.0,233.0,150.0,186.0,162.0,690.0,230.0,190.0,116.0,158.0,0.0,150.0,0.0,0.0,0.0,0.0,1,0,0,1,2,1,0,0,1,2,19,4,8,17,12,3,7,2,5,1,1,1,1,1,0,1,0,0,0,0,65.0,0.0,0.0,57.0,54.0,201.0,0.0,0.0,81.0,84.0,97.0,134.0,65.0,80.0,46.0,97.0,47.0,38.0,43.0,293.0,34.0,47.0,73.0,44.0,0.0,111.0,0.0,0.0,0.0,0.0
BARREN,3,2,3,12,2,5,4,0,1,0,4,2,1,2,2,0,11,2,4,2,4,3,2,0,10,8,0,3,5,1,338.0,501.0,501.0,402.0,288.0,172.0,358.0,0.0,302.0,0.0,230.0,288.0,78.0,156.0,292.0,0.0,203.0,239.0,251.0,478.0,316.0,167.0,204.0,0.0,214.0,190.0,0.0,183.0,209.0,92.0,3,2,3,12,2,5,4,0,1,0,4,2,1,2,2,0,11,2,4,2,4,3,2,0,10,8,0,3,5,1,161.0,152.0,201.0,134.0,118.0,85.0,43.0,0.0,21.0,0.0,55.0,46.0,11.0,84.0,53.0,0.0,85.0,32.0,24.0,598.0,64.0,33.0,36.0,0.0,54.0,56.0,0.0,55.0,47.0,12.0
BATH,0,0,0,0,0,0,0,1,1,0,1,0,2,0,1,2,2,5,1,1,1,2,1,1,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,359.0,0.0,114.0,0.0,207.0,0.0,249.0,130.0,274.0,343.0,61.0,319.0,227.0,207.0,182.0,353.0,0.0,659.0,288.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,1,2,2,5,1,1,1,2,1,1,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,354.0,0.0,17.0,0.0,38.0,0.0,85.0,30.0,74.0,26.0,122.0,196.0,77.0,70.0,72.0,10.0,0.0,292.0,50.0,0.0,0.0,0.0
BELL,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,148.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,28.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOONE,9,2,0,1,3,6,2,0,0,5,8,2,0,2,16,6,9,8,10,1,16,12,6,2,5,7,3,10,36,0,258.0,403.0,0.0,175.0,129.0,118.0,214.0,0.0,0.0,332.0,282.0,274.0,0.0,111.0,188.0,310.0,200.0,242.0,308.0,256.0,274.0,176.0,210.0,285.0,147.0,163.0,204.0,196.0,238.0,0.0,9,2,0,1,3,6,2,0,0,5,8,2,0,2,16,6,9,8,10,1,16,12,6,2,5,7,3,10,36,0,96.0,100.0,0.0,89.0,17.0,38.0,84.0,0.0,0.0,18.0,32.0,148.0,0.0,41.0,47.0,60.0,48.0,50.0,93.0,44.0,40.0,83.0,122.0,208.0,95.0,22.0,36.0,31.0,44.0,0.0
BOURBON,10,10,12,1,7,18,0,0,0,1,1,1,1,0,0,0,0,7,0,0,3,1,5,2,1,0,3,0,4,0,240.0,386.0,412.0,244.0,457.0,276.0,0.0,0.0,0.0,288.0,416.0,291.0,427.0,0.0,0.0,0.0,0.0,318.0,0.0,0.0,223.0,661.0,168.0,286.0,121.0,0.0,345.0,0.0,291.0,0.0,10,10,12,1,7,18,0,0,0,1,1,1,1,0,0,0,0,7,0,0,3,1,5,2,1,0,3,0,4,0,68.0,366.0,220.0,50.0,173.0,176.0,0.0,0.0,0.0,49.0,74.0,110.0,492.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,355.0,115.0,239.0,48.0,314.0,0.0,308.0,0.0,256.0,0.0
BOYD,0,0,1,0,6,0,0,0,0,0,1,1,0,0,0,2,1,0,2,7,2,2,3,1,2,0,6,6,0,0,0.0,0.0,262.0,0.0,203.0,0.0,0.0,0.0,0.0,0.0,125.0,144.0,0.0,0.0,0.0,200.0,187.0,0.0,376.0,299.0,268.0,336.0,265.0,298.0,230.0,0.0,196.0,218.0,0.0,0.0,0,0,1,0,6,0,0,0,0,0,1,1,0,0,0,2,1,0,2,7,2,2,3,1,2,0,6,6,0,0,0.0,0.0,26.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,23.0,8.0,0.0,0.0,0.0,50.0,16.0,0.0,20.0,30.0,64.0,40.0,107.0,36.0,47.0,0.0,86.0,48.0,0.0,0.0
